id,meldungsNummern,bezirk,betreff,erstellungsDatum,status,sachverhalt
1469803,['9havpd'],Friedrichshain-Kreuzberg,Obdachlosenunterkunft,02.08.2019 - 07:05:47,In Bearbeitung,Sperrmüllansammlung (vermutl. Obdachlosenunterkunft)
1478728,['sujitd'],Steglitz-Zehlendorf,Straßenverkehrsrechtliche Anordnungen - Verkehrszeichen,09.08.2019 - 00:34:56,In Bearbeitung,Vor der genannten Hausnummer stehen noch Halteverbotszeichen für den 19.07.2019.
1479268,"['nittfk', 'l0tukh']",Friedrichshain-Kreuzberg,"Grünanlage/Park - Campieren, Zelten",09.08.2019 - 09:55:10,In Bearbeitung,Landstreicherei Übernachtung unter einem noch schönem Haselnussbaum uriniert isst da und hinterlässt sein Müll dort .Es wurde auch beobachtet das er Kinder vom Kinderspielplatz zu sich ruft .
1484400,['ptg2yp'],Friedrichshain-Kreuzberg,Park- und Haltverbot nicht berücksichtigt,10.08.2019 - 22:17:25,In Bearbeitung,"Sehr geehrte Damen und Herren,
in der Friedrichstraße 17/234 gibt es neben der einmündenden Spielstraße auf beiden Straßenseiten eine Sperrfläche mit ausgewiesener Fläche für die Straßenüberquerung als Fußgänger.
Diese Flächen sind überwiegend eng zugeparkt.
In der Spielstraße befindet sich die Kita Wilhelmstraße. Ich muss täglich dort mit Kinderwagen und kleinem Kind auf dem Laufrad die Straße zur Kita überqueren. Zwischen geparkten Autos hindurch ist es oft mit Kinderwagen zu eng und außerdem sehr gefährlich. Viele Eltern wollen dort mit ihren Kindern die Straße queren.
Aus Sicherheitsgründen sollte dort stärker kontrolliert werden oder am besten die Sperrfläche durch Pfeiler gegen parkende Autos geschützt werden, damit ein sicheres Überqueren der Straße gewährleistet wird."
1491851,['w0ijnl'],Lichtenberg,Abfall - Müllablagerung,19.08.2019 - 09:21:19,In Bearbeitung,
1500729,['fa5ce9'],Steglitz-Zehlendorf,Ladenöffnung - Sonn- und Feiertage,25.08.2019 - 18:51:39,In Bearbeitung,"Hat jeden Sonntag geöffnet!
Es werden hier absichtlich keine Aufsteller oder Tische/Stühle davor gestellt!"
1501757,"['6asch', '75z7y9', 'dnyn0h', 'u3skxt', 'xnfl6p']",Friedrichshain-Kreuzberg,"Grünanlage/Park - Campieren, Zelten",26.08.2019 - 07:41:30,In Bearbeitung,Hier hat sich jemand dauerhaft niedergelassen
1557890,['xlid6o'],Steglitz-Zehlendorf,Sondernutzung - Abfallcontainer,11.10.2019 - 13:42:31,In Bearbeitung,"In der Straße besteht die Baustelle seit ca. 2 Jahren und es geht nicht voran. Der Container steht unbenutzt auf der Straße, die Dixietoilette steht auf dem Gehweg und behindert die Fußgänger, der Bauzaun ist teilweise weit geöffnet und man kann als Rollstuhlfahrer den Weg nicht passieren. Wie lange wird dieser Zustand noch andauern?"
1566141,['h9y9z5'],Steglitz-Zehlendorf,Straßenaufsicht - Sonstiges,19.10.2019 - 15:42:49,In Bearbeitung,Eingeschlagene Scheibe Wartehäuschen
1569738,['ct1fy9'],Steglitz-Zehlendorf,Baustellen - Sonstiges,22.10.2019 - 15:36:53,In Bearbeitung,"Die Baustelle ist so angelegt, dass man mit Rollator oder Rollstuhl nicht mehr sicher den Gehweg und Ampelübergang nutzen kann. Ferner liegt dort viel nasses Laub. Erst heute ist dort eine Frau mit ihrem Rad gestürzt."
1572501,['sqpwsg'],Steglitz-Zehlendorf,Straßenaufsicht - Sonstiges,24.10.2019 - 17:28:39,In Bearbeitung,"Ca 10 große Blumentöpfe stehen ungesichert auf dem Dach 
evtl Dachterrasse "
1575837,['4gtav4'],Steglitz-Zehlendorf,Straßenaufsicht - Defekte Straßenbeleuchtung,28.10.2019 - 09:27:09,In Bearbeitung,Laterne brennt nicht
1604805,['g1ehq8'],Steglitz-Zehlendorf,Abfall - Bioabfälle,21.11.2019 - 10:04:13,In Bearbeitung,"der Franz-Grothe-Weg, eine Hauptfahrradroute, vom Bezirk als Teil der Dahlem-Route ausgezeichnet, entlang der Domäne Dahlem, muß dringend von einer dicken, bereits durchgeweichten Blätterschicht befreit werden. Hier besteht erhöhte Unfallgefahr, die sich bei erster Glatteibildung weiter verstärken wird.
Bitte sorgen Sie dafür, dass die Stadtreinigung diesen öffentlichen Weg unverzüglich reinigt!"
1617586,['hcpfr5'],Steglitz-Zehlendorf,Baustellen - Sonstiges,29.11.2019 - 15:48:16,In Bearbeitung,Umgestürzter Bauzaun blockiert Teile des Fußweges
1623658,['den20x'],Steglitz-Zehlendorf,Straßenverkehrsrechtliche Anordnungen - Baustellen,05.12.2019 - 16:55:53,In Bearbeitung,"Die Meldung 6tjm69 wurde auf erledigt gesetzt, obwohl nicht passiert ist. In der Herfurthstraße ist am 18.10.2019 das halte Verbot für die Baustelle ausgelaufen. Trotzdem wird die Straße noch durch eine Baustelleneineichtung blockiert.
Bitte entfernen Sie diese unrechtmäßig Straßen Behinderungen. Den seit Wochen wird hier nicht mehr gebaut, aber wichtige Anwohner Parkplätze blockiert zu Unrecht
Es wäre schön, wenn der Fall diesmal bearbeitet werden würde und nicht einfach nur geschlossen "
1632034,['g41vls'],Steglitz-Zehlendorf,Abfall - Sperrmüll,12.12.2019 - 18:40:13,In Bearbeitung,eine Holzpalette
1634661,['xj7ny9'],Steglitz-Zehlendorf,Straßenaufsicht - Defekte Straßenbeleuchtung,14.12.2019 - 16:47:56,In Bearbeitung,An einem Lichtmast ist der Deckel halb geöffnet. Gefahr des Stromschlags wenn z.B. Kinder reingreifen.
1668142,['c1e0ox'],Friedrichshain-Kreuzberg,Gewerbe/Gaststätten - Beschwerden,13.01.2020 - 06:21:28,In Bearbeitung,"Eine Ausschanklizenz ist meines Wissens nach nicht vorhanden.
Der Inhaber betreibt einen Späti sowie einen Backshop direkt anliegend. Für den Backshop hat er Bänke und Tische vor die Tür gestellt. Jedoch bleiben diese den ganzen Tag aufgestellt , meist bis ca 21 Uhr.
D.h. eine Gruppe von Alkoholikern nutzt diese Sitzgelegenheiten um dort täglich Alkoholika aus dem Späti und gelegentlich Kannabis zu konsumieren.
Desweiteren sind häufig unangeleinte Hunde vor Ort.
Dies alles summiert sich zu einer dauernden Lärm und Belästigungsquelle.
Die Situation ist für viele Anwohner belastend.

"
1670617,['9b3dj4'],Steglitz-Zehlendorf,Abfall - Müllablagerung,16.01.2020 - 15:59:02,In Bearbeitung,Müllablagerung vor McDonald`s - 5 blaue Müllsäcke 
1673969,['eot4ht'],Steglitz-Zehlendorf,Betreff fehlt,19.01.2020 - 11:44:08,In Bearbeitung,"Illegal abgestellter Sperrmüll (Computertisch, Drucker, Kinderwagen)"
1687969,['kvlr7l'],Neukölln,Bauabfälle abgelagert,29.01.2020 - 09:18:41,In Bearbeitung,"Betonsteine, blaue Mülltüten"
1692025,['avtcld'],Steglitz-Zehlendorf,Straßenaufsicht - Sonstiges,01.02.2020 - 22:21:59,In Bearbeitung,Straßenlaterne Mast Nummer 4 seit Wochen dunkel . Leuchtmittel defekt. Gehweg ziemlich dunkel. 
1721315,['je09vl'],Steglitz-Zehlendorf,Abfall - Sonstiges,25.02.2020 - 16:19:38,In Bearbeitung,Müll
1752538,"['f51af5', 'aprg8x']",Neukölln,Abfall - Müllablagerung,10.03.2020 - 10:45:03,In Bearbeitung,"Plastik, Papier, Bauschutt usw. Müll aller Art unzwar im grünenstreifen von der Ecke Roseggerstrasse bis Innstarsse! DER GANZE STREIFEN!! Wurde schon mal reklamiert nichts, aber nichts geschah!! "
1753362,"['86m5mp', 'hmckch', 'imv0ao', 'ks1r7l']",Steglitz-Zehlendorf,Kanister (unbekannte Stoffe) abgelagert,25.03.2020 - 07:54:10,In Bearbeitung,"Kanister sind gefüllt, vermutlich Altöl."
1763508,['mglsld'],Steglitz-Zehlendorf,Grünanlage/Park - Beschädigung,02.04.2020 - 22:37:23,In Bearbeitung,"Im Gehweg ragt ein Metallband aus dem Untergrund. 
Unfall und Verletzungsgefahr "
1767705,"['gi054x', 'v5yarl']",Steglitz-Zehlendorf,Abfall - Sonstiges,06.04.2020 - 19:29:38,In Bearbeitung,"Altglascontainer seit 4 Wochen nicht geleert,Flaschen stehen mittlerweile 3 reihig rund um die Container,Stolpergefahr auf dem Gehweg "
1775495,['hbfy2o'],Friedrichshain-Kreuzberg,Verkehr - Sonstiges,14.04.2020 - 14:28:52,In Bearbeitung,Behinderung von Baumschnittarbeiten durch ordnungswidrig geparkte Fahrzeuge .
1779196,['ek8l6o'],Steglitz-Zehlendorf,Abfall - Sperrmüll,17.04.2020 - 08:53:13,In Bearbeitung, lt. Beschwerdeführerin sind seit 1 1/2 Jahren Sperrmüll sowie Hausmüll/Unrat (Sondermüll unbekannter Art) und Laubsäcke an genannter Örtlichkeit abgelagert
1788679,['w345s0'],Steglitz-Zehlendorf,Sondernutzung - Altkleidercontainer,24.04.2020 - 13:21:21,In Bearbeitung, AKC im öffentl. Straßenland vermutlich ohne Ausnahmegenehmigung
1799089,['mp0um9'],Steglitz-Zehlendorf,Abfall - Sonstiges,30.04.2020 - 17:31:22,In Bearbeitung,"ein Regal, eine Autofelge mit Reifen, Grünabfälle"
1803456,['wccgsh'],Steglitz-Zehlendorf,Abfall - Sonstiges,06.05.2020 - 10:05:43,In Bearbeitung,"Alba recycling verdreckt die Straße und lässt den Müll, der aus ihren gelben Abfallsäcken fällt, bewusst liegen "
1804983,['b6pfcx'],Neukölln,Sperrmüll abgelagert,06.05.2020 - 10:50:02,In Bearbeitung,Sperrmüll
1820063,['j1ju2p'],Neukölln,Bauabfälle abgelagert,19.05.2020 - 06:20:05,In Bearbeitung,Holzständer und einzelne Fliesen
1827168,['4x296p'],Friedrichshain-Kreuzberg,Lärm - Gewerbe,20.05.2020 - 23:52:19,In Bearbeitung,Container werden kurz vor Ladenschluss unter lautem Getöse in den Laden gefahren. 10min sehr laut und das kurz vor Mitternacht in der Ruhezeit. Stört extrem wenn man davon geweckt wird weil man schlafen muss um am nächsten Morgen früh zu arbeiten. Ist jeden Tag. Bitte öfter durch Ordnungsamt kontrollieren. Dafür kann man ja nicht den Notruf wählen. 
1852450,['67jh1d'],Neukölln,Bauabfälle abgelagert,12.06.2020 - 08:23:47,In Bearbeitung,Dachpappe 
1869623,"['ozff40', 'b1qlfl']",Neukölln,Bauabfälle abgelagert,24.06.2020 - 11:55:44,In Bearbeitung,"Dachpappe, Dämmwolle
ca. 1-2 m³"
1879786,"['qind35', 'nrqjgh']",Neukölln,Bauabfälle abgelagert,30.06.2020 - 07:10:45,In Bearbeitung,Bauabfälle
1893809,"['anhji9', 'e77cw1', 'ihcu0x', 'ntmbcx']",Neukölln,Müllablagerung,10.07.2020 - 10:25:38,In Bearbeitung,Eine übervolle Mülltonne die da seit Wochen steht und drumherum vermüllt es.
1917656,"['81kikh', 'huc2yp', 'k4e39d', 'pgt6v5', 'vavwg1']",Neukölln,Bauabfälle abgelagert,28.07.2020 - 20:46:27,In Bearbeitung,"Massenhaft Styroporabfälle u.a.
"
1948869,"['xbjdvl', 'bx9wxt']",Friedrichshain-Kreuzberg,Lärm - Gaststätte,19.08.2020 - 20:24:51,In Bearbeitung,"Lärm durch geöffnete Küchentür, die zum Hof geht"
1952812,"['aehrlt', 'nd729']",Neukölln,Müllablagerung,20.08.2020 - 07:36:34,In Bearbeitung,"Speisereste, Glas "
1952905,['2a1t6p'],Neukölln,Sperrmüll abgelagert,20.08.2020 - 09:06:18,In Bearbeitung,Sperrmüll
1953093,['4ug1z5'],Neukölln,Bauabfälle abgelagert,20.08.2020 - 11:35:21,In Bearbeitung,Dämmmaterial
1985084,['32l5a9'],Neukölln,Abfall - Müllablagerung,08.09.2020 - 11:43:34,In Bearbeitung,
1985412,"['kc5q9', 'mkpddt']",Neukölln,Abfall - Sperrmüll,14.09.2020 - 17:15:15,In Bearbeitung,Alte Matraze Lattenrost
1999659,"['gmkkqp', '435ruo', 'ow5y4h']",Neukölln,Müllablagerung,24.09.2020 - 11:54:37,In Bearbeitung,"Hallo,
wie ich schon einmal mitgeteilt habe,werden ständig Gelbe Säcke der
Hausbesitzer am Strassenrand Höhe Marienfelder Chaussee 36 neben den
Altglas Sammelcontainern abgelegt."
2009284,['9dum0x'],Steglitz-Zehlendorf,"Abfall - Bauabfälle, Bauschutt",30.09.2020 - 16:03:53,In Bearbeitung,"Linoleum, Rohre, Eimer und Schutt, siehe2 Fotos"
2011311,['c4su81'],Steglitz-Zehlendorf,Kanister (unbekannte Stoffe) abgelagert,01.10.2020 - 21:03:25,In Bearbeitung,Bauabfälle und Kanister am Zaun 
2015557,['f67im9'],Neukölln,Abfall - Müllablagerung,04.10.2020 - 15:41:04,In Bearbeitung,Müllablagerung 
2033463,['bh9ts1'],Neukölln,Bauabfälle abgelagert,16.10.2020 - 16:51:30,In Bearbeitung,"BAUABFÄLLE U. EIN PKW REIFEN
"
2037216,['iuxtz5'],Tempelhof-Schöneberg,Sondernutzung - Altkleidercontainer,20.10.2020 - 13:53:09,In Bearbeitung,Unerlaubt abgestellter Kleidercontainer in Grünanlage. (Öffentliche Grünanlage)
2037219,['8qtibl'],Tempelhof-Schöneberg,"Baumschutz - fehlender Baumschnitt, loser Ast",20.10.2020 - 16:38:17,In Bearbeitung,Ast ist lose und hängt über dem Gehweg (vertrocknet)
2048245,['qrp2ip'],Friedrichshain-Kreuzberg,Abfall - Privatfläche Schrottfahrräder ,26.10.2020 - 12:24:48,Erledigt,Schrottfahrrad
2045141,['924v0h'],Tempelhof-Schöneberg,"Grünanlage/Park - Müll, Verschmutzung",27.10.2020 - 06:59:32,In Bearbeitung,"Der Mülleimer wurde kaputt gemacht
"
2059167,['rw035t'],Neukölln,Sperrmüll abgelagert,04.11.2020 - 08:02:10,In Bearbeitung,"Sehr geehrtes Team,

auf der Gradestraße, zwischen Höhe Hornbach und der Gottlieb-Dunkel-Straße in Richtung Schöneberg befindet sich im Moment extrem viel Müll und Abfall bis in den Radweg hinein. Ich fahre diese Strecke seit über 10 Jahren mit dem Rad und stelle fest, dass der Müll immer mehr wird. Meistens gab es viel Müll um die Glascontainer herum, aber nun ist unter jedem Baum ein Müllhaufen entstanden. Es blutet mir das Herz. Aber auch mir fallen keine Möglichkeiten ein, wie man diesem Problem entgegen treten kann. (vielleicht Wildtierkameras?)

Mit freundlichen Grüßen"
2064472,['cbp43l'],Tempelhof-Schöneberg,Straßenaufsicht - Radwegschäden,05.11.2020 - 14:43:18,In Bearbeitung,"Vor der Nummer 208 steht eine Linde, deren Äste in ca 1,75 m Höhe in den Radweg ragen. Besonders jetzt in unbelaubtem Zustand peitscht dieser den Radfahrern schön in's Gesicht."
2064478,['ajv30h'],Tempelhof-Schöneberg,Abfall - Müllablagerung,06.11.2020 - 11:18:24,In Bearbeitung,Überquellender und verdreckter Altkleidercontainer
2069169,['4jjmkh'],Tempelhof-Schöneberg,Abfall - Müllablagerung,09.11.2020 - 09:13:29,In Bearbeitung,"Sehr geehrte Damen und Herren,

Der auf den Fotos erkennbare Altkleidercontainer quillt über und zieht zeitweise Ratten an und verschandelt die Umwelt "
2070107,['e1yw8w'],Steglitz-Zehlendorf,Straßenaufsicht - Sonstiges,12.11.2020 - 14:25:19,In Bearbeitung,"Mobile Haltverbote Gültigkeit 20.07.20 -24.07.20
stehen immer noch vor Ort "
2074824,['6rcv7l'],Treptow-Köpenick,Abfall - Sonstiges,13.11.2020 - 13:23:53,In Bearbeitung,Kleinverschmutzungen
2109199,['7vl3wh'],Tempelhof-Schöneberg,Gesundheitsschutz/Hygiene - Ungeziefer (z. B. Ratten),28.11.2020 - 09:05:43,In Bearbeitung,Tägliche Sichtung von Ratten rund um den Wartburgplatz
2163733,"['ho7eo1', 'ltdfr5', 'zb43k1']",Neukölln,Elektroschrott abgelagert,23.12.2020 - 10:23:45,In Bearbeitung,1x Kühlschrank
2173627,"['hyth4x', 'vabe2p']",Neukölln,Elektroschrott abgelagert,28.12.2020 - 15:31:03,In Bearbeitung,4x Altreifen
2227898,"['1z7p4x', 'ai01kx', 'gn0l4x', 'ntgjy9']",Neukölln,"Abfall - Bauabfälle, Bauschutt",20.01.2021 - 18:14:05,In Bearbeitung,Mehrere große Säcke mit Müll
2305087,"['bjqj29', 'v48wjk', 'y4crgh']",Neukölln,Müllablagerung,22.02.2021 - 16:40:17,In Bearbeitung,"Essensreste, Mülltüten"
2312708,"['lpw5q9', 'xgbhmp']",Friedrichshain-Kreuzberg,Abfall - aus Gewerbebetrieben,24.02.2021 - 14:50:19,In Bearbeitung,Ungeleerter bzw. nicht abgeholter Müllcontainer
2337788,"['sjxywx', 'bh5tkx']",Neukölln,Müllablagerung,04.03.2021 - 09:28:19,In Bearbeitung,"Die Sitzbank wird regelmäßig benutzt, doch befindet sich kein Mülleimer daneben, sodass Müll von Essen etc die Bank und Umgebung verunreinigen.Ratten werden angezogen und es sieht auch unschön aus."
2346871,"['ciuznl', 'ubujnl', 'wi1r7l', 'xm04qp']",Neukölln,Sperrmüll abgelagert,07.03.2021 - 08:20:06,In Bearbeitung,Sperrmüll
2350832,['bt28sh'],Neukölln,Abfall - Papierkörbe,10.03.2021 - 08:08:33,In Bearbeitung,Papierkorb quillt über
2356296,['mck075'],Pankow,Straßenaufsicht - Straßen- und Gehwegschäden,11.03.2021 - 12:26:46,In Bearbeitung,Großer Stein an Baumscheibe locker
2376259,['hhbx8h'],Friedrichshain-Kreuzberg,"Baustellen - fehlende, mangelnde Absicherung",19.03.2021 - 09:57:32,In Bearbeitung,"Die Baustelle vor dem (ehemaligen) Woolworth breitet sich immer weiter auf den Radweg aus. Containerecken und Anhängerdeichseln ragen häufig in den Radweg hinein, Absperrbaken werden in den Radweg hinein verschoben, LKW und private PKW werden ständig halb, oder wie in diesem Fall ganz, auf dem Radweg abgestellt. "
2391167,['m3xu69'],Neukölln,Bauabfälle abgelagert,24.03.2021 - 11:33:48,In Bearbeitung,Kloschüssel
2394448,['lflbsx'],Neukölln,"Abfall - Bauabfälle, Bauschutt",24.03.2021 - 14:46:26,In Bearbeitung,Schutt
2449296,['i8dpfl'],Neukölln,Bauabfälle abgelagert,11.04.2021 - 09:12:36,In Bearbeitung,"Seir ca 2 Wochen Bauschutt auf dem Bürgersteig.
"
2469319,"['bon94x', 'd5k5j5', 'wxdypt']",Friedrichshain-Kreuzberg,Abfall - Sonderabfälle,18.04.2021 - 14:37:27,In Bearbeitung,Könnte von Gewerbetreiber stammen. Wenn Sie kommen ist eventuell der eine Kassenbon noch da
2467258,['f9kfsx'],Neukölln,Bauabfälle abgelagert,19.04.2021 - 07:48:46,In Bearbeitung,Dämmwolle
2546930,['yot8u9'],Friedrichshain-Kreuzberg,Spielplätze,17.05.2021 - 21:07:31,In Bearbeitung,Die ausgewiesenen Ruhezeiten werden nicht eingehalten. Bitte reinigen Sie entsprechende Schilder.
2581421,['xw8oht'],Neukölln,"Abfall - Bauabfälle, Bauschutt",28.05.2021 - 15:24:11,In Bearbeitung,Müll 
2606813,['4xsz5t'],Neukölln,"Abfall - Bauabfälle, Bauschutt",04.06.2021 - 11:34:53,In Bearbeitung,Farbeimer und Bauschutt
2618204,['7qo16p'],Neukölln,Bauabfälle abgelagert,09.06.2021 - 09:02:03,In Bearbeitung,Diverse Behälter mit Chemikalien/ Farben
2638178,['ypohz5'],Friedrichshain-Kreuzberg,Lärm - Gaststätte,10.06.2021 - 23:08:55,In Bearbeitung,Die Kneipe Tante Lisbeth öffnet seit Tagen bis nachts um 0:00Uhr. Die zahlreichen Extratische auf dem Bürgersteig und in den Parkbuchten sind voll besetzt und extrem laut und ruhestörend.
2631760,['iwv1z4'],Tempelhof-Schöneberg,Lärm,16.06.2021 - 06:57:54,In Bearbeitung,"Auf dem Spielplatz in der Crellestraße 47 wird in den Abendstunden durch nicht sachgerechte Nutzung, erheblicher Lärm verursacht. Es sind wiederholt Beschwerden beim Bezirksamt eingegangen."
2685049,['6dvmrl'],Neukölln,Bauabfälle abgelagert,02.07.2021 - 16:53:30,In Bearbeitung,In blauen Säcken abgelagerter Müll.
2743412,"['cx4pa9', 's3gt1d']",Friedrichshain-Kreuzberg,Abfall - Privatfläche,19.07.2021 - 09:03:37,In Bearbeitung,Stühle und Wäscheständer 
2738753,['2zg5c1'],Friedrichshain-Kreuzberg,Abfall - Elektroschrott,24.07.2021 - 22:38:51,In Bearbeitung,Seit Tagen steht ein herrenloser Kühlschrank herum
2772277,"['naj5s1', 'ul6nlt']",Neukölln,"Abfall - Bauabfälle, Bauschutt",05.08.2021 - 09:36:12,In Bearbeitung,Baumreststoffe
2784210,['rz9mo1'],Neukölln,Bauabfälle abgelagert,10.08.2021 - 07:21:48,In Bearbeitung,Einkaufswagen mit Müll  / Bauschutt
2790818,['puulfl'],Neukölln,Bauabfälle abgelagert,11.08.2021 - 10:35:37,In Bearbeitung,Bauschutt
