item_category,item_condition,item_available_timer,distance,n_views,n_likes,item_id
kids,1,29,31713,1835,165,266
clothes,2,6,13058,734,88,267
clothes,4,17,29055,98,12,268
kids,4,68,17606,261,0,269
kitchen_utensils,4,62,12996,1588,301,270
kids,4,42,892,1405,266,271
other,4,45,6214,249,39,272
other,2,53,19908,830,58,273
other,1,85,17111,1333,239,274
furniture,4,32,31798,1489,282,275
other,1,75,4094,1824,0,276
kitchen_utensils,4,16,20861,701,63,277
other,1,41,7392,1843,221,278
other,3,12,11703,969,174,279
other,2,57,28959,956,172,280
furniture,1,30,27154,66,3,281
other,3,70,24866,35,3,282
kitchen_utensils,4,10,11275,1107,154,283
clothes,4,9,3880,1336,66,284
kitchen_utensils,4,34,14091,207,10,285
other,4,19,5880,1985,218,286
kitchen_utensils,4,59,29281,1277,217,287
kids,2,52,28578,22,2,288
furniture,3,38,30507,1933,328,289
clothes,1,14,25826,1332,239,290
furniture,4,62,29924,1665,249,291
furniture,3,37,474,639,95,292
furniture,3,34,9688,625,75,293
kids,3,4,24021,878,140,294
kids,1,5,1742,330,49,295
kitchen_utensils,4,6,22539,370,29,296
kitchen_utensils,4,96,15591,1948,311,297
furniture,2,50,18270,1615,226,298
other,4,16,2486,1676,234,299
clothes,4,98,2261,1486,148,300
kitchen_utensils,3,69,8534,401,60,301
other,2,0,17685,1285,0,302
other,4,31,21259,1743,52,303
kitchen_utensils,4,35,16448,356,21,304
other,2,77,2413,125,11,305
kitchen_utensils,2,17,1109,407,73,306
kids,3,68,1870,1035,10,307
kids,1,20,7636,1867,74,308
furniture,4,56,24241,1418,113,309
kids,4,71,26548,28,3,310
other,1,10,2167,1207,132,311
furniture,4,62,30446,1043,0,312
clothes,4,35,18328,1365,95,313
kids,3,35,1743,1083,0,314
furniture,1,29,23515,1402,56,315
kids,4,31,11429,1898,132,316
clothes,1,27,28358,906,54,317
kitchen_utensils,4,19,17267,1905,304,318
furniture,4,98,642,1871,243,319
other,3,18,25403,888,142,320
clothes,4,32,7929,637,0,321
furniture,4,79,3026,386,42,322
kids,2,76,12959,119,15,323
furniture,4,32,10924,1435,157,324
kitchen_utensils,1,7,5924,1774,17,325
kitchen_utensils,1,14,13946,1830,109,326
kids,1,1,30192,1860,0,327
other,3,59,10107,838,0,328
kids,2,30,24795,1512,241,329
furniture,2,88,30450,292,11,330
kitchen_utensils,2,6,13649,517,98,331
other,3,41,8606,1295,220,332
kitchen_utensils,3,25,30306,508,30,333
furniture,4,46,28565,77,7,334
other,3,8,276,1956,293,335
other,2,25,2748,823,156,336
kids,4,99,3653,1868,298,337
other,4,44,2273,1192,23,338
clothes,4,97,8436,790,55,339
clothes,3,4,19245,957,172,340
kids,3,3,1601,55,5,341
furniture,4,21,6621,326,6,342
kids,2,60,21407,1501,150,343
clothes,3,56,8311,86,0,344
clothes,1,39,25241,1097,197,345
clothes,4,46,6345,467,65,346
kids,1,0,15772,1095,43,347
other,1,0,23179,911,45,348
other,1,87,9595,425,38,349
kitchen_utensils,1,71,1782,417,66,350
clothes,3,95,27304,1396,125,351
kids,2,41,2066,1881,319,352
kitchen_utensils,2,60,7962,500,15,353
kitchen_utensils,2,32,30944,1501,225,354
other,4,50,1454,1825,109,355
kitchen_utensils,3,55,28053,1376,206,356
other,4,5,16723,1469,73,357
clothes,2,9,8269,967,9,358
kitchen_utensils,2,77,11966,1441,57,359
kitchen_utensils,1,93,9132,435,65,360
furniture,4,10,29519,1832,293,361
furniture,4,24,10692,1221,231,362
furniture,2,68,15135,619,12,363
kids,4,69,8889,636,50,364
clothes,1,49,16033,883,141,365
other,1,72,4700,1247,124,366
clothes,1,47,15458,1516,197,367
other,3,90,15637,1312,236,368
other,1,89,23387,528,84,369
kitchen_utensils,4,84,14186,610,18,370
furniture,2,58,5823,1974,0,371
furniture,2,65,3085,15,1,372
furniture,4,47,20724,1878,56,373
furniture,1,30,12137,174,10,374
kitchen_utensils,1,84,28974,1475,280,375
furniture,1,0,969,1044,156,376
other,4,49,2017,832,133,377
furniture,4,93,23308,139,13,378
clothes,2,10,31823,1399,167,379
kids,1,61,28842,241,28,380
kids,3,1,6492,679,47,381
clothes,2,7,1295,77,2,382
other,3,9,21599,170,17,383
clothes,3,48,31397,1580,237,384
other,2,80,1844,599,11,385
other,3,66,1821,1547,262,386
other,4,80,10388,1224,220,387
other,3,69,5646,640,25,388
furniture,1,99,26171,767,61,389
kids,1,28,21793,1719,257,390
kitchen_utensils,1,31,22390,983,29,391
kids,3,86,271,946,56,392
kitchen_utensils,2,14,31021,1072,150,393
kids,1,77,9298,1694,304,394
clothes,3,74,3708,1681,285,395
other,3,10,1681,1239,210,396
kids,2,90,7236,549,49,397
kids,4,16,28273,644,51,398
clothes,2,2,30438,718,21,399
clothes,2,73,25227,947,132,400
kids,2,6,11371,1311,0,401
other,1,6,11069,27,4,402
furniture,1,95,7397,1027,20,403
furniture,4,69,16535,30,0,404
other,3,18,27729,482,57,405
kitchen_utensils,3,17,27884,1039,83,406
kitchen_utensils,2,82,6647,1804,180,407
kitchen_utensils,4,13,641,586,5,408
other,3,10,10114,935,0,409
kitchen_utensils,2,83,19876,705,126,410
other,1,68,426,883,61,411
kitchen_utensils,1,33,21388,1057,73,412
furniture,2,8,18493,1934,116,413
furniture,3,99,4463,339,57,414
clothes,1,54,29522,821,82,415
kitchen_utensils,3,51,31101,1984,99,416
kids,1,14,28675,625,43,417
kids,4,70,30589,829,66,418
kids,3,53,25670,573,17,419
other,4,25,195,1633,277,420
other,3,3,12515,1395,223,421
kitchen_utensils,4,75,7605,1315,52,422
kitchen_utensils,2,82,26782,1403,84,423
furniture,2,94,30602,247,9,424
furniture,4,79,20211,821,57,425
clothes,4,8,3993,808,129,426
furniture,3,43,6571,867,164,427
kids,2,33,345,225,0,428
furniture,2,67,15897,1401,182,429
clothes,1,92,2637,640,6,430
furniture,2,73,21136,1912,229,431
furniture,2,76,30500,1229,221,432
kitchen_utensils,3,32,29279,844,118,433
clothes,4,65,7899,1878,356,434
kitchen_utensils,3,8,14384,803,96,435
furniture,2,15,12948,1508,226,436
other,4,78,1728,1734,242,437
kitchen_utensils,1,83,30718,283,36,438
other,2,82,2412,709,113,439
furniture,1,45,22463,1815,18,440
other,1,16,3415,601,78,441
clothes,3,69,26113,668,0,442
kitchen_utensils,1,56,17388,1988,79,443
kids,1,18,12597,979,137,444
kids,1,92,16443,1129,180,445
kitchen_utensils,1,31,17860,861,111,446
kids,2,17,7490,1644,0,447
clothes,2,75,17480,1713,102,448
clothes,3,99,7793,1308,196,449
furniture,3,40,16963,1506,60,450
furniture,3,32,27998,1313,196,451
clothes,1,75,24476,1154,196,452
kitchen_utensils,3,69,2070,156,24,453
clothes,3,66,14305,505,25,454
other,3,86,31073,1063,127,455
kids,4,94,1210,453,0,456
furniture,4,95,21465,1487,237,457
other,2,16,25602,724,137,458
other,1,51,2726,962,9,459
kids,2,81,26246,629,31,460
furniture,2,1,2095,1610,64,461
other,2,92,30438,597,65,462
other,1,53,2083,1756,333,463
other,2,22,13412,143,1,464
clothes,3,72,17408,356,32,465
furniture,3,27,16198,315,28,466
other,1,52,3670,1542,185,467
kitchen_utensils,1,94,30868,1969,59,468
kitchen_utensils,2,7,17924,1935,96,469
other,2,70,21080,54,10,470
kitchen_utensils,4,58,11059,1268,228,471
kids,4,35,19648,973,58,472
other,3,14,5611,1746,17,473
furniture,4,21,16342,1080,0,474
furniture,2,50,14641,1953,97,475
kitchen_utensils,3,9,29150,1295,90,476
kitchen_utensils,4,1,9499,213,38,477
kitchen_utensils,1,49,28816,1046,125,478
kitchen_utensils,4,85,15309,1775,17,479
other,2,36,6375,881,0,480
other,2,83,21750,314,25,481
kitchen_utensils,4,83,31402,1182,47,482
furniture,1,77,16164,1580,205,483
kids,3,83,15205,1681,151,484
furniture,4,85,12181,853,153,485
furniture,2,23,3543,1849,184,486
kitchen_utensils,1,52,22927,152,6,487
furniture,2,51,4940,1523,258,488
clothes,4,78,20930,1121,190,489
clothes,4,83,24912,544,59,490
kitchen_utensils,3,50,25295,266,26,491
kitchen_utensils,2,95,994,1109,133,492
other,1,4,16312,1647,65,493
furniture,2,78,11154,895,35,494
other,2,19,19319,1255,112,495
other,3,91,21627,2,0,496
other,4,98,29241,1954,351,497
clothes,1,28,31479,71,5,498
kids,1,85,653,989,49,499
clothes,2,88,29938,1763,70,500
other,3,89,13660,243,12,501
furniture,4,64,17372,1508,211,502
kitchen_utensils,2,2,12546,715,7,503
other,1,98,19782,804,56,504
kitchen_utensils,1,17,27225,759,53,505
kitchen_utensils,2,81,3076,1201,108,506
furniture,2,35,12875,1088,54,507
kitchen_utensils,2,47,27243,9,1,508
kids,2,75,5846,635,63,509
other,4,58,28190,403,0,510
clothes,1,62,17707,1499,164,511
clothes,1,12,30571,104,11,512
furniture,1,8,19649,1652,198,513
kitchen_utensils,4,60,5476,1369,41,514
furniture,2,7,11648,1935,174,515
kids,1,47,9280,1688,185,516
kids,1,64,21810,1243,87,517
furniture,4,49,30075,754,0,518
furniture,3,61,30587,398,71,519
furniture,1,17,30893,1916,287,520
other,3,9,31320,1727,51,521
kitchen_utensils,3,96,23438,826,82,522
other,4,82,5070,1370,178,523
other,3,54,26847,35,1,524
kids,2,33,13144,1510,211,525
other,1,0,23624,1958,117,526
clothes,1,17,30071,1050,10,527
clothes,2,53,31426,338,64,528
clothes,3,52,21060,969,67,529
clothes,4,88,3869,915,73,530
clothes,2,4,6869,1429,0,531
other,3,55,1277,545,16,532
kitchen_utensils,1,78,563,682,27,533
furniture,3,16,18712,1888,339,534
clothes,1,40,21421,1456,218,535
kitchen_utensils,1,88,4076,494,79,536
furniture,3,38,14572,852,17,537
kids,3,45,506,622,37,538
other,2,26,22380,360,46,539
clothes,4,45,29753,1610,177,540
kids,4,64,19579,1555,186,541
other,4,99,11912,548,38,542
furniture,1,31,8661,816,81,543
kitchen_utensils,2,47,28460,1592,0,544
kids,3,69,18515,316,25,545
furniture,4,73,12892,266,18,546
furniture,1,61,6298,253,25,547
kitchen_utensils,1,60,8086,1777,17,548
clothes,1,57,5803,1473,279,549
kitchen_utensils,3,0,13789,112,20,550
furniture,1,28,27302,365,3,551
furniture,3,9,15881,1158,34,552
clothes,4,4,18844,1758,298,553
furniture,3,51,30352,427,51,554
kitchen_utensils,1,26,30945,1790,304,555
kitchen_utensils,2,60,7272,1899,341,556
clothes,4,26,11216,232,27,557
kitchen_utensils,2,99,17035,1811,307,558
clothes,3,22,13684,1715,274,559
kids,1,9,17090,1199,215,560
kitchen_utensils,4,51,19627,1110,44,561
other,1,96,17492,96,8,562
kids,2,0,19052,1532,45,563
other,1,43,24695,639,108,564
other,3,94,27919,1659,82,565
kids,3,88,20102,1684,117,566
other,2,39,9998,288,54,567
other,1,3,25312,922,110,568
other,2,13,4494,266,2,569
other,2,58,29288,1009,151,570
kitchen_utensils,3,65,6220,684,109,571
clothes,2,94,22776,362,47,572
other,1,88,26537,5,0,573
furniture,4,44,26842,1992,199,574
clothes,2,34,30,1229,196,575
kids,2,23,30228,636,108,576
other,1,89,5744,1739,121,577
clothes,2,43,290,53,2,578
kitchen_utensils,1,82,21276,1353,13,579
other,3,98,28304,16,0,580
kids,4,8,10047,543,97,581
furniture,1,80,22013,1195,11,582
kids,4,72,8589,1085,195,583
other,1,33,14907,25,1,584
kids,3,24,1982,224,31,585
furniture,4,93,31236,1452,58,586
kitchen_utensils,3,19,21049,1748,52,587
kitchen_utensils,4,7,24943,1700,323,588
clothes,2,68,5122,499,0,589
kitchen_utensils,3,62,21772,836,125,590
furniture,4,52,20159,1499,209,591
kitchen_utensils,2,28,9911,1295,181,592
furniture,4,12,21377,515,0,593
clothes,2,13,106,840,126,594
clothes,2,53,1560,467,23,595
furniture,2,86,24913,331,19,596
clothes,4,59,21479,1546,139,597
kitchen_utensils,2,53,2237,208,22,598
kitchen_utensils,3,15,19022,4,0,599
clothes,1,50,10220,1162,197,600
other,1,64,15501,1949,253,601
kitchen_utensils,4,64,19247,1900,190,602
kids,3,68,3864,1853,129,603
kids,1,60,15549,408,36,604
clothes,2,89,21550,272,38,605
clothes,4,43,4715,360,14,606
clothes,3,13,31138,1230,49,607
other,2,81,4807,531,42,608
clothes,4,32,717,1570,15,609
other,2,16,30785,101,8,610
clothes,3,58,13353,1866,298,611
furniture,3,71,2989,745,81,612
furniture,1,64,4195,1154,219,613
kids,4,72,26110,5,0,614
clothes,4,22,3681,1261,126,615
furniture,2,9,21772,59,4,616
kitchen_utensils,4,81,18895,418,62,617
kitchen_utensils,2,9,16463,1764,123,618
other,1,1,25130,1283,51,619
clothes,1,50,26455,1791,53,620
kitchen_utensils,4,15,27289,399,31,621
clothes,4,42,11341,1753,87,622
furniture,3,42,23959,1859,167,623
furniture,2,5,5418,79,12,624
furniture,2,88,683,80,2,625
kitchen_utensils,1,88,3826,1392,139,626
furniture,2,55,14220,1281,76,627
kids,1,67,13578,1475,221,628
clothes,3,36,2597,847,42,629
kids,3,6,28242,1661,33,630
furniture,2,85,23904,1947,214,631
furniture,4,97,12864,1182,212,632
kids,2,33,3779,1174,0,633
clothes,1,56,9396,447,53,634
clothes,4,84,31991,1342,214,635
clothes,2,52,4494,1891,94,636
kitchen_utensils,1,79,22946,1346,228,637
clothes,2,62,12453,1470,88,638
kids,1,47,18853,1781,338,639
furniture,1,95,28241,249,32,640
other,1,79,16310,800,40,641
other,3,60,8390,1466,102,642
kids,4,68,31336,283,8,643
other,1,86,3984,1678,285,644
other,4,83,15017,915,146,645
furniture,2,36,7815,281,19,646
furniture,2,86,12800,603,54,647
furniture,3,14,21,1561,202,648
clothes,3,59,2695,455,54,649
other,2,75,23525,1093,131,650
kitchen_utensils,1,72,22551,484,91,651
kids,3,70,19331,862,129,652
clothes,3,30,379,1954,234,653
other,2,5,29447,418,62,654
kids,4,21,19674,422,67,655
kids,3,18,5396,1770,88,656
clothes,2,10,7170,1751,262,657
furniture,2,97,18611,236,4,658
furniture,4,90,25802,728,109,659
furniture,1,30,29654,805,104,660
kids,4,43,25174,904,9,661
kids,2,25,11531,1369,54,662
furniture,3,72,14923,529,15,663
kids,4,27,23333,1138,11,664
kitchen_utensils,2,45,7014,1353,216,665
kitchen_utensils,1,80,6860,210,33,666
other,3,15,25516,1740,295,667
furniture,3,13,4537,213,25,668
kitchen_utensils,2,68,8769,338,10,669
furniture,4,89,8384,1241,161,670
other,1,49,9889,187,1,671
kids,4,53,16896,501,25,672
clothes,2,41,29676,428,17,673
other,3,0,15502,1404,210,674
other,4,27,10949,489,92,675
furniture,3,63,14968,1328,0,676
furniture,2,16,26856,1031,20,677
clothes,4,62,23135,646,71,678
kids,4,74,6439,407,32,679
kitchen_utensils,2,54,14359,763,137,680
furniture,4,71,10777,1968,137,681
clothes,2,26,1968,1915,76,682
kids,3,38,26098,692,83,683
kids,3,93,17255,946,28,684
kitchen_utensils,3,53,10946,20,3,685
other,1,64,26409,867,43,686
clothes,3,86,27806,273,10,687
kids,1,7,19830,1978,276,688
kitchen_utensils,3,39,9255,702,63,689
clothes,1,10,957,1531,214,690
kitchen_utensils,4,71,4124,1984,257,691
kitchen_utensils,3,30,17289,677,108,692
other,3,41,2381,130,10,693
clothes,2,19,5682,574,63,694
other,1,54,16192,1523,106,695
other,4,90,22448,1105,165,696
kitchen_utensils,1,34,6657,882,158,697
kids,1,73,11361,1596,143,698
furniture,2,65,19376,1006,80,699
kids,1,38,23500,4,0,700
kids,4,20,1903,1436,86,701
other,2,59,5114,581,5,702
furniture,4,57,9995,647,103,703
other,3,35,24773,1390,27,704
kitchen_utensils,3,54,31467,573,40,705
other,3,71,26431,1647,181,706
kids,4,38,11779,1966,0,707
kids,1,70,22066,230,20,708
clothes,2,82,31079,115,0,709
other,3,39,10382,712,0,710
kitchen_utensils,4,72,10400,723,57,711
other,4,41,11876,1414,212,712
other,1,49,21789,1707,34,713
other,1,25,28199,12,1,714
clothes,4,46,29320,579,75,715
kids,4,97,1189,535,16,716
kids,4,47,13048,1696,169,717
furniture,4,45,24065,407,77,718
kids,2,59,27705,409,40,719
clothes,1,41,11767,13,1,720
furniture,3,18,11543,995,179,721
kitchen_utensils,2,45,25312,868,60,722
other,2,24,7061,1142,102,723
furniture,1,46,7439,1383,193,724
kitchen_utensils,3,10,7865,1581,284,725
kids,3,93,18140,636,25,726
other,3,47,15913,459,32,727
kitchen_utensils,2,4,4223,1298,246,728
clothes,2,97,21914,1672,100,729
kitchen_utensils,3,23,2998,1311,196,730
other,1,52,31491,1813,163,731
furniture,1,62,19520,1323,185,732
kitchen_utensils,3,68,28325,1900,152,733
clothes,1,24,11998,1254,50,734
furniture,4,53,15602,852,153,735
other,4,27,23290,1061,42,736
clothes,3,27,8182,592,82,737
kids,4,29,27945,792,118,738
furniture,3,92,20067,925,55,739
clothes,4,97,522,1329,0,740
kitchen_utensils,1,85,5399,1288,64,741
kitchen_utensils,4,92,13629,95,2,742
other,4,68,5405,575,34,743
other,2,87,29611,1702,51,744
kids,2,18,1673,1520,243,745
kitchen_utensils,4,24,7552,1152,138,746
furniture,4,70,15040,1640,246,747
kids,4,17,30952,1219,73,748
kids,2,87,31333,97,17,749
kitchen_utensils,3,7,13721,768,46,750
other,1,22,17161,1964,196,751
kitchen_utensils,1,14,4712,870,60,752
other,2,38,19355,1272,0,753
kitchen_utensils,2,62,9222,106,15,754
other,4,82,23565,1335,160,755
kids,2,23,1411,276,33,756
clothes,1,70,30943,159,3,757
clothes,4,30,18525,285,45,758
kids,4,36,24441,1370,27,759
clothes,3,9,26916,1112,0,760
kids,4,99,31410,695,13,761
furniture,1,58,21927,1895,75,762
kitchen_utensils,3,82,12934,1422,156,763
kitchen_utensils,1,82,29680,1113,155,764
kids,4,66,16014,1589,174,765
kitchen_utensils,4,27,30475,934,37,766
other,4,54,24675,462,64,767
kitchen_utensils,3,82,2988,1407,42,768
other,1,63,17422,517,20,769
kitchen_utensils,1,34,942,1892,170,770
kids,2,62,11728,1638,16,771
kids,2,82,31638,427,34,772
kids,4,8,18314,996,0,773
clothes,1,75,16352,681,20,774
other,4,15,21996,1757,17,775
kids,1,85,31305,1170,93,776
furniture,4,58,29491,1607,160,777
furniture,1,79,21748,125,0,778
clothes,2,12,2922,1907,286,779
clothes,3,88,23697,1820,127,780
