id,title,description,available,timedate_creation,latitude,longitude,condition,categories,category_ml,views,likes,point
12,"['Kitchen', 'Kids toys']",whaterver,0,2023-03-11 00:00:00.000000,68.3760455,169.879653,poor,kitchen_utensils,Kitchen,1038,17,['SRID=4326;POINT (-128.886594 48.756426)']
13,"['Plants', 'Kitchen', 'Kids toys']",hellooo,0,2023-03-12 00:00:00.000000,33.699209,-102.593694,poor,kids,Plants,11,7,['SRID=4326;POINT (46.857492 -19.777902)']
14,"['Plants', 'Kitchen', 'Kids toys']",what day is today?,0,2023-03-31 00:00:00.000000,-37.633131,-84.629122,like_new,furniture,Plants,571,13,['SRID=4326;POINT (-143.260129 -18.848349)']
15,['All'],yeyyyy,1,2023-03-27 00:00:00.000000,-2.207773,21.953401,like_new,furniture,All,269,6,['SRID=4326;POINT (94.809970 -76.2392215)']
16,['Clothes'],what day is today?,1,2023-03-22 00:00:00.000000,14.695096,26.135271,like_new,other,Clothes,536,2,['SRID=4326;POINT (115.052290 -56.212977)']
17,"['Kitchen', 'Kids toys']",everything,1,2023-03-31 00:00:00.000000,62.8020405,-98.424997,acceptable,clothes,Kitchen,1858,12,['SRID=4326;POINT (172.221281 -80.662540)']
18,"['Plants', 'Kitchen', 'Kids toys']",testing,1,2023-03-20 00:00:00.000000,75.5441955,58.195068,like_new,kitchen_utensils,Plants,272,11,['SRID=4326;POINT (97.158504 64.4725985)']
19,"['Kitchen', 'Kids toys']",bug,0,2023-03-25 00:00:00.000000,-33.592433,71.637754,acceptable,furniture,Kitchen,1669,17,['SRID=4326;POINT (-70.775399 15.072672)']
20,"['Kitchen', 'Kids toys']",uhuuuu,0,2023-03-09 00:00:00.000000,-63.808825,107.389751,acceptable,kids,Kitchen,1944,1,['SRID=4326;POINT (35.883501 -57.357113)']
21,"['Clothes', 'Kids toys', 'Plants']",anything,1,2023-03-30 00:00:00.000000,35.2425365,170.816767,like_new,furniture,Clothes,426,19,['SRID=4326;POINT (-89.843784 -81.334470)']
22,"['Kitchen', 'Kids toys']",everything,1,2023-03-15 00:00:00.000000,-27.451945,-50.7692,like_new,furniture,Kitchen,1238,16,['SRID=4326;POINT (-128.923533 70.661337)']
23,"['Kitchen', 'Kids toys']",hellooo,1,2023-03-24 00:00:00.000000,19.117022,-142.600103,like_new,clothes,Kitchen,663,5,['SRID=4326;POINT (114.187634 -32.9253635)']
24,"['Clothes', 'Kids toys', 'Plants']",anything,0,2023-03-31 00:00:00.000000,-36.658707,-62.696985,acceptable,other,Clothes,1719,15,['SRID=4326;POINT (84.025748 -65.610691)']
25,['Furniture'],anything,0,2023-03-15 00:00:00.000000,-63.253363,95.524096,good,other,Furniture,1263,11,['SRID=4326;POINT (-110.085973 72.0798765)']
26,['Clothes'],we are the second team to present,0,2023-03-15 00:00:00.000000,57.7030965,129.681296,acceptable,furniture,Clothes,1141,18,['SRID=4326;POINT (99.062652 81.539233)']
27,"['Plants', 'Kitchen', 'Kids toys']",whaterver,0,2023-03-26 00:00:00.000000,71.264508,32.009025,like_new,furniture,Plants,1190,3,['SRID=4326;POINT (164.148902 -19.644558)']
28,"['Kitchen', 'Kids toys']",hellooo,1,2023-03-28 00:00:00.000000,81.812041,158.390677,poor,kitchen_utensils,Kitchen,1974,24,['SRID=4326;POINT (143.659406 -82.248495)']
29,['All'],testing,0,2023-03-22 00:00:00.000000,2.710704,-69.454179,like_new,other,All,1775,1,['SRID=4326;POINT (166.010176 -80.694761)']
30,"['Plants', 'Kitchen', 'Kids toys']",yeyyyy,1,2023-03-15 00:00:00.000000,28.256685,-64.44251,like_new,clothes,Plants,946,18,['SRID=4326;POINT (98.070818 -33.0809105)']
31,"['Plants', 'Kitchen', 'Kids toys']",uhuuuu,1,2023-03-06 00:00:00.000000,-51.520152,-52.975733,poor,kids,Plants,4,11,['SRID=4326;POINT (63.600490 36.6585765)']
32,['All'],what day is today?,1,2023-03-10 00:00:00.000000,72.2078605,-31.788736,acceptable,kids,All,1443,13,['SRID=4326;POINT (168.405927 -12.148657)']
33,"['Kitchen', 'Kids toys']",testing,0,2023-03-24 00:00:00.000000,-1.672805,176.633287,acceptable,other,Kitchen,810,17,['SRID=4326;POINT (-20.302501 -66.1947925)']
34,['Clothes'],whaterver,0,2023-04-04 00:00:00.000000,-56.583444,86.471865,like_new,clothes,Clothes,1885,12,['SRID=4326;POINT (18.947669 74.444793)']
35,['Furniture'],yeyyyy,1,2023-03-10 00:00:00.000000,-28.233675,-106.934027,good,furniture,Furniture,460,19,['SRID=4326;POINT (39.772243 -25.5564705)']
36,['All'],everything,0,2023-03-06 00:00:00.000000,40.1697915,-28.112486,good,furniture,All,731,4,['SRID=4326;POINT (-102.702958 48.8347965)']
37,"['Kitchen', 'Kids toys']",yeyyyy,1,2023-03-23 00:00:00.000000,-50.9188135,-117.854409,acceptable,kids,Kitchen,812,0,['SRID=4326;POINT (92.663937 -3.7065865)']
38,"['Kitchen', 'Kids toys']",what day is today?,0,2023-03-21 00:00:00.000000,-69.710436,13.001992,poor,other,Kitchen,333,17,['SRID=4326;POINT (-77.124994 -36.251338)']
39,['All'],whaterver,1,2023-03-20 00:00:00.000000,49.9728845,47.550122,like_new,kids,All,705,2,['SRID=4326;POINT (169.516629 11.695518)']
40,['Furniture'],whaterver,1,2023-03-24 00:00:00.000000,-80.4762285,-103.375847,like_new,clothes,Furniture,387,15,['SRID=4326;POINT (56.693728 -69.3028855)']
41,"['Plants', 'Kitchen', 'Kids toys']",solving the problem,0,2023-03-19 00:00:00.000000,78.966599,174.985298,like_new,other,Plants,751,9,['SRID=4326;POINT (-96.751538 51.388866)']
42,['All'],solving the problem,1,2023-03-14 00:00:00.000000,71.6956935,82.679729,poor,kitchen_utensils,All,1368,17,['SRID=4326;POINT (7.863564 -48.2996555)']
43,"['Furniture', 'Clothes', 'Kitchen']",uhuuuu,1,2023-04-03 00:00:00.000000,-50.109329,127.424717,acceptable,furniture,Furniture,92,17,['SRID=4326;POINT (50.527816 -18.8984315)']
44,"['Kitchen', 'Kids toys']",today is the presentation day,0,2023-03-15 00:00:00.000000,-58.653651,-95.294143,poor,furniture,Kitchen,1329,7,['SRID=4326;POINT (-105.215891 28.499248)']
45,['All'],what day is today?,1,2023-03-31 00:00:00.000000,23.7674395,-83.645753,poor,kids,All,510,6,['SRID=4326;POINT (-159.430371 -9.7704685)']
46,['All'],solving the problem,0,2023-03-28 00:00:00.000000,63.786135,-134.214039,poor,other,All,1225,0,['SRID=4326;POINT (16.855181 83.7815605)']
47,['Furniture'],whaterver,0,2023-03-10 00:00:00.000000,-62.8881045,85.361702,good,furniture,Furniture,1267,7,['SRID=4326;POINT (-48.124509 49.700499)']
48,['All'],everything,0,2023-03-07 00:00:00.000000,-81.9179115,136.402307,like_new,furniture,All,9,17,['SRID=4326;POINT (-133.685782 34.997729)']
49,"['Clothes', 'Kids toys', 'Plants']",uhuuuu,0,2023-03-18 00:00:00.000000,67.261176,-42.101576,like_new,kids,Clothes,418,11,['SRID=4326;POINT (121.985091 11.0310505)']
50,['Furniture'],today is the presentation day,0,2023-03-13 00:00:00.000000,-26.2225465,155.707307,good,kids,Furniture,1030,19,['SRID=4326;POINT (-114.516585 66.0076415)']
51,"['Clothes', 'Kids toys', 'Plants']",bug,1,2023-03-30 00:00:00.000000,-47.088314,86.646151,poor,other,Clothes,176,1,['SRID=4326;POINT (169.065611 78.590265)']
52,"['Plants', 'Kitchen', 'Kids toys']",yeyyyy,1,2023-03-17 00:00:00.000000,-86.4679885,-58.412679,like_new,other,Plants,507,12,['SRID=4326;POINT (-102.936590 71.348911)']
53,['Clothes'],testing,1,2023-03-12 00:00:00.000000,80.947368,-97.135924,good,clothes,Clothes,4,2,['SRID=4326;POINT (137.849177 76.5947985)']
54,"['Clothes', 'Kids toys', 'Plants']",everything,0,2023-03-14 00:00:00.000000,-71.769502,-123.30324,like_new,kitchen_utensils,Clothes,939,16,['SRID=4326;POINT (-29.977631 -64.375171)']
55,['All'],today is the presentation day,0,2023-03-18 00:00:00.000000,77.2244275,71.166217,acceptable,kids,All,570,4,['SRID=4326;POINT (129.879457 -20.7511615)']
56,['All'],hellooo,0,2023-04-02 00:00:00.000000,22.702007,-157.717806,like_new,clothes,All,1734,3,['SRID=4326;POINT (-139.873421 -52.054216)']
57,"['Kitchen', 'Kids toys']",what day is today?,1,2023-03-27 00:00:00.000000,-74.2662515,6.314459,good,other,Kitchen,230,13,['SRID=4326;POINT (-1.298651 -21.833797)']
58,['Clothes'],everything,1,2023-03-25 00:00:00.000000,14.8204345,-168.096235,like_new,furniture,Clothes,1911,7,['SRID=4326;POINT (-20.826049 85.2631765)']
59,"['Clothes', 'Kids toys', 'Plants']",what day is today?,1,2023-03-17 00:00:00.000000,-33.0115325,-132.139956,good,furniture,Clothes,669,12,['SRID=4326;POINT (138.124969 -51.3463945)']
60,['All'],solving the problem,0,2023-03-17 00:00:00.000000,50.3621135,-65.647272,poor,furniture,All,1384,7,['SRID=4326;POINT (63.191649 -4.1869965)']
61,['All'],whaterver,1,2023-03-06 00:00:00.000000,-22.762093,45.931971,poor,furniture,All,592,11,['SRID=4326;POINT (130.440634 49.390946)']
62,['All'],anything,0,2023-04-01 00:00:00.000000,-55.326182,-1.81893,poor,kitchen_utensils,All,1125,20,['SRID=4326;POINT (125.738533 86.0351865)']
63,"['Clothes', 'Kids toys', 'Plants']",uhuuuu,0,2023-03-31 00:00:00.000000,14.217119,-72.393228,acceptable,furniture,Clothes,1363,8,['SRID=4326;POINT (-19.883959 -64.5156305)']
64,"['Clothes', 'Kids toys', 'Plants']",bug,0,2023-03-27 00:00:00.000000,84.2269935,161.281386,poor,clothes,Clothes,317,2,['SRID=4326;POINT (-35.217420 -26.407530)']
65,['All'],we are the second team to present,0,2023-03-18 00:00:00.000000,-7.7847455,-134.535181,like_new,other,All,1114,5,['SRID=4326;POINT (17.526909 -51.088138)']
66,['All'],anything,0,2023-03-27 00:00:00.000000,-82.9499035,27.402724,like_new,furniture,All,938,16,['SRID=4326;POINT (165.381095 30.071266)']
67,"['Clothes', 'Kids toys', 'Plants']",testing,1,2023-03-08 00:00:00.000000,79.5287885,-26.808028,poor,furniture,Clothes,1647,18,['SRID=4326;POINT (94.014790 76.968487)']
68,"['Kitchen', 'Kids toys']",solving the problem,1,2023-03-26 00:00:00.000000,35.683296,148.183329,poor,other,Kitchen,572,19,['SRID=4326;POINT (125.452006 48.930877)']
69,['All'],what day is today?,1,2023-03-15 00:00:00.000000,-46.963582,-175.961253,acceptable,furniture,All,1937,20,['SRID=4326;POINT (-36.769152 -61.283646)']
70,"['Plants', 'Kitchen', 'Kids toys']",uhuuuu,0,2023-03-24 00:00:00.000000,-20.9859195,-73.785658,acceptable,clothes,Plants,933,6,['SRID=4326;POINT (80.273417 36.387833)']
71,['All'],testing,1,2023-03-18 00:00:00.000000,48.3485035,36.980838,acceptable,furniture,All,505,20,['SRID=4326;POINT (-108.752022 73.390444)']
72,['Clothes'],what day is today?,1,2023-03-29 00:00:00.000000,-18.0237875,-87.664987,acceptable,kitchen_utensils,Clothes,523,24,['SRID=4326;POINT (-171.655218 -34.232908)']
73,"['Furniture', 'Clothes', 'Kitchen']",yeyyyy,1,2023-03-22 00:00:00.000000,-19.746687,-121.337219,poor,clothes,Furniture,1258,3,['SRID=4326;POINT (173.019614 -81.624073)']
74,['All'],yeyyyy,0,2023-03-26 00:00:00.000000,-6.748302,-6.805867,acceptable,kitchen_utensils,All,177,7,['SRID=4326;POINT (153.952213 -38.3158535)']
75,"['Kitchen', 'Kids toys']",hellooo,0,2023-03-21 00:00:00.000000,20.140201,-111.539999,acceptable,furniture,Kitchen,1752,6,['SRID=4326;POINT (164.119523 -56.7339775)']
76,"['Kitchen', 'Kids toys']",testing,0,2023-03-17 00:00:00.000000,5.963048,73.606456,like_new,other,Kitchen,1610,4,['SRID=4326;POINT (56.978378 -43.3549825)']
77,['All'],everything,0,2023-03-22 00:00:00.000000,24.806522,54.269323,good,clothes,All,165,12,['SRID=4326;POINT (40.188876 7.879815)']
78,"['Kitchen', 'Kids toys']",today is the presentation day,1,2023-04-03 00:00:00.000000,-61.661903,-132.864327,like_new,furniture,Kitchen,1105,17,['SRID=4326;POINT (119.379184 31.5556945)']
79,['All'],testing,0,2023-03-12 00:00:00.000000,-64.214023,-171.650024,poor,other,All,27,1,['SRID=4326;POINT (101.803385 13.684931)']
80,"['Plants', 'Kitchen', 'Kids toys']",what day is today?,1,2023-03-29 00:00:00.000000,-26.2617335,31.154921,poor,kitchen_utensils,Plants,901,1,['SRID=4326;POINT (162.024714 -64.061406)']
81,['Furniture'],whaterver,1,2023-03-26 00:00:00.000000,-74.6217615,-20.908765,good,furniture,Furniture,145,1,['SRID=4326;POINT (142.542407 -44.253662)']
82,['All'],what day is today?,0,2023-03-20 00:00:00.000000,-15.224417,102.844852,like_new,furniture,All,1472,19,['SRID=4326;POINT (-113.200950 59.7608065)']
83,"['Kitchen', 'Kids toys']",we are the second team to present,1,2023-03-22 00:00:00.000000,-89.9639555,-102.44987,acceptable,other,Kitchen,721,13,['SRID=4326;POINT (-179.183175 -64.989914)']
84,"['Plants', 'Kitchen', 'Kids toys']",bug,0,2023-03-22 00:00:00.000000,0.6606555,62.845348,poor,other,Plants,1842,9,['SRID=4326;POINT (-73.486633 -24.834291)']
85,['All'],hellooo,1,2023-03-23 00:00:00.000000,89.705348,126.821077,good,kitchen_utensils,All,57,9,['SRID=4326;POINT (67.617789 -19.796721)']
86,['Furniture'],bug,1,2023-04-01 00:00:00.000000,-44.041878,61.444518,like_new,clothes,Furniture,886,2,['SRID=4326;POINT (34.921881 -86.0126135)']
87,"['Furniture', 'Clothes', 'Kitchen']",today is the presentation day,1,2023-03-10 00:00:00.000000,-88.728964,-122.480483,poor,kids,Furniture,491,17,['SRID=4326;POINT (-3.031247 -34.239374)']
88,['Furniture'],today is the presentation day,1,2023-03-20 00:00:00.000000,56.236406,-118.239414,good,furniture,Furniture,393,11,['SRID=4326;POINT (88.983301 -9.1369225)']
89,"['Plants', 'Kitchen', 'Kids toys']",yeyyyy,1,2023-03-10 00:00:00.000000,-62.523795,112.464867,acceptable,furniture,Plants,1848,5,['SRID=4326;POINT (150.988344 -12.5055075)']
90,['All'],whaterver,1,2023-03-08 00:00:00.000000,-24.0092655,-120.265767,good,other,All,1902,16,['SRID=4326;POINT (-91.657496 29.3382975)']
91,['All'],anything,1,2023-03-13 00:00:00.000000,-45.5160515,69.774402,poor,kitchen_utensils,All,280,24,['SRID=4326;POINT (-41.577077 -44.954430)']
92,"['Kitchen', 'Kids toys']",everything,1,2023-03-27 00:00:00.000000,63.2612325,-165.368522,good,clothes,Kitchen,1891,2,['SRID=4326;POINT (121.033180 11.6063525)']
93,['All'],solving the problem,1,2023-03-06 00:00:00.000000,-57.062624,-126.074333,good,kitchen_utensils,All,424,9,['SRID=4326;POINT (-13.674940 -67.756266)']
94,"['Plants', 'Kitchen', 'Kids toys']",hellooo,1,2023-03-24 00:00:00.000000,-33.988199,-42.296988,like_new,clothes,Plants,985,0,['SRID=4326;POINT (26.072974 -28.3867935)']
95,['All'],hellooo,0,2023-03-28 00:00:00.000000,83.176404,139.214419,poor,furniture,All,1354,15,['SRID=4326;POINT (90.947385 60.256063)']
96,"['Clothes', 'Kids toys', 'Plants']",we are the second team to present,1,2023-03-23 00:00:00.000000,-39.9172845,48.418316,like_new,other,Clothes,1181,3,['SRID=4326;POINT (163.488794 -87.753615)']
97,"['Kitchen', 'Kids toys']",testing,0,2023-04-03 00:00:00.000000,22.9918755,143.450615,good,other,Kitchen,140,6,['SRID=4326;POINT (-54.530127 -13.954752)']
98,"['Plants', 'Kitchen', 'Kids toys']",everything,0,,47.7384155,-11.507992,acceptable,other,Plants,286,3,['SRID=4326;POINT (73.887236 78.8150735)']
99,['All'],testing,0,,-22.0117965,4.998636,poor,clothes,All,1274,12,['SRID=4326;POINT (-33.533404 -46.028016)']
100,['All'],yeyyyy,1,,-30.3427155,68.181448,acceptable,clothes,All,1013,13,['SRID=4326;POINT (-6.287695 82.5177845)']
