item_name-item_category,item_condition,item_postcode,item_status,user_lat_lng,userwhochangeditemstatus_id,item_datetime_posted,item_datetimechangeditemstatus,item_id
miscelaneaous-roller_skates,good_condition,12167,avaliable,[<shapely.geometry.point.Point object at 0x7fb730755810>],344,2023-02-19,2023-02-24,52
tech-desktop,medium_conditionbad_condition,12043,avaliable,[<shapely.geometry.point.Point object at 0x7fb730755840>],989,2023-02-24,2023-02-25,53
miscelaneaous-baby_carriage,medium_conditionbad_condition,10365,not_available,[<shapely.geometry.point.Point object at 0x7fb730757a60>],760,2023-02-22,2023-02-24,54
appliance-vacuum_cleaner,good_condition,10555,not_available,[<shapely.geometry.point.Point object at 0x7fb730757250>],442,2023-02-20,2023-02-20,55
furniture-sofa,medium_conditionbad_condition,12349,not_available,[<shapely.geometry.point.Point object at 0x7fb7307571f0>],764,2023-02-22,2023-02-25,56
appliance-refrigerator,medium_conditionbad_condition,12435,avaliable,[<shapely.geometry.point.Point object at 0x7fb730757190>],547,2023-02-21,2023-02-24,57
shoes-woman_shoes,medium_conditionbad_condition,13437,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307572b0>],668,2023-02-23,2023-02-26,58
appliance-sandwich_maker,medium_conditionbad_condition,13059,avaliable,[<shapely.geometry.point.Point object at 0x7fb730755f90>],997,2023-02-20,2023-02-22,59
appliance-drying_rack,good_condition,12439,avaliable,[<shapely.geometry.point.Point object at 0x7fb730755420>],230,2023-02-21,2023-02-26,60
appliance-drying_rack,medium_conditionbad_condition,12169,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307564a0>],803,2023-02-24,2023-02-26,61
furniture-cabinet,medium_conditionbad_condition,12103,avaliable,[<shapely.geometry.point.Point object at 0x7fb730756440>],5,2023-02-20,2023-02-22,62
tech-laptop,good_condition,14057,not_available,[<shapely.geometry.point.Point object at 0x7fb7307563e0>],372,2023-02-23,2023-02-25,63
miscelaneaous-picture_frame,medium_conditionbad_condition,10585,not_available,[<shapely.geometry.point.Point object at 0x7fb730756380>],450,2023-02-25,2023-02-25,64
appliance-extractor_hood,good_condition,12107,avaliable,[<shapely.geometry.point.Point object at 0x7fb730756350>],397,2023-02-24,2023-02-25,65
furniture-cabinet,good_condition,12045,avaliable,[<shapely.geometry.point.Point object at 0x7fb730755ff0>],843,2023-02-23,2023-02-23,66
miscelaneaous-bicycle,good_condition,12685,avaliable,[<shapely.geometry.point.Point object at 0x7fb730755c30>],659,2023-02-20,2023-02-21,67
miscelaneaous-baby_carriage,medium_conditionbad_condition,12279,not_available,[<shapely.geometry.point.Point object at 0x7fb730757460>],756,2023-02-25,2023-02-26,68
clothes-man_clothes,medium_conditionbad_condition,10409,not_available,[<shapely.geometry.point.Point object at 0x7fb730757a30>],156,2023-02-21,2023-02-24,69
clothes-woman_clothes,good_condition,13053,not_available,[<shapely.geometry.point.Point object at 0x7fb7307566e0>],749,2023-02-20,2023-02-26,70
furniture-shoe_rack,medium_conditionbad_condition,12045,not_available,[<shapely.geometry.point.Point object at 0x7fb730756740>],225,2023-02-22,2023-02-23,71
clothes-child_clothes,medium_conditionbad_condition,12163,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307567a0>],502,2023-02-24,2023-02-25,72
appliance-coffee_machine,good_condition,12353,not_available,[<shapely.geometry.point.Point object at 0x7fb7307563b0>],823,2023-02-20,2023-02-22,73
furniture-shoe_rack,medium_conditionbad_condition,10717,avaliable,[<shapely.geometry.point.Point object at 0x7fb730756860>],782,2023-02-22,2023-02-24,74
tech-desktop,good_condition,12687,not_available,[<shapely.geometry.point.Point object at 0x7fb7307568c0>],979,2023-02-21,2023-02-26,75
appliance-pan,medium_conditionbad_condition,12057,avaliable,[<shapely.geometry.point.Point object at 0x7fb730756770>],80,2023-02-20,2023-02-25,76
appliance-pan,medium_conditionbad_condition,12685,avaliable,[<shapely.geometry.point.Point object at 0x7fb730756980>],874,2023-02-20,2023-02-26,77
appliance-refrigerator,good_condition,12247,not_available,[<shapely.geometry.point.Point object at 0x7fb7307569e0>],266,2023-02-20,2023-02-24,78
miscelaneaous-ironing_board,medium_conditionbad_condition,10829,avaliable,[<shapely.geometry.point.Point object at 0x7fb730756a40>],301,2023-02-22,2023-02-23,79
miscelaneaous-books,medium_conditionbad_condition,12055,not_available,[<shapely.geometry.point.Point object at 0x7fb730756aa0>],17,2023-02-19,2023-02-25,80
appliance-sandwich_maker,medium_conditionbad_condition,14167,avaliable,[<shapely.geometry.point.Point object at 0x7fb730756ad0>],991,2023-02-20,2023-02-21,81
appliance-heater,medium_conditionbad_condition,12059,not_available,[<shapely.geometry.point.Point object at 0x7fb730756b60>],487,2023-02-20,2023-02-22,82
musical_equipment-piano,good_condition,12099,avaliable,[<shapely.geometry.point.Point object at 0x7fb730756800>],530,2023-02-20,2023-02-24,83
furniture-table,good_condition,13125,not_available,[<shapely.geometry.point.Point object at 0x7fb730756c20>],850,2023-02-20,2023-02-21,84
miscelaneaous-picture_frame,medium_conditionbad_condition,13507,avaliable,[<shapely.geometry.point.Point object at 0x7fb730756c80>],766,2023-02-20,2023-02-24,85
clothes-woman_clothes,medium_conditionbad_condition,10243,not_available,[<shapely.geometry.point.Point object at 0x7fb730756ce0>],426,2023-02-21,2023-02-25,86
lighting-lightbulb,good_condition,12623,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307561d0>],776,2023-02-20,2023-02-21,87
miscelaneaous-baby_carriage,good_condition,12589,avaliable,[<shapely.geometry.point.Point object at 0x7fb730756080>],497,2023-02-20,2023-02-26,88
musical_equipment-piano,medium_conditionbad_condition,13583,not_available,[<shapely.geometry.point.Point object at 0x7fb730756c50>],36,2023-02-24,2023-02-25,89
musical_equipment-sound_amplifier,medium_conditionbad_condition,12351,avaliable,[<shapely.geometry.point.Point object at 0x7fb730756bc0>],187,2023-02-23,2023-02-26,90
furniture-mirror,medium_conditionbad_condition,10825,avaliable,[<shapely.geometry.point.Point object at 0x7fb730757490>],998,2023-02-24,2023-02-26,91
furniture-bed,good_condition,12051,avaliable,[<shapely.geometry.point.Point object at 0x7fb730756e90>],222,2023-02-19,2023-02-23,92
lighting-chandelier,good_condition,10587,not_available,[<shapely.geometry.point.Point object at 0x7fb730756f20>],116,2023-02-23,2023-02-25,93
clothes-woman_jacket,medium_conditionbad_condition,13355,avaliable,[<shapely.geometry.point.Point object at 0x7fb730756f80>],717,2023-02-21,2023-02-23,94
shoes-child_shoes,medium_conditionbad_condition,10319,not_available,[<shapely.geometry.point.Point object at 0x7fb730756fe0>],845,2023-02-20,2023-02-26,95
appliance-popcorn_maker,medium_conditionbad_condition,13597,avaliable,[<shapely.geometry.point.Point object at 0x7fb730757010>],949,2023-02-20,2023-02-22,96
furniture-chair,good_condition,10315,avaliable,[<shapely.geometry.point.Point object at 0x7fb730756b00>],105,2023-02-20,2023-02-23,97
clothes-man_clothes,medium_conditionbad_condition,10969,avaliable,[<shapely.geometry.point.Point object at 0x7fb730757100>],802,2023-02-20,2023-02-22,98
appliance-popcorn_maker,medium_conditionbad_condition,12159,avaliable,[<shapely.geometry.point.Point object at 0x7fb730757310>],612,2023-02-23,2023-02-25,99
appliance-vacuum_cleaner,medium_conditionbad_condition,12353,avaliable,[<shapely.geometry.point.Point object at 0x7fb730757370>],405,2023-02-22,2023-02-22,100
appliance-clothes_iron,medium_conditionbad_condition,13595,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307573d0>],205,2023-02-22,2023-02-25,101
furniture-chair,good_condition,12157,not_available,[<shapely.geometry.point.Point object at 0x7fb7307574c0>],288,2023-02-21,2023-02-25,102
lighting-lightbulb,good_condition,14057,not_available,[<shapely.geometry.point.Point object at 0x7fb7307572e0>],747,2023-02-22,2023-02-26,103
clothes-man_clothes,medium_conditionbad_condition,10711,not_available,[<shapely.geometry.point.Point object at 0x7fb7307575e0>],497,2023-02-20,2023-02-21,104
musical_equipment-contrabass,good_condition,10717,not_available,[<shapely.geometry.point.Point object at 0x7fb730757640>],428,2023-02-20,2023-02-21,105
appliance-extractor_hood,medium_conditionbad_condition,12349,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307576a0>],497,2023-02-22,2023-02-23,106
appliance-refrigerator,good_condition,13509,not_available,[<shapely.geometry.point.Point object at 0x7fb730757700>],358,2023-02-20,2023-02-21,107
appliance-drying_rack,medium_conditionbad_condition,10557,avaliable,[<shapely.geometry.point.Point object at 0x7fb730757730>],710,2023-02-22,2023-02-26,108
tech-phone,medium_conditionbad_condition,12629,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307577c0>],791,2023-02-23,2023-02-25,109
appliance-popcorn_maker,medium_conditionbad_condition,10365,avaliable,[<shapely.geometry.point.Point object at 0x7fb730757910>],508,2023-02-23,2023-02-26,110
furniture-chair,good_condition,12685,avaliable,[<shapely.geometry.point.Point object at 0x7fb730757970>],299,2023-02-24,2023-02-25,111
clothes-man_clothes,medium_conditionbad_condition,12439,avaliable,[<shapely.geometry.point.Point object at 0x7fb730754e20>],969,2023-02-24,2023-02-26,112
furniture-shoe_rack,good_condition,12689,not_available,[<shapely.geometry.point.Point object at 0x7fb7307560e0>],335,2023-02-23,2023-02-24,113
furniture-table,medium_conditionbad_condition,10629,avaliable,[<shapely.geometry.point.Point object at 0x7fb730755480>],868,2023-02-21,2023-02-26,114
furniture-chair,good_condition,12051,avaliable,[<shapely.geometry.point.Point object at 0x7fb730755b10>],956,2023-02-21,2023-02-24,115
appliance-stove,medium_conditionbad_condition,12249,avaliable,[<shapely.geometry.point.Point object at 0x7fb730755ab0>],433,2023-02-23,2023-02-23,116
clothes-man_jacket,good_condition,12209,not_available,[<shapely.geometry.point.Point object at 0x7fb730755a50>],280,2023-02-21,2023-02-24,117
appliance-air_conditioner,medium_conditionbad_condition,12105,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307559f0>],919,2023-02-19,2023-02-20,118
appliance-pan,good_condition,12205,not_available,[<shapely.geometry.point.Point object at 0x7fb730755990>],967,2023-02-24,2023-02-24,119
shoes-child_shoes,good_condition,12683,avaliable,[<shapely.geometry.point.Point object at 0x7fb730755930>],815,2023-02-20,2023-02-21,120
miscelaneaous-ironing_board,good_condition,10555,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307570a0>],143,2023-02-20,2023-02-23,121
miscelaneaous-picture_frame,medium_conditionbad_condition,10789,avaliable,[<shapely.geometry.point.Point object at 0x7fb730755870>],798,2023-02-20,2023-02-23,122
appliance-coffee_machine,medium_conditionbad_condition,10623,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307559c0>],998,2023-02-21,2023-02-21,123
miscelaneaous-picture_frame,medium_conditionbad_condition,10783,avaliable,[<shapely.geometry.point.Point object at 0x7fb730757760>],860,2023-02-20,2023-02-21,124
tech-phone,medium_conditionbad_condition,12685,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307558d0>],444,2023-02-21,2023-02-23,125
lighting-lightbulb,medium_conditionbad_condition,10243,not_available,[<shapely.geometry.point.Point object at 0x7fb7307579a0>],183,2023-02-23,2023-02-25,126
musical_equipment-piano,medium_conditionbad_condition,13351,not_available,[<shapely.geometry.point.Point object at 0x7fb730757f70>],644,2023-02-20,2023-02-24,127
tech-laptop,medium_conditionbad_condition,12353,avaliable,[<shapely.geometry.point.Point object at 0x7fb730755ed0>],976,2023-02-22,2023-02-22,128
furniture-rollcontainers,good_condition,12279,avaliable,[<shapely.geometry.point.Point object at 0x7fb730756e60>],262,2023-02-20,2023-02-25,129
musical_equipment-guitar,medium_conditionbad_condition,13129,not_available,[<shapely.geometry.point.Point object at 0x7fb730754850>],72,2023-02-20,2023-02-26,130
musical_equipment-contrabass,good_condition,10179,avaliable,[<shapely.geometry.point.Point object at 0x7fb730754e50>],35,2023-02-22,2023-02-22,131
lighting-lighting,medium_conditionbad_condition,14193,not_available,[<shapely.geometry.point.Point object at 0x7fb7307548e0>],182,2023-02-22,2023-02-24,132
miscelaneaous-bicycle,medium_conditionbad_condition,14193,not_available,[<shapely.geometry.point.Point object at 0x7fb730757430>],7,2023-02-21,2023-02-25,133
tech-keyboard,medium_conditionbad_condition,14195,not_available,[<shapely.geometry.point.Point object at 0x7fb730755060>],719,2023-02-21,2023-02-25,134
appliance-air_conditioner,good_condition,14059,not_available,[<shapely.geometry.point.Point object at 0x7fb731134f70>],737,2023-02-23,2023-02-25,135
appliance-clothes_iron,good_condition,13593,not_available,[<shapely.geometry.point.Point object at 0x7fb730754760>],238,2023-02-20,2023-02-23,136
miscelaneaous-carpet,good_condition,13057,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c4280>],141,2023-02-20,2023-02-24,137
appliance-air_conditioner,good_condition,10435,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307c4310>],211,2023-02-21,2023-02-23,138
shoes-manshoes,good_condition,12629,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307c4070>],365,2023-02-21,2023-02-25,139
furniture-sofa,good_condition,13409,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307c4400>],198,2023-02-21,2023-02-21,140
tech-desktop,medium_conditionbad_condition,12249,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c4460>],194,2023-02-21,2023-02-26,141
clothes-man_clothes,medium_conditionbad_condition,13597,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307c4160>],33,2023-02-20,2023-02-21,142
appliance-popcorn_maker,medium_conditionbad_condition,12277,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307c4520>],528,2023-02-21,2023-02-26,143
appliance-dish_washer,medium_conditionbad_condition,13055,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c4580>],324,2023-02-23,2023-02-23,144
miscelaneaous-picture_frame,medium_conditionbad_condition,14199,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c45e0>],847,2023-02-22,2023-02-26,145
appliance-kettle,medium_conditionbad_condition,12587,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c44c0>],151,2023-02-23,2023-02-23,146
musical_equipment-piano,good_condition,10823,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c46a0>],591,2023-02-24,2023-02-24,147
furniture-bedside_table,medium_conditionbad_condition,10249,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c4700>],305,2023-02-20,2023-02-23,148
appliance-dish_washer,good_condition,10369,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c42b0>],864,2023-02-21,2023-02-21,149
appliance-dish_washer,medium_conditionbad_condition,10119,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307c4370>],354,2023-02-20,2023-02-25,150
shoes-child_shoes,good_condition,13629,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c4670>],647,2023-02-23,2023-02-24,151
tech-keyboard,good_condition,12355,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c41f0>],711,2023-02-23,2023-02-25,152
miscelaneaous-baby_carriage,good_condition,13593,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307c4790>],466,2023-02-20,2023-02-25,153
lighting-chandelier,good_condition,10823,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307c4940>],322,2023-02-20,2023-02-20,154
shoes-woman_shoes,medium_conditionbad_condition,10715,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307c49a0>],274,2023-02-20,2023-02-24,155
tech-desktop,medium_conditionbad_condition,12353,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c4880>],771,2023-02-22,2023-02-22,156
appliance-extractor_hood,good_condition,13587,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c4a60>],379,2023-02-22,2023-02-25,157
clothes-child_clothes,medium_conditionbad_condition,12307,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c4ac0>],608,2023-02-20,2023-02-25,158
tech-laptop,good_condition,10717,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c4af0>],982,2023-02-23,2023-02-25,159
tech-desktop,good_condition,13187,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c4b80>],875,2023-02-24,2023-02-26,160
tech-keyboard,good_condition,12279,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307c4be0>],258,2023-02-24,2023-02-24,161
appliance-dish_washer,medium_conditionbad_condition,13595,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c4c40>],213,2023-02-21,2023-02-22,162
furniture-sofa,good_condition,12559,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c4ca0>],730,2023-02-22,2023-02-23,163
clothes-child_jacket,medium_conditionbad_condition,10963,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c4d00>],731,2023-02-22,2023-02-24,164
appliance-pan,good_condition,12683,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c4d60>],699,2023-02-24,2023-02-25,165
tech-desktop,medium_conditionbad_condition,12203,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307c48b0>],864,2023-02-21,2023-02-22,166
musical_equipment-guitar,medium_conditionbad_condition,14167,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c48e0>],668,2023-02-22,2023-02-22,167
musical_equipment-guitar,good_condition,10789,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307c4e80>],215,2023-02-19,2023-02-20,168
furniture-bedside_table,good_condition,12681,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307c4d30>],739,2023-02-22,2023-02-23,169
appliance-heater,medium_conditionbad_condition,12437,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c4f40>],206,2023-02-20,2023-02-26,170
furniture-bed,good_condition,12207,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c4e20>],690,2023-02-23,2023-02-23,171
furniture-cot,medium_conditionbad_condition,13055,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307c5000>],562,2023-02-22,2023-02-24,172
furniture-shoe_rack,good_condition,10178,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307c5060>],230,2023-02-21,2023-02-25,173
miscelaneaous-baby_carriage,medium_conditionbad_condition,10969,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c50c0>],655,2023-02-20,2023-02-21,174
clothes-woman_jacket,medium_conditionbad_condition,13405,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307c5120>],615,2023-02-20,2023-02-22,175
clothes-man_jacket,good_condition,13589,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c5180>],158,2023-02-21,2023-02-23,176
appliance-vacuum_cleaner,medium_conditionbad_condition,13409,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c51e0>],719,2023-02-20,2023-02-23,177
furniture-bookcase,good_condition,13089,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c4f10>],341,2023-02-20,2023-02-22,178
furniture-shoe_rack,good_condition,10405,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307c4fd0>],89,2023-02-22,2023-02-26,179
furniture-bookcase,medium_conditionbad_condition,10829,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c5300>],671,2023-02-20,2023-02-26,180
appliance-extractor_hood,good_condition,13055,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307c5360>],605,2023-02-21,2023-02-23,181
clothes-woman_clothes,good_condition,12353,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307c5240>],198,2023-02-25,2023-02-26,182
musical_equipment-sound_amplifier,medium_conditionbad_condition,13086,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307c5450>],942,2023-02-21,2023-02-22,183
miscelaneaous-bicycle,medium_conditionbad_condition,10627,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307c54b0>],870,2023-02-23,2023-02-26,184
shoes-manshoes,good_condition,12555,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c5510>],247,2023-02-24,2023-02-26,185
appliance-drying_rack,good_condition,10779,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307c5330>],681,2023-02-21,2023-02-25,186
tech-desktop,medium_conditionbad_condition,13589,avaliable,[<shapely.geometry.point.Point object at 0x7fb7307c55d0>],377,2023-02-23,2023-02-25,187
miscelaneaous-carpet,medium_conditionbad_condition,12059,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c5630>],79,2023-02-24,2023-02-25,188
appliance-coffee_machine,good_condition,10315,not_available,[<shapely.geometry.point.Point object at 0x7fb7307c5690>],215,2023-02-25,2023-02-25,189
