item_id,item_condition,item_postcode,item_lat,item_lng,item_status,searched_item_postcode,item_datetime_posted,item_datetimechangeditemstatus,n_stars,user_looker_id,user_looker_lat,user_looker_lng,item_category,item_name,searched_item_name,searched_item_category
1288,1,10367,5.250.822.652,1.318.270.687,avaliable,12683,2023-03-15,2023-03-18,2,1433,5.254.031.802,1.352.775.568,musical_equipment,piano,tech,laptop
1483,3,12045,5.245.401.518,1.352.038.963,not_available,12309,2023-02-25,2023-03-18,5,176,5.254.121.646,1.332.627.059,clothes,woman_clothes,musical_equipment,guitar
683,1,10823,5.251.257.028,1.323.316.013,avaliable,12524,2023-02-20,2023-03-18,1,1442,5.256.555.825,1.331.866.415,miscelaneaous,purse,appliance,vacuum_cleaner
1183,1,13509,5.249.886.081,1.332.768.706,not_available,10717,2023-02-27,2023-03-01,5,651,5.249.315.304,1.358.347.422,shoes,child_shoes,shoes,man_shoes
887,3,12353,5.254.760.943,1.338.827.762,not_available,12249,2023-03-02,2023-03-07,3,200,525.189.163,1.331.093.445,furniture,desk,musical_equipment,contrabass
607,1,12524,5.250.979.138,1.322.193.481,not_available,10247,2023-03-06,2023-03-12,3,363,5.244.623.529,1.332.988.972,furniture,cabinet,lighting,chandelier
252,1,12681,5.242.411.208,1.352.684.063,avaliable,14059,2023-02-26,2023-03-07,2,708,5.258.019.994,1.318.673.873,tech,phone,furniture,mirror
389,2,10243,5.250.964.191,1.330.293.005,avaliable,14193,2023-03-02,2023-03-16,2,831,5.253.347.744,134.333.657,furniture,sofa,furniture,bedside_table
905,1,12207,5.249.468.594,1.345.146.841,not_available,14053,2023-03-04,2023-03-06,2,1110,5.254.377.688,1.316.165.707,musical_equipment,battery,tech,phone
428,1,10367,5.251.500.182,1.339.341.324,avaliable,10825,2023-02-24,2023-03-12,4,80,5.253.184.005,1.333.515.032,miscelaneaous,carpet,appliance,heater
890,3,10717,52.508.763,1.350.787.178,avaliable,14129,2023-03-03,2023-03-04,2,1329,5.250.875.005,1.354.698.437,miscelaneaous,ski_skates,appliance,pan
290,1,13587,5.252.965.743,1.338.271.856,not_available,12043,2023-02-23,2023-03-11,2,661,5.255.389.755,1.334.496.711,miscelaneaous,suitcase,shoes,man_shoes
1352,1,10553,5.252.394.136,1.328.134.328,not_available,12051,2023-02-20,2023-03-09,4,321,5.252.401.456,1.332.046.957,furniture,trolley,miscelaneaous,ski_skates
356,1,13593,5.251.159.989,1.350.591.869,avaliable,14109,2023-03-12,2023-03-13,3,1180,5.254.338.753,1.324.134.114,clothes,woman_clothes,clothes,child_clothes
1432,3,10827,5.252.898.123,1.322.331.723,avaliable,12105,2023-02-25,2023-03-09,1,1073,5.250.073.048,1.315.321.092,appliance,stove,clothes,child_jacket
240,1,10783,5.254.487.012,1.349.998.285,avaliable,13507,2023-03-10,2023-03-13,5,330,5.247.531.711,1.339.952.936,furniture,cot,musical_equipment,piano
423,2,10967,5.251.938.855,1.344.754.935,avaliable,10365,2023-03-11,2023-03-17,5,70,5.251.534.384,1.330.279.717,appliance,popcorn_maker,furniture,shoe_rack
123,3,10317,5.252.776.273,1.337.053.492,avaliable,13591,2023-03-15,2023-03-18,4,414,5.256.833.416,1.334.203.843,miscelaneaous,carpet,appliance,stove
90,1,10247,5.250.880.293,1.356.344.378,not_available,13086,2023-02-24,2023-03-06,1,501,5.251.905.376,1.348.535.792,miscelaneaous,purse,appliance,clothes_iron
97,1,10369,525.050.063,1.341.235.235,not_available,13407,2023-02-18,2023-02-20,1,448,5.249.960.842,1.340.747.878,appliance,blender,kids,baby_carriage
1195,1,13089,5.260.839.104,1.334.467.199,avaliable,10785,2023-02-22,2023-02-28,4,916,5.253.703.441,1.333.898.251,clothes,woman_clothes,kids,stroller
800,2,12165,5.244.162.131,1.331.048.204,not_available,12157,2023-02-23,2023-03-09,5,449,5.251.713.964,1.331.100.702,miscelaneaous,suitcase,lighting,lighting
323,3,10629,5.251.054.257,1.342.671.148,not_available,13089,2023-02-18,2023-03-09,2,628,5.243.421.386,1.332.624.193,appliance,heater,miscelaneaous,board
144,3,10629,5.253.192,1.343.540.525,not_available,12043,2023-03-04,2023-03-04,3,1016,5.246.423.456,1.334.265.841,tech,laptop,furniture,table
341,1,10589,5.255.039.381,1.357.249.541,not_available,10367,2023-02-25,2023-03-16,4,999,5.254.873.181,1.339.358.492,clothes,woman_jacket,furniture,armchair
1331,2,10967,5.252.756.271,1.342.973.002,avaliable,12627,2023-03-04,2023-03-06,5,238,5.246.677.293,134.499.626,clothes,man_jacket,miscelaneaous,ski_skates
794,1,10715,5.245.445.892,1.342.816.503,not_available,10559,2023-03-02,2023-03-05,2,754,5.253.873.208,1.327.509.239,furniture,wardrobe,furniture,table
326,3,12587,525.494.802,1.332.787.965,not_available,13355,2023-03-02,2023-03-16,2,1209,5.255.037.614,1.344.379.222,shoes,child_shoes,shoes,woman_shoes
722,3,10249,5.246.459.425,1.333.101.181,not_available,13156,2023-03-03,2023-03-08,5,855,5.253.476.839,1.346.779.069,tech,laptop,shoes,child_shoes
365,1,13125,5.249.212.697,1.336.375.388,not_available,10369,2023-02-26,2023-03-19,5,1409,5.242.082.909,1.354.764.348,miscelaneaous,picture_frame,clothes,woman_clothes
268,1,13051,5.251.867.727,1.334.838.482,not_available,13591,2023-02-19,2023-02-23,2,255,5.251.185.988,1.334.730.017,lighting,lighting,appliance,sandwich_maker
121,2,12203,5.246.139.182,1.334.434.572,not_available,10823,2023-03-10,2023-03-14,2,1492,5.254.619.123,1.333.481.801,appliance,blender,clothes,child_clothes
429,3,13583,525.551.293,1.338.551.458,not_available,10969,2023-03-07,2023-03-15,2,1401,5.247.821.817,1.340.243.074,clothes,woman_jacket,clothes,woman_jacket
3,3,10247,5.249.254.185,1.351.608.058,not_available,12057,2023-03-04,2023-03-14,3,1234,5.247.183.983,1.338.834.675,tech,keyboard,appliance,popcorn_maker
310,3,13125,5.247.147.848,1.351.840.876,avaliable,10587,2023-02-20,2023-02-24,3,394,5.251.119.685,1.326.045.236,clothes,child_clothes,tech,phone
124,2,13467,5.250.448.379,1.337.480.886,not_available,12435,2023-02-19,2023-03-07,2,740,5.248.409.223,1.328.997.981,furniture,bookcase,furniture,shelf
1464,1,13156,5.254.020.404,1.349.856.845,avaliable,13629,2023-03-09,2023-03-10,3,420,5.255.885.087,1.361.391.376,furniture,shoe_rack,miscelaneaous,picture_frame
606,1,12167,5.249.923.487,1.361.963.807,avaliable,10179,2023-02-19,2023-03-14,5,398,5.254.754.977,135.910.495,miscelaneaous,purse,miscelaneaous,board
406,1,12109,5.253.820.816,1.344.915.382,not_available,10719,2023-02-27,2023-03-07,1,624,5.250.142.627,1.326.241.737,furniture,shoe_rack,miscelaneaous,ski_skates
1066,1,12687,5.248.993.715,1.339.182.489,not_available,12681,2023-02-27,2023-03-08,2,1276,5.247.472.498,1.328.992.792,tech,laptop,musical_equipment,guitar
540,1,10319,525.735.048,134.562.225,not_available,13583,2023-03-01,2023-03-10,4,1073,5.250.752.684,133.928.086,appliance,kettle,shoes,man_shoes
921,3,12203,5.246.080.962,1.345.349.107,not_available,12247,2023-02-17,2023-02-22,3,388,5.255.033.697,1.336.778.735,appliance,coffee_machine,clothes,man_jacket
1430,1,12435,5.250.842.618,1.337.657.618,avaliable,12167,2023-02-25,2023-02-26,2,666,5.252.271.245,1.347.090.462,appliance,clothes_iron,miscelaneaous,bicycle
1240,2,10439,5.254.756.051,1.330.521.748,avaliable,13595,2023-02-26,2023-03-15,2,1186,525.342.278,1.332.863.647,furniture,cot,furniture,wardrobe
1069,1,14050,5.245.518.697,133.865.007,avaliable,12053,2023-02-22,2023-03-14,3,1148,5.252.014.868,1.331.727.491,miscelaneaous,carpet,furniture,table
323,1,12207,5.256.530.093,1.341.544.175,not_available,12459,2023-02-21,2023-03-01,2,1031,5.251.113.712,1.338.834.675,appliance,dish_washer,miscelaneaous,roller_skates
1,1,12203,5.248.839.044,1.335.963.144,avaliable,13187,2023-02-23,2023-02-24,2,677,5.250.105.126,1.348.929.353,musical_equipment,sound_amplifier,appliance,stove
1082,1,13409,5.248.915.039,1.333.526.636,avaliable,14055,2023-03-07,2023-03-13,2,1023,5.256.465.779,1.333.550.727,shoes,man_shoes,appliance,stove
1261,3,12249,5.250.889.675,1.337.668.678,avaliable,13629,2023-02-22,2023-02-27,5,1286,5.251.577.057,1.353.464.084,clothes,woman_jacket,appliance,drying_rack
1366,1,12555,5.261.538.035,1.335.986.767,avaliable,13129,2023-02-18,2023-03-01,4,42,5.249.895.221,1.339.103.527,appliance,pan,home,carpet
309,1,13357,5.249.231.657,1.341.969.919,avaliable,12249,2023-02-18,2023-03-03,3,493,5.243.931.241,1.343.815.504,shoes,woman_shoes,home,mattress
42,3,13129,5.255.695.955,134.317.193,not_available,13086,2023-02-24,2023-02-26,2,422,525.219.321,1.354.540.069,miscelaneaous,books,appliance,refrigerator
1405,2,12589,5.247.989.693,1.343.061.808,not_available,13059,2023-02-25,2023-03-06,2,29,5.249.436.474,1.350.713.695,appliance,heater,appliance,pan
1412,2,13355,5.243.247.863,1.331.100.513,avaliable,10555,2023-02-20,2023-02-21,5,491,5.249.904.162,1.331.866.415,miscelaneaous,bicycle,shoes,child_shoes
381,1,10961,5.254.556.742,1.324.708.127,avaliable,10243,2023-02-19,2023-03-08,4,429,5.255.768.772,1.342.217.462,miscelaneaous,books,appliance,refrigerator
111,2,12687,5.250.160.772,1.328.098.704,not_available,10315,2023-02-23,2023-03-18,2,195,5.242.947.056,1.327.094.141,clothes,man_jacket,musical_equipment,guitar
797,2,10243,525.660.264,1.319.285.484,avaliable,12489,2023-02-26,2023-02-27,4,1077,5.244.305.998,136.122.501,furniture,bedside_table,clothes,woman_jacket
820,1,12109,5.260.499.612,1.346.077.072,avaliable,12053,2023-02-18,2023-02-27,4,75,5.250.715.097,1.339.851.261,clothes,man_jacket,appliance,air_conditioner
860,2,13591,5.251.149.333,1.343.471.125,not_available,12619,2023-02-26,2023-03-02,5,745,5.250.991.347,1.337.752.135,clothes,woman_clothes,miscelaneaous,suitcase
271,3,10825,5.241.422.752,1.343.338.898,avaliable,13053,2023-03-06,2023-03-12,5,1076,5.252.962.423,1.348.138.962,tech,keyboard,miscelaneaous,suitcase
1088,3,14129,5.247.926.868,1.336.550.062,not_available,14197,2023-02-19,2023-02-26,3,750,525.065.914,1.337.595.863,appliance,dish_washer,appliance,pan
1434,2,12051,525.377.942,1.330.726.132,avaliable,14059,2023-02-24,2023-03-02,5,719,5.257.052.708,1.338.397.818,miscelaneaous,picture_frame,tech,laptop
463,2,10711,5.248.379.568,1.339.293.291,not_available,10585,2023-02-27,2023-03-17,5,733,5.246.876.792,1.329.385.608,furniture,shelf,kids,stroller
1218,1,12101,5.253.028.943,1.344.741.567,not_available,12526,2023-03-07,2023-03-18,1,447,5.255.711.049,1.361.342.017,appliance,kettle,clothes,child_clothes
44,2,10963,5.252.269.005,1.332.395.663,avaliable,12043,2023-02-18,2023-02-27,5,897,5.253.781.664,1.346.816.003,clothes,man_jacket,kids,baby_carriage
825,1,10585,5.250.751.727,1.344.502.944,avaliable,10317,2023-02-26,2023-03-18,3,238,525.034.927,1.340.567.026,furniture,bedside_table,miscelaneaous,plant
630,1,12439,526.189.227,1.321.828.964,avaliable,13059,2023-03-05,2023-03-13,2,971,523.889.378,1.339.434.303,shoes,child_shoes,home,carpet
577,3,10707,5.258.636.334,134.625.667,not_available,13353,2023-03-05,2023-03-06,2,411,5.254.789.762,1.346.995.871,furniture,mirror,furniture,shelf
1113,1,12621,5.244.162.131,1.347.098.152,not_available,10243,2023-02-21,2023-03-13,1,1485,5.250.021.352,1.351.002.855,furniture,cupboard,furniture,cabinet
1175,1,10779,5.244.217.291,1.337.943.185,not_available,12059,2023-03-03,2023-03-06,1,1363,5.254.776.192,134.825.701,clothes,child_clothes,kids,stroller
701,3,10787,5.247.070.783,1.352.450.823,avaliable,12167,2023-02-28,2023-03-15,2,516,5.248.946.942,1.353.616.536,furniture,mirror,clothes,child_jacket
1228,3,10785,5.250.361.671,1.356.996.103,not_available,12683,2023-02-21,2023-02-23,4,1311,5.260.105.559,1.336.792.922,furniture,armchair,miscelaneaous,suitcase
353,3,12203,5.250.247.322,1.338.411.262,not_available,10367,2023-02-18,2023-02-24,1,1193,5.245.872.763,1.345.588.316,appliance,heater,appliance,refrigerator
1323,1,10249,5.258.541.274,1.327.236.609,not_available,10319,2023-02-25,2023-03-12,2,1414,5.248.774.795,13.411.013,furniture,shoe_rack,appliance,sandwich_maker
627,3,10437,5.255.392.855,1.341.987.153,avaliable,13435,2023-02-19,2023-03-12,5,1011,5.244.576.242,1.341.385.271,furniture,bed,appliance,sandwich_maker
921,1,14193,5.247.867.252,1.340.431.057,avaliable,12047,2023-02-26,2023-03-01,5,1062,5.246.253.889,1.321.763.994,furniture,cot,appliance,stove
276,3,12109,5.248.173.221,1.320.448.715,avaliable,12207,2023-03-02,2023-03-06,4,618,5.246.869.743,1.339.159.082,miscelaneaous,books,miscelaneaous,suitcase
502,3,14169,5.247.070.838,132.932.244,avaliable,10707,2023-03-14,2023-03-16,4,1477,5.242.613.787,1.360.705.861,furniture,cupboard,furniture,bedside_table
717,1,12359,5.256.433.822,1.340.648.692,avaliable,12439,2023-02-26,2023-03-07,4,613,5.252.438.981,134.637.282,furniture,bookcase,tech,desktop
114,2,12305,5.254.730.308,1.339.504.095,avaliable,12057,2023-02-23,2023-03-01,4,741,5.250.858.393,1.344.228.402,miscelaneaous,ski_skates,lighting,lighting
1087,3,13127,5.256.791.275,1.340.933.768,not_available,12103,2023-03-14,2023-03-16,1,1031,5.239.847.583,1.348.593.464,appliance,blender,clothes,woman_jacket
1003,3,13437,5.253.209.163,1.340.278.764,avaliable,13347,2023-02-21,2023-03-02,4,724,5.247.076.297,1.333.969.659,appliance,pan,furniture,armchair
7,3,12357,525.465.299,1.335.190.851,avaliable,13629,2023-03-08,2023-03-10,4,1166,5.255.932.351,1.341.085.107,appliance,stove,miscelaneaous,ski_skates
1437,2,10715,5.255.808.746,1.335.628.351,avaliable,12053,2023-03-06,2023-03-19,1,1125,5.250.666.909,1.338.513.787,musical_equipment,sound_amplifier,miscelaneaous,suitcase
313,2,12439,525.277.238,1.346.832.998,not_available,13088,2023-02-27,2023-03-03,4,216,5.255.163.362,1.339.335.006,furniture,shoe_rack,furniture,shelf
324,3,10555,5.247.280.317,1.349.127.271,avaliable,10997,2023-02-27,2023-03-18,3,288,5.253.386.418,1.319.400.969,tech,keyboard,furniture,bookcase
1034,1,13403,5.253.040.622,1.339.646.306,not_available,10587,2023-03-06,2023-03-16,3,31,5.253.230.241,1.349.441.121,tech,keyboard,furniture,bedside_table
1021,3,12353,525.083.921,1.334.102.379,avaliable,12277,2023-02-17,2023-03-07,2,722,5.251.634.596,1.334.889.069,appliance,drying_rack,clothes,man_jacket
350,3,10179,5.252.007.708,1.332.610.912,not_available,12355,2023-02-24,2023-03-14,5,551,5.253.366.415,134.109.603,furniture,bedside_table,furniture,wardrobe
115,2,13593,5.250.660.173,1.349.657.848,avaliable,13357,2023-02-22,2023-03-11,5,905,5.250.293.492,1.309.225.121,appliance,sandwich_maker,clothes,child_jacket
184,3,10367,5.247.260.589,132.567.178,avaliable,10119,2023-02-20,2023-03-18,4,659,5.255.188.309,133.785.293,miscelaneaous,plant,furniture,armchair
461,1,12355,5.246.017.032,1.344.029.522,not_available,13088,2023-03-02,2023-03-14,5,668,5.250.321.002,1.342.451.532,tech,laptop,appliance,clothes_iron
505,2,13599,5.257.806.933,1.331.669.819,avaliable,12059,2023-03-04,2023-03-13,4,1305,5.250.428.412,1.330.357.057,appliance,clothes_iron,furniture,mirror
478,1,10119,5.253.386.308,1.324.263.334,not_available,12526,2023-03-05,2023-03-17,1,1152,5.249.748.722,1.335.908.649,musical_equipment,contrabass,lighting,lighting
302,1,13507,5.249.842.224,1.350.560.819,avaliable,12277,2023-03-06,2023-03-12,5,534,5.249.931.723,1.348.573.579,appliance,dish_washer,furniture,bedside_table
82,1,14052,5.251.920.785,1.327.540.327,avaliable,13086,2023-02-25,2023-02-26,4,1335,52.409.766,1.321.181.661,miscelaneaous,roller_skates,kids,stroller
963,3,13187,5.252.015.145,1.339.644.331,avaliable,14169,2023-03-05,2023-03-15,2,1380,5.258.136.901,1.336.683.149,kids,baby_carriage,appliance,clothes_iron
671,3,14163,5.259.466.002,1.331.433.931,not_available,13503,2023-03-02,2023-03-08,3,514,525.076.313,1.345.818.524,appliance,air_conditioner,furniture,bedside_table
560,1,10409,5.260.379.068,1.333.549.066,avaliable,12169,2023-03-13,2023-03-19,1,132,5.255.328.545,1.341.711.296,appliance,heater,appliance,popcorn_maker
867,1,12203,5.260.942.993,1.343.375.869,avaliable,13129,2023-03-07,2023-03-09,5,634,525.049.852,1.334.452.615,furniture,shelf,furniture,chair
730,1,12057,5.245.580.459,1.347.663.288,not_available,12359,2023-02-21,2023-02-27,2,1327,5.247.267.801,1.346.692.237,musical_equipment,contrabass,appliance,drying_rack
786,2,10119,5.252.396.714,1.345.375.122,not_available,12249,2023-02-20,2023-03-12,1,430,5.255.148.161,1.339.711.436,miscelaneaous,ski_skates,miscelaneaous,picture_frame
1196,1,10243,5.251.053.921,1.340.858.413,not_available,12101,2023-03-14,2023-03-17,5,985,5.251.617.776,1.338.451.364,appliance,washing_machine,kids,stroller
1251,3,10437,5.244.172.019,1.342.892.616,not_available,12277,2023-03-05,2023-03-12,4,792,5.259.224.225,1.349.576.017,shoes,woman_shoes,furniture,desk
858,2,13086,5.239.470.471,1.353.311.015,avaliable,12589,2023-03-03,2023-03-13,3,461,5.254.734.719,133.774.458,furniture,shoe_rack,miscelaneaous,roller_skates
1391,3,12159,5.243.276.093,1.339.009.166,avaliable,12559,2023-02-21,2023-02-28,3,456,5.251.574.313,1.331.443.203,appliance,coffee_machine,shoes,woman_shoes
1073,3,13439,5.253.763.717,133.237.807,avaliable,12555,2023-02-22,2023-03-04,3,1077,5.258.249.872,1.319.706.496,appliance,kettle,kids,baby_carriage
600,1,12683,5.250.676.396,13.242.435,avaliable,12055,2023-02-21,2023-03-15,4,1196,5.256.691.648,134.416.576,appliance,refrigerator,miscelaneaous,shopping_venture
145,2,13089,5.248.439.908,1.317.595.798,avaliable,10961,2023-03-05,2023-03-11,2,476,5.247.994.351,1.357.525.949,home,mattress,appliance,washing_machine
1065,2,12249,5.255.603.754,1.360.419.668,avaliable,13189,2023-03-04,2023-03-17,5,945,5.247.861.582,1.334.899.989,furniture,trolley,miscelaneaous,books
33,3,10435,525.741.821,1.341.355.387,avaliable,13469,2023-02-22,2023-03-01,1,1011,5.250.440.649,1.342.021.809,lighting,chandelier,miscelaneaous,plant
1117,1,12277,5.255.171.485,1.326.605.805,not_available,13053,2023-02-23,2023-02-24,4,942,5.249.196.622,1.338.765.056,shoes,child_shoes,furniture,armchair
760,1,10963,5.242.302.453,1.337.164.322,avaliable,13439,2023-02-20,2023-03-10,4,217,5.251.053.921,1.325.762.459,furniture,table,clothes,child_clothes
934,1,12629,5.252.778.499,1.331.859.316,avaliable,10999,2023-02-24,2023-03-04,3,932,5.252.917.249,1.341.309.125,furniture,shoe_rack,furniture,shelf
788,1,13405,5.256.212.873,1.336.970.082,not_available,12347,2023-03-01,2023-03-14,5,1438,5.251.286.161,1.338.279.195,appliance,kettle,lighting,lightbulb
771,2,12105,5.245.660.151,133.451.102,not_available,12357,2023-03-05,2023-03-16,1,329,5.252.098.829,1.331.127.631,shoes,woman_shoes,miscelaneaous,bicycle
674,2,13435,5.256.200.506,1.335.823.008,not_available,12105,2023-03-04,2023-03-05,3,1320,5.243.395.276,1.337.622.565,clothes,woman_jacket,kids,baby_carriage
1175,3,12527,5.254.485.383,1.345.828.519,avaliable,13627,2023-02-19,2023-03-07,2,609,5.254.095.188,1.343.259.573,shoes,woman_shoes,miscelaneaous,picture_frame
958,1,12047,5.252.384.026,1.359.900.059,not_available,12109,2023-03-05,2023-03-13,2,976,524.109.961,134.389.366,shoes,woman_shoes,furniture,cupboard
787,2,10967,5.254.757.158,1.321.737.309,avaliable,13353,2023-02-26,2023-03-11,5,408,5.252.795.632,1.320.839.861,appliance,sandwich_maker,miscelaneaous,purse
851,2,12157,5.251.457.719,1.318.203.255,avaliable,13409,2023-02-20,2023-03-17,5,1025,5.248.658.315,1.335.893.197,furniture,cupboard,appliance,air_conditioner
701,1,10785,5.247.604.107,134.754.569,avaliable,12351,2023-02-22,2023-03-16,5,529,5.257.344.078,1.339.404.707,furniture,cot,kids,stroller
581,3,13159,5.245.595.448,1.340.522.036,not_available,12685,2023-02-27,2023-03-09,4,994,525.360.893,133.066.448,appliance,popcorn_maker,furniture,cabinet
1072,3,10789,5.253.873.208,1.340.900.881,avaliable,10439,2023-03-08,2023-03-18,3,895,5.253.049.413,1.344.158.966,musical_equipment,battery,furniture,shoe_rack
480,1,13088,5.244.988.329,1.326.292.219,avaliable,13125,2023-02-17,2023-02-28,1,1494,5.247.309.166,1.341.317.541,musical_equipment,contrabass,furniture,cot
842,2,12107,5.246.722.173,1.331.046.329,not_available,12159,2023-02-20,2023-03-02,2,451,5.249.837.954,1.336.990.544,furniture,bedside_table,appliance,blender
163,1,14050,5.244.896.273,1.331.250.857,avaliable,13405,2023-02-19,2023-03-05,2,844,5.258.762.859,1.333.907.045,kids,baby_carriage,furniture,cupboard
1356,3,10585,5.252.591.489,134.246.901,not_available,13127,2023-02-22,2023-03-17,3,1298,5.250.293.492,133.911.517,appliance,sandwich_maker,miscelaneaous,board
647,3,14129,5.260.284.478,1.334.740.521,not_available,13351,2023-02-25,2023-03-15,3,857,5.253.863.513,1.343.471.808,appliance,dish_washer,home,carpet
1173,3,12167,5.245.674.805,1.326.456.558,avaliable,10551,2023-02-19,2023-03-08,4,583,5.254.919.668,1.316.747.672,shoes,man_shoes,furniture,cabinet
1409,1,12353,5.252.552.505,1.349.340.445,avaliable,13591,2023-02-21,2023-03-03,5,1282,5.246.115.329,1.359.329.217,furniture,shelf,miscelaneaous,ski_skates
1452,1,14057,5.254.467.741,134.274.667,avaliable,13125,2023-02-26,2023-02-28,1,512,5.255.221.836,1.319.849.137,lighting,lightbulb,appliance,refrigerator
1059,1,12351,5.254.226.042,1.339.531.085,not_available,12103,2023-03-05,2023-03-09,4,1368,5.253.803.842,1.351.147.634,tech,desktop,furniture,desk
1287,1,12437,5.252.893.898,1.344.619.961,not_available,12347,2023-03-02,2023-03-11,2,1257,5.242.769.437,1.347.517.101,appliance,air_conditioner,appliance,heater
778,1,10585,5.250.969.862,1.329.750.069,not_available,10713,2023-02-18,2023-03-10,5,623,5.245.428.505,1.338.116.186,appliance,kettle,miscelaneaous,bicycle
592,3,10719,5.252.319.722,1.326.002.937,not_available,12627,2023-02-23,2023-03-13,5,880,5.250.725.282,1.318.938.656,musical_equipment,piano,appliance,clothes_iron
60,1,12057,5.243.043.008,1.344.057.043,avaliable,13437,2023-02-25,2023-03-17,1,156,5.248.334.347,1.344.099.977,furniture,chair,clothes,child_clothes
1461,3,12249,5.257.463.093,1.349.737.515,not_available,12559,2023-03-03,2023-03-13,5,867,5.250.050.685,134.669.836,home,mattress,shoes,man_shoes
542,2,13189,5.248.209.304,1.336.920.456,not_available,13629,2023-03-09,2023-03-12,2,1253,5.262.280.342,1.340.818.547,miscelaneaous,purse,clothes,child_clothes
110,3,12681,5.250.455.968,1.328.592.983,avaliable,13585,2023-02-19,2023-02-20,1,758,5.255.711.013,1.320.959.597,clothes,woman_clothes,miscelaneaous,ski_skates
1271,1,10585,5.252.939.769,1.313.440.275,avaliable,13051,2023-03-13,2023-03-18,4,607,5.249.272.746,1.343.766.227,furniture,bedside_table,home,carpet
1110,2,12629,5.250.685.731,1.322.672.296,not_available,13051,2023-03-12,2023-03-15,4,428,5.256.689.922,1.358.170.469,furniture,shelf,home,mattress
653,1,10369,5.251.480.011,1.342.122.764,not_available,13465,2023-03-05,2023-03-15,3,52,5.250.650.463,1.328.866.158,kids,baby_carriage,furniture,sofa
701,2,12687,5.249.878.829,1.350.011,avaliable,12105,2023-03-07,2023-03-12,2,1317,5.256.424.458,133.535.667,appliance,extractor_hood,furniture,cot
1192,1,13503,5.251.303.103,1.339.028.855,not_available,12055,2023-03-08,2023-03-17,4,1153,524.662.512,1.333.592.086,miscelaneaous,roller_skates,appliance,coffee_machine
