item_category,item_condition,item_postcode,item_available_timer,distance,n_views,n_likes,item_available
kids,like_new,10785,17,21582,371,14,0
kids,acceptable,14169,71,682,372,29,0
kids,like_new,10625,18,26984,411,61,1
furniture,poor,12099,29,1308,1210,48,1
kitchen_utensils,acceptable,10245,75,20913,1418,255,1
clothes,poor,10779,71,27941,538,26,1
kids,good,12099,48,20455,1526,61,1
other,like_new,12107,91,29418,1023,112,0
clothes,good,10315,25,29289,1307,0,0
furniture,like_new,13347,27,10174,1755,122,1
clothes,poor,10553,38,10363,902,81,0
clothes,like_new,13357,53,28380,627,68,1
furniture,acceptable,10717,70,11347,1719,120,0
furniture,like_new,12159,82,9738,1213,36,0
other,good,12207,78,30434,1376,206,1
other,like_new,12159,89,25775,1959,156,1
furniture,acceptable,13086,83,31234,1472,73,1
kids,like_new,13059,42,22018,941,37,0
clothes,acceptable,12559,14,15149,168,5,1
furniture,poor,12524,43,17859,348,52,1
furniture,like_new,12309,87,7842,367,58,0
clothes,good,13587,24,9053,1520,45,1
furniture,poor,12557,49,4424,1876,18,0
kitchen_utensils,good,12555,50,20998,1652,280,0
kitchen_utensils,poor,12057,74,31424,861,77,1
kids,acceptable,10365,52,27026,225,42,0
clothes,like_new,13587,81,25854,787,110,0
clothes,poor,10553,95,11869,453,49,1
furniture,good,10783,76,29332,1422,255,1
furniture,acceptable,14059,1,15188,1706,102,0
other,good,10717,90,7366,429,77,1
furniture,good,10553,59,20861,1527,76,0
kids,poor,12589,46,10146,1661,282,1
kitchen_utensils,poor,10961,58,26473,139,23,1
kitchen_utensils,poor,13088,17,13802,337,16,1
clothes,poor,12619,12,16645,48,6,1
kitchen_utensils,acceptable,12347,89,24365,1522,167,0
kitchen_utensils,good,12205,21,18944,133,10,1
other,poor,10709,56,7734,351,31,0
furniture,like_new,12209,30,6132,1642,0,1
kitchen_utensils,good,13351,12,6791,606,66,0
clothes,poor,12627,14,8748,1666,249,1
furniture,good,14055,78,13401,1169,140,0
other,acceptable,13403,33,4954,1436,258,1
clothes,like_new,14167,24,5752,517,36,0
kids,acceptable,14193,90,12303,1646,131,0
clothes,poor,12681,4,13027,993,9,1
clothes,like_new,10827,95,901,336,6,0
kitchen_utensils,acceptable,14089,15,18983,746,82,1
kids,like_new,13627,68,15610,104,0,1
kids,good,12103,39,14433,519,41,0
other,good,10707,39,4252,733,43,0
kitchen_utensils,good,13503,41,12861,1841,312,1
kitchen_utensils,acceptable,12159,18,28476,313,34,0
furniture,like_new,12623,42,4021,1749,314,1
furniture,like_new,13585,80,17849,1180,0,1
other,acceptable,10999,54,27346,526,52,0
furniture,acceptable,10829,59,23288,266,47,0
kitchen_utensils,acceptable,14163,10,29236,366,29,1
kids,acceptable,10557,42,19364,603,36,1
clothes,acceptable,12209,94,7602,1266,164,0
other,poor,10587,45,11535,1356,0,1
furniture,poor,13593,20,20173,1631,16,0
kitchen_utensils,acceptable,10365,28,28045,868,112,1
kitchen_utensils,like_new,10365,40,586,1087,0,0
furniture,poor,10407,13,10014,47,8,1
kitchen_utensils,acceptable,10823,1,26795,1382,207,0
kids,like_new,10249,44,5047,1227,49,0
kitchen_utensils,like_new,12679,51,15803,570,108,1
clothes,like_new,13505,25,24831,1259,163,1
clothes,like_new,10709,3,6367,948,113,0
furniture,acceptable,12099,9,4598,133,21,1
kitchen_utensils,like_new,10369,16,1300,1599,255,1
clothes,acceptable,13599,82,5725,1909,267,0
kids,like_new,12439,6,16697,424,67,1
clothes,poor,14167,83,7645,1461,14,0
other,good,14199,26,8454,328,6,1
other,good,12051,33,13974,491,44,1
clothes,good,12055,89,387,992,188,0
kids,like_new,10179,53,31836,1733,242,1
kids,poor,12357,11,20562,1013,111,1
furniture,poor,13507,39,12284,1350,13,0
clothes,acceptable,10709,64,17211,20,2,0
furniture,good,14167,59,20705,1560,62,0
furniture,acceptable,12203,76,25771,0,0,0
other,acceptable,12159,57,2088,1805,36,0
furniture,poor,10827,11,29733,580,0,0
kids,poor,10961,5,6542,711,78,0
furniture,good,12167,3,27862,1798,0,1
kitchen_utensils,like_new,12627,93,17013,673,127,1
clothes,good,12047,67,20005,1970,98,0
other,poor,13595,67,23392,450,27,0
other,like_new,14059,38,23806,1134,45,1
clothes,poor,10409,52,3185,929,37,0
clothes,good,13355,82,13410,1998,359,1
kitchen_utensils,acceptable,10435,89,12088,664,19,0
furniture,acceptable,12099,27,13522,1252,87,1
clothes,like_new,10553,81,4637,650,45,0
kids,good,10405,7,8738,1096,76,1
other,acceptable,10719,79,7241,1736,225,1
kitchen_utensils,good,12249,63,3039,366,43,1
kids,acceptable,14169,80,4900,1010,191,0
kids,poor,10365,26,31526,1798,71,1
clothes,like_new,12047,27,14074,496,19,0
clothes,good,12305,47,26644,1345,121,1
furniture,acceptable,10787,63,26401,1908,95,0
other,like_new,12059,94,7890,1888,245,1
kids,acceptable,10559,24,11879,1341,254,0
other,acceptable,13353,39,4833,1699,220,1
clothes,poor,12435,65,20335,45,5,1
kitchen_utensils,like_new,10785,67,10581,1009,141,1
kids,acceptable,13595,81,9197,438,83,1
furniture,like_new,13158,60,29821,318,47,1
kitchen_utensils,like_new,10315,17,3937,638,95,1
clothes,poor,12349,28,31299,1437,201,1
kids,poor,12555,62,6020,1841,36,1
kids,like_new,12109,31,27438,1556,108,1
kids,like_new,14089,68,7340,444,26,1
kids,acceptable,13591,99,2999,392,74,0
kids,good,12279,34,14493,1891,340,1
other,like_new,10779,12,19481,1013,162,0
kitchen_utensils,acceptable,14163,31,8177,1289,219,0
furniture,like_new,10827,71,13492,1494,44,0
other,poor,12587,81,14100,1452,87,0
kitchen_utensils,good,10365,35,27618,606,12,1
clothes,like_new,12437,3,8680,1335,13,1
furniture,poor,13465,12,4494,702,91,1
kids,acceptable,14129,27,21735,1152,34,0
kids,acceptable,10243,24,19430,1944,291,0
kitchen_utensils,poor,12305,62,11858,80,13,1
clothes,poor,10585,7,19787,1552,46,1
kids,like_new,12107,41,14456,1108,188,1
kitchen_utensils,poor,12359,60,30572,1701,51,1
kids,acceptable,13629,68,2442,59,9,1
furniture,poor,12439,19,3060,691,82,0
furniture,poor,12057,69,1879,819,0,0
clothes,acceptable,12587,1,8211,1412,70,1
furniture,like_new,12209,0,3021,78,6,0
kitchen_utensils,acceptable,12487,23,12482,1057,158,0
kids,like_new,12305,99,836,1130,79,0
furniture,acceptable,10783,48,18278,1197,0,1
kids,like_new,13503,44,25193,650,52,1
kids,poor,10777,76,28983,355,31,1
kitchen_utensils,like_new,10963,93,6334,1910,210,0
other,like_new,13353,66,1839,1543,15,1
furniture,acceptable,13187,53,7777,1952,351,0
clothes,good,12059,56,19309,75,3,1
other,poor,12099,4,5153,411,45,0
clothes,like_new,13129,13,15115,1588,0,1
other,good,10319,12,18238,324,58,0
clothes,poor,13409,61,29120,672,67,1
furniture,poor,13597,92,26227,853,145,0
kids,good,12629,36,21295,726,0,1
clothes,like_new,10319,61,6919,1685,16,1
kids,like_new,13086,61,26562,1391,236,0
kids,acceptable,13437,98,2685,1495,164,0
clothes,acceptable,10409,95,23605,930,102,0
furniture,like_new,13595,13,16172,602,48,1
furniture,poor,13507,26,4597,686,123,1
other,good,10627,25,21016,1440,115,0
other,like_new,14129,76,24562,1534,214,1
clothes,poor,13127,59,13024,1426,85,0
other,poor,10367,86,13081,1126,67,0
kitchen_utensils,poor,12279,22,18851,349,59,1
other,poor,13465,51,21231,263,5,1
kids,like_new,10317,24,31295,1745,314,1
clothes,like_new,10783,37,353,1307,156,0
kitchen_utensils,poor,12203,14,19220,846,84,1
clothes,acceptable,13465,69,23908,92,9,0
kids,acceptable,14169,95,13665,865,17,1
kids,acceptable,12629,61,16128,627,25,1
furniture,poor,12109,67,25874,1809,271,1
kids,acceptable,13088,3,27058,1114,66,0
kids,acceptable,13349,47,23593,1468,190,1
kids,poor,14050,53,7983,569,102,0
other,poor,12621,12,21764,104,14,1
clothes,poor,10585,60,19655,221,24,1
kids,acceptable,12249,37,30113,943,18,1
furniture,good,12049,12,4202,1677,117,1
kids,acceptable,10825,32,23497,528,42,0
other,poor,12159,6,17136,60,6,0
furniture,acceptable,12557,99,20574,1557,108,0
furniture,good,10967,95,24881,1353,230,1
other,poor,14199,12,19096,980,9,1
clothes,acceptable,14129,41,12682,852,25,0
clothes,acceptable,14165,93,30122,782,15,1
kitchen_utensils,acceptable,12679,38,19387,261,0,0
clothes,poor,10785,16,16069,1983,138,0
kitchen_utensils,poor,10711,28,29201,698,111,1
kids,like_new,10707,82,15553,1834,73,0
other,good,12107,40,9534,1383,96,1
kitchen_utensils,like_new,12203,45,17166,850,0,0
clothes,acceptable,10367,36,30094,746,111,0
furniture,good,13593,56,9349,1906,266,0
furniture,good,14163,64,20932,1238,0,1
other,poor,10963,20,931,1669,317,1
clothes,poor,12623,8,26314,708,120,1
furniture,poor,12351,90,15519,321,54,0
clothes,acceptable,10625,89,7635,1871,168,0
kitchen_utensils,poor,12307,42,30062,1456,72,0
other,like_new,12487,97,18832,1741,243,0
other,acceptable,12163,14,9229,1986,258,0
kitchen_utensils,good,13409,64,19108,1306,235,0
furniture,poor,13403,45,28202,702,7,0
kitchen_utensils,like_new,12679,68,11270,749,22,0
clothes,good,12627,97,5949,346,31,0
clothes,acceptable,12277,34,21676,1019,91,0
kitchen_utensils,good,12305,67,7801,1044,62,1
furniture,good,13088,16,17133,1879,56,1
other,good,12353,89,2948,608,60,1
kitchen_utensils,poor,12687,4,18479,493,9,1
furniture,good,10625,60,8388,331,16,1
clothes,like_new,10961,28,21734,26,1,1
furniture,like_new,10711,83,21079,1223,85,0
other,acceptable,10829,90,11569,1168,81,0
other,like_new,12619,3,1036,1799,341,0
furniture,like_new,12107,70,22648,629,25,0
other,good,13581,35,11071,1923,346,1
other,poor,12555,55,28903,1862,37,0
furniture,poor,10587,94,10958,1851,240,0
clothes,good,13156,87,4304,966,28,1
kitchen_utensils,acceptable,13503,51,15256,1848,129,1
furniture,like_new,12247,25,2683,1607,289,1
furniture,acceptable,10623,94,7025,1046,167,1
kids,poor,13587,99,26391,833,108,0
furniture,like_new,14167,94,1547,25,1,0
furniture,like_new,10623,64,24546,625,68,0
clothes,acceptable,13627,0,24300,1424,113,1
other,poor,12623,42,6444,36,5,1
furniture,acceptable,13357,56,29227,402,20,0
clothes,good,13405,53,21998,1465,58,0
kids,acceptable,13158,51,14380,1535,168,1
kitchen_utensils,acceptable,12349,79,19967,1832,183,1
other,good,14052,64,9441,429,68,0
other,good,10967,17,17917,555,38,0
clothes,like_new,12165,67,11064,1822,182,0
furniture,good,12307,90,1921,1164,58,0
kids,like_new,12355,79,17418,475,66,1
kids,acceptable,13583,59,15413,994,178,0
kids,good,13583,42,11049,1574,236,1
other,good,10585,20,24747,19,0,1
kitchen_utensils,acceptable,12687,11,12445,87,13,1
furniture,poor,12681,81,2490,56,8,1
other,acceptable,12623,57,31689,591,82,0
clothes,like_new,12159,4,24442,1577,78,0
other,like_new,10557,27,1246,393,15,1
furniture,like_new,10178,24,1529,777,62,0
other,poor,13351,7,12636,866,25,0
kids,like_new,10967,24,12289,1945,350,1
other,acceptable,12207,99,6152,12,0,1
furniture,good,10783,85,28955,649,32,1
kitchen_utensils,poor,10777,1,23699,1853,92,1
kids,like_new,12249,67,10320,406,69,0
other,poor,10789,98,15073,626,118,1
clothes,acceptable,12105,66,19548,1306,65,1
kitchen_utensils,like_new,10829,90,674,1208,144,1
kids,poor,12555,23,26935,709,113,0
kids,like_new,12681,56,21079,659,112,1
furniture,poor,13629,90,13855,1062,127,0
clothes,good,10315,60,31519,1774,17,0
kids,poor,10827,89,23474,1876,37,0
kids,like_new,12459,6,28674,851,102,0
kitchen_utensils,poor,12683,69,7130,1112,111,1
kids,poor,12489,10,532,677,94,1
kitchen_utensils,good,12099,76,16670,1926,77,0
clothes,poor,13467,9,11188,568,68,1
other,poor,13351,82,27561,809,64,0
other,good,10717,47,21699,1031,20,0
kids,like_new,10789,52,18487,1021,61,1
clothes,poor,10717,39,30713,1805,252,0
other,good,10779,65,18399,1359,108,0
other,good,12587,49,15266,105,7,0
other,like_new,10407,64,23358,1759,263,0
kids,acceptable,13465,34,23438,20,3,1
clothes,good,12049,96,5194,1469,264,1
other,good,10435,31,21470,283,19,0
kitchen_utensils,acceptable,12209,31,30184,1598,63,0
kids,good,13581,69,13323,982,176,0
furniture,poor,12681,46,12328,670,113,1
other,good,10709,36,27444,1233,123,1
furniture,good,13507,43,6764,981,117,0
kitchen_utensils,like_new,10559,20,27591,511,61,1
clothes,poor,13059,82,10682,553,49,1
kids,acceptable,13129,28,20249,1076,43,0
other,acceptable,12103,28,23894,1895,208,0
kids,good,12055,40,31698,1503,30,1
kids,poor,13469,57,6843,886,8,0
furniture,like_new,10713,81,13038,219,37,0
other,poor,13407,78,21453,521,93,1
other,like_new,12203,14,18254,824,90,0
furniture,acceptable,12459,17,4590,1742,156,0
kitchen_utensils,acceptable,10245,68,7832,935,130,0
kitchen_utensils,poor,13469,76,15270,1333,26,1
kids,like_new,13088,69,15751,603,36,0
other,like_new,10555,85,15823,1093,174,1
other,acceptable,13359,31,10382,1989,218,1
clothes,acceptable,14055,49,1734,1719,103,1
clothes,poor,12169,53,21213,1320,52,1
kids,good,10405,5,17433,1172,222,0
other,acceptable,12099,53,9633,762,68,0
other,like_new,10715,92,9334,1391,139,1
clothes,like_new,13507,44,21171,929,167,1
clothes,poor,12207,44,7589,1247,124,1
other,good,13407,51,2276,708,134,1
clothes,poor,10963,96,21603,1293,51,1
other,poor,12489,15,4759,1884,226,1
kitchen_utensils,like_new,14059,44,23155,364,0,0
other,acceptable,10249,65,13354,1729,17,1
other,acceptable,12687,52,9278,1151,126,0
clothes,acceptable,10827,24,10343,1301,117,0
other,like_new,13189,49,30018,697,20,1
kitchen_utensils,acceptable,13129,34,14182,1087,10,0
kids,good,13187,50,25211,930,83,0
clothes,like_new,14053,8,30935,9,1,0
kids,acceptable,12487,36,16285,948,37,1
kitchen_utensils,acceptable,10243,54,1936,1837,91,1
kids,like_new,12307,78,28721,231,36,1
clothes,like_new,13437,10,24327,1456,101,0
other,good,12277,89,9175,1125,180,0
kids,poor,13583,60,20924,1798,197,0
clothes,good,10555,56,16700,1323,211,1
clothes,like_new,13359,21,5515,652,123,1
furniture,poor,13587,91,18842,1785,321,1
kitchen_utensils,acceptable,12049,21,28201,303,54,0
kids,acceptable,12555,57,16785,93,1,1
clothes,like_new,12053,2,9083,410,24,0
clothes,poor,12627,46,10490,347,27,0
clothes,acceptable,10713,18,12836,1091,76,1
kitchen_utensils,good,10585,16,22742,603,12,1
kids,good,12627,32,10696,534,26,1
kitchen_utensils,like_new,13347,62,13433,874,96,0
clothes,good,13505,28,27642,1046,146,1
other,good,10249,18,2855,1660,83,1
furniture,acceptable,10719,60,20811,176,7,1
kitchen_utensils,good,12355,57,19899,794,63,1
kids,acceptable,13353,49,9303,1711,222,0
furniture,good,10589,70,25559,1437,28,1
furniture,acceptable,13187,65,8753,1776,106,1
furniture,poor,12203,9,6906,489,39,1
clothes,good,12589,17,18568,1681,235,1
kids,like_new,10965,71,26310,711,99,1
furniture,good,13055,52,10881,314,50,1
clothes,acceptable,12055,73,22875,1590,15,1
kids,poor,10585,7,8638,1813,108,1
furniture,like_new,14050,12,20736,1112,33,0
kids,poor,13405,76,21863,1406,224,0
other,good,10367,45,29942,195,19,0
kids,like_new,12043,61,21266,1910,191,0
clothes,poor,10787,50,927,608,24,1
kitchen_utensils,poor,12205,55,3845,1785,89,1
clothes,good,14129,97,21053,1081,151,1
clothes,acceptable,12359,42,17711,1385,193,0
kids,like_new,10717,33,10418,211,4,0
furniture,like_new,12557,24,21228,221,35,0
kitchen_utensils,poor,12057,90,17508,82,1,0
kids,acceptable,10555,22,7807,689,6,0
furniture,good,10777,66,5440,792,126,0
other,good,12167,25,21297,1018,71,0
kitchen_utensils,acceptable,12685,39,4698,1800,90,1
furniture,like_new,10243,69,28583,689,103,1
furniture,poor,14197,93,28075,1815,254,0
furniture,like_new,13439,40,5189,1162,23,1
other,poor,12207,31,10000,1081,0,1
clothes,acceptable,14089,33,19689,1434,86,1
other,like_new,12629,83,12862,1996,179,0
kitchen_utensils,poor,14167,86,692,1543,185,1
other,good,13125,35,20449,415,37,1
clothes,good,12205,0,271,271,8,1
furniture,poor,13589,4,4503,1940,135,1
kids,like_new,10435,20,10684,1509,75,1
kitchen_utensils,acceptable,14059,20,7615,215,10,0
kids,like_new,10317,12,11516,1506,30,1
kitchen_utensils,good,12049,10,6859,140,25,0
kitchen_utensils,good,12555,59,9848,813,113,0
clothes,poor,12157,12,1754,1449,246,0
clothes,poor,10783,30,27780,1177,0,1
clothes,poor,10967,60,16919,769,23,0
kids,acceptable,14053,78,6407,1475,59,1
other,poor,13503,79,17118,1711,188,0
kids,good,12165,59,14421,1087,32,1
clothes,poor,12627,90,28260,84,1,0
clothes,acceptable,12687,31,18826,250,27,1
other,acceptable,12205,82,21176,623,118,0
other,like_new,10405,87,11531,1123,179,0
kids,good,10437,51,10924,1767,282,0
furniture,poor,13581,41,5111,146,11,1
other,poor,13507,59,8365,1227,147,0
kids,poor,12205,89,7333,1007,171,1
