item_category,item_condition,distance,item_available_timer,n_views,n_likes,item_available
3,3,658,90,1666,116,1
4,3,15110,57,623,12,0
4,2,25571,98,887,8,1
4,3,13128,10,956,152,1
1,2,23288,56,1265,151,1
3,2,17216,59,820,49,0
5,4,28552,86,1403,210,1
4,3,16794,67,1312,91,0
5,2,5438,66,1824,72,0
5,1,31290,82,205,26,0
5,2,11160,41,1857,167,0
1,1,19385,16,1065,106,0
1,4,11760,95,1784,214,0
3,3,27179,78,17,2,1
2,4,15432,81,911,127,0
5,1,10053,49,1337,160,1
1,4,24363,73,1065,42,0
5,2,31683,57,795,63,0
1,1,22437,33,0,0,0
3,3,10652,35,1114,89,0
2,4,28967,97,1641,311,1
1,4,4407,89,515,5,1
1,2,16281,68,1581,252,0
1,1,1010,39,1170,175,1
2,3,5122,41,927,120,0
4,2,14581,32,1308,183,1
1,2,27782,64,1307,156,0
1,2,20529,87,1010,191,0
3,4,6922,41,1807,180,0
5,3,17839,11,1943,310,0
4,1,25744,44,1867,37,1
1,4,28056,42,825,107,0
4,2,5757,84,632,12,0
3,2,4543,95,1691,304,1
2,4,5625,29,1240,62,1
2,1,22400,66,164,19,0
4,3,3723,79,88,9,1
5,2,31630,98,1495,44,0
5,1,14198,31,678,88,0
1,4,31949,2,750,82,0
3,1,4396,25,1097,208,1
1,2,11913,69,1960,117,1
2,1,25629,12,424,21,0
3,3,27512,18,545,16,1
4,2,15354,96,1402,126,1
3,4,23485,27,947,132,1
5,2,23781,71,1375,13,1
4,1,1382,58,456,77,0
3,1,19266,62,1850,74,1
5,4,11045,23,447,17,1
5,1,15780,56,333,13,0
2,1,23298,88,1347,67,1
5,3,20485,37,707,127,1
4,3,11474,9,133,19,0
3,1,21197,2,1999,379,0
4,1,18995,65,186,18,1
4,2,31845,39,1428,257,1
5,4,27344,0,1552,232,0
4,1,26674,96,889,26,1
1,4,30176,98,200,6,1
4,4,9023,10,439,83,1
3,3,13684,22,579,63,0
1,3,14422,79,245,9,0
2,4,13296,74,1022,112,0
3,1,10066,38,26,1,0
3,2,3512,74,1131,203,0
4,2,28794,13,1677,167,0
5,3,25701,88,665,13,0
4,1,28015,46,1138,91,1
1,3,30334,95,1309,196,0
1,2,29753,3,1606,208,1
2,2,6543,13,222,35,0
1,3,13822,84,429,60,1
4,2,3617,44,1276,229,0
2,3,2540,99,1978,237,1
5,4,27711,12,1236,98,1
1,3,20457,97,473,9,1
2,2,31626,81,1994,119,0
5,4,13438,85,1502,15,1
5,3,27905,97,1744,296,0
3,3,26154,55,372,48,1
5,2,11233,3,1128,56,1
1,3,386,7,1821,218,0
1,2,17985,89,924,9,0
3,1,7915,13,991,168,1
4,3,16540,10,1752,280,0
5,3,12430,0,1425,57,1
2,4,31798,31,1014,91,0
5,3,24011,93,1651,264,1
5,1,8424,15,1483,192,0
3,3,17786,88,1315,52,0
1,3,24069,14,1051,157,1
2,3,9814,38,1981,198,0
1,1,13319,75,1192,35,1
3,4,6176,71,1542,200,1
1,2,2076,73,1871,224,0
5,3,2030,23,1444,173,0
3,4,27488,66,1902,304,0
1,2,28957,57,1738,104,1
3,2,3436,96,424,29,1
5,2,9584,71,1083,97,1
4,1,16087,74,508,30,0
1,1,12890,90,1279,102,0
2,1,21989,89,1369,41,1
3,2,14203,18,103,14,0
5,1,20307,92,1481,148,1
4,2,17491,23,1419,113,1
5,2,13693,90,488,9,0
1,1,15296,79,1871,205,1
2,2,7652,52,1148,183,0
1,4,9416,71,995,29,0
1,3,1475,0,1233,98,1
2,1,12272,37,1343,26,0
5,3,6405,33,1253,150,1
5,1,6018,88,180,1,0
1,1,17661,16,636,6,1
2,4,13162,12,1823,0,1
2,2,19109,30,1611,177,1
2,3,15890,17,1730,242,1
2,3,6968,42,68,5,0
1,4,29616,89,991,59,0
4,3,17097,74,1770,53,0
5,3,10847,62,1856,129,0
4,4,9618,36,1390,180,1
2,2,15429,25,44,0,0
1,4,16650,26,1494,44,1
1,2,3013,6,1030,103,0
2,3,1433,57,1183,0,0
5,4,11426,94,326,42,0
2,1,21864,22,768,69,0
3,4,25693,98,1873,337,1
2,4,1627,31,443,39,0
3,1,28411,5,1950,39,0
3,3,3299,14,151,19,0
2,4,30108,89,1684,235,1
3,2,29045,18,1356,27,1
5,1,31366,36,1670,283,0
3,1,10720,66,129,10,1
1,3,14294,96,1481,44,1
3,2,18370,49,1039,72,0
2,4,7239,69,1081,172,0
1,3,30457,68,651,123,1
1,2,10574,69,1064,53,0
2,2,22009,41,1861,186,1
2,2,17314,88,1429,0,0
2,1,6886,87,203,14,1
1,2,1027,79,376,71,1
2,2,4358,71,969,135,0
2,3,26552,79,1670,217,0
2,4,22676,77,2000,300,1
5,1,1058,74,1578,299,0
3,1,22850,84,875,148,0
3,3,23561,62,959,143,0
4,2,4736,85,135,1,0
4,1,17164,94,182,12,1
2,1,12276,1,202,12,0
4,2,22232,48,1241,235,1
4,2,21524,63,1598,191,0
3,3,30939,88,1243,87,1
2,4,13919,55,203,12,1
4,1,17796,15,109,9,0
5,2,11497,81,1647,0,0
4,4,17305,30,514,5,0
5,2,1881,93,1907,95,0
4,3,25727,8,1817,327,1
1,1,9589,57,1789,125,1
3,3,30721,3,1357,189,1
2,3,3502,69,1273,178,0
1,3,10387,19,812,56,1
3,4,2971,35,593,65,0
2,1,7167,20,1866,37,1
3,4,25037,96,1122,157,1
3,2,5771,36,844,84,1
2,4,26292,83,396,31,0
3,2,23642,46,311,55,0
4,3,22826,84,1005,90,0
4,4,27309,24,1160,197,1
3,4,20413,92,1818,18,0
4,4,17835,64,1304,104,1
1,3,23110,88,1148,0,0
3,1,14325,89,1792,286,0
4,4,5559,35,1640,262,0
3,2,265,90,966,96,1
2,2,21732,61,821,98,1
3,2,26677,62,1437,172,1
3,3,23877,71,1440,144,1
2,3,8349,32,1649,32,1
3,4,26227,47,744,37,1
1,3,21350,95,1421,42,0
4,1,16358,91,1777,0,1
5,3,15051,70,954,0,1
2,2,2049,72,825,82,1
3,1,28343,69,1238,12,0
3,2,8386,90,1891,208,0
3,2,14894,6,1838,202,1
1,4,9543,51,874,131,1
4,3,16505,24,1622,227,0
5,4,29023,27,1782,231,1
4,1,28024,90,1366,150,1
5,3,29543,69,459,45,0
5,2,3770,39,1480,266,1
5,4,11016,88,332,59,0
1,1,2750,97,1059,52,0
1,1,28381,81,478,81,1
4,2,8064,89,557,105,1
4,4,30524,44,319,44,1
3,2,12420,38,455,59,0
2,1,16551,99,108,0,0
1,1,8246,88,428,77,1
4,4,10888,63,1534,30,0
4,1,28493,47,143,15,1
3,2,28673,56,1226,232,1
1,2,31319,96,1716,34,0
4,4,26583,73,307,24,1
2,3,536,6,1815,235,1
4,3,16215,22,1743,156,0
3,2,17248,27,1471,176,0
4,3,16700,10,14,1,1
2,2,25752,27,958,134,1
4,4,19566,48,1008,110,1
5,4,19107,85,722,21,0
2,4,176,96,939,103,1
1,1,16937,61,201,34,0
3,3,5641,6,979,48,1
2,1,31964,88,1713,256,0
3,4,31043,46,1140,216,0
1,1,30700,25,146,4,0
5,4,26062,17,1456,0,0
1,4,17770,75,675,67,1
3,1,3421,18,729,58,0
4,3,29182,16,1479,59,1
2,4,23191,57,1048,94,0
3,4,22304,25,976,87,0
2,2,7301,63,1959,39,1
1,2,22977,38,396,55,1
4,1,18197,7,609,85,1
2,4,30435,35,634,107,1
2,4,11436,7,1569,156,0
3,2,23849,34,108,17,1
5,4,11323,9,1613,177,1
3,1,8884,19,1217,97,1
5,1,6439,26,1465,87,0
4,3,20512,38,1174,0,1
4,1,895,23,811,81,1
1,3,28291,57,1589,222,1
2,1,22822,37,1424,0,1
5,2,19076,49,1792,179,1
5,3,27106,47,569,28,1
4,3,13792,39,491,68,1
2,1,20156,45,131,3,1
1,1,28527,12,290,55,0
2,1,15331,75,806,96,1
1,3,17596,1,1595,111,1
5,3,877,97,193,13,1
5,4,22008,9,212,16,0
3,3,9627,69,264,36,1
2,3,15118,19,599,0,1
2,2,27709,85,1933,19,1
3,4,27070,8,349,38,1
4,2,7832,25,1381,0,1
5,1,8036,65,1269,152,1
2,1,29326,15,1425,28,1
3,1,23413,69,456,4,0
3,4,2027,66,929,65,1
4,1,30532,50,1345,107,0
1,1,22076,88,172,13,0
4,2,25508,87,140,1,1
1,1,24232,3,1083,54,1
5,3,6393,75,1021,0,0
1,4,25779,17,1872,205,1
3,4,21016,37,498,0,0
5,1,9183,59,1455,14,1
1,4,19106,79,1367,123,1
1,3,8386,14,798,143,0
5,4,26717,87,1504,270,0
2,4,712,56,1307,169,0
5,1,7674,46,1233,110,1
1,4,5668,68,1462,87,1
3,3,19399,96,1659,82,1
3,4,5572,52,911,173,1
5,3,12557,93,33,0,0
4,2,17953,42,804,0,0
4,4,24574,73,1716,0,0
1,2,12837,90,249,42,1
3,2,29190,35,1683,235,1
5,3,23038,85,955,143,1
3,2,4668,63,247,27,1
1,4,26597,89,61,4,1
1,1,27393,70,1694,237,1
3,1,28819,6,1515,106,0
4,2,25141,63,1554,155,1
4,3,10554,32,468,4,1
1,4,4625,22,1511,226,0
5,1,13331,71,1114,200,0
2,2,19989,94,1312,91,1
4,1,8301,5,1099,186,1
3,3,29068,91,187,5,0
4,4,7291,64,343,61,0
4,2,23885,74,1625,195,0
1,3,25058,54,1204,12,0
4,4,10211,93,1836,146,1
5,4,6300,23,228,25,0
1,1,20109,78,1036,82,0
1,4,1880,83,1149,195,0
1,2,3682,54,828,66,0
2,2,166,25,1938,232,0
3,2,12179,99,1701,85,1
5,1,19957,40,847,0,1
2,1,23169,18,1258,188,1
3,3,25588,45,171,29,0
3,3,26181,79,1356,230,1
4,3,22171,6,1065,10,1
1,1,11465,87,758,68,0
1,1,14919,82,1493,194,1
3,1,19262,10,730,0,0
1,1,17493,34,114,10,1
1,2,24042,16,1095,32,0
2,4,21478,78,1488,252,0
5,4,18338,16,1155,69,1
1,3,31538,77,1289,154,0
5,1,22083,83,1995,59,0
1,2,20880,41,1715,34,0
3,3,1993,29,1710,0,1
1,3,19097,37,1465,0,1
4,4,15359,4,814,65,1
5,2,16636,28,1855,278,0
4,4,23041,12,1373,82,1
3,1,20847,90,1280,230,0
5,3,18555,31,38,5,0
2,1,5127,74,703,7,1
4,3,7304,16,1063,63,1
1,1,29356,81,358,32,1
4,4,19064,87,1933,270,1
5,4,28122,99,1822,236,1
5,2,18532,37,678,115,0
2,4,4333,10,860,60,1
1,1,17010,20,585,105,0
5,2,19502,63,1447,217,0
3,1,5264,43,1871,37,1
5,2,28019,19,1141,148,0
2,3,17575,76,902,126,1
5,1,14951,53,1915,363,1
3,3,13309,34,911,100,0
4,2,13071,40,1970,118,1
3,3,7922,56,1321,79,0
1,1,27310,58,847,67,1
5,2,6412,64,1515,15,1
3,2,12177,23,470,18,0
3,3,7070,96,1556,46,0
1,2,23249,43,1889,170,1
4,1,7193,35,1792,143,1
5,2,30666,74,1332,253,0
5,3,6867,28,841,75,0
5,3,12018,79,1953,19,1
1,4,29933,28,768,92,0
4,2,29457,57,1767,212,0
4,4,17878,68,472,28,0
4,1,28408,2,1817,254,0
1,1,6612,85,1300,234,0
4,4,380,51,1035,144,1
5,3,24797,12,1271,0,0
1,2,5594,58,581,52,0
4,2,794,8,647,97,0
3,4,11408,7,1515,166,0
4,4,2783,19,1263,37,1
4,1,15202,42,718,107,0
5,4,4871,97,1939,174,1
5,1,25999,62,1694,287,0
1,4,19380,56,804,8,1
5,1,12182,7,1015,172,1
4,2,10470,57,160,1,0
1,3,17110,0,939,103,0
4,2,2378,88,1405,42,0
1,2,11338,49,395,59,1
4,1,26987,83,189,13,1
1,1,22806,62,1311,117,0
5,2,18738,90,1475,44,0
4,4,26155,85,1138,45,1
3,2,1205,72,1854,37,0
1,3,21336,46,960,163,1
2,3,19987,98,1686,151,0
2,3,15481,52,1058,201,1
1,3,19053,76,589,111,0
2,4,20768,4,1949,253,1
3,4,11227,2,1532,0,0
5,2,9903,33,284,5,0
4,2,10095,22,192,36,0
2,1,30078,9,1988,0,0
2,4,28682,86,462,0,0
3,2,9199,4,1806,270,0
2,1,23843,4,1868,354,0
2,4,1928,43,1135,124,0
3,3,23102,76,1194,59,1
1,3,1515,99,1782,89,1
5,3,21862,40,807,16,0
1,2,21481,80,922,18,0
4,1,16942,13,1275,191,1
5,2,1942,96,1989,278,1
4,4,3965,30,1546,170,1
3,3,22753,74,666,126,1
4,3,19893,33,468,28,1
3,2,27796,69,407,40,1
1,3,1654,6,672,120,1
3,1,18734,81,1826,146,1
2,1,12489,60,1996,159,1
4,1,14663,23,1676,217,0
1,2,14655,89,863,163,1
4,2,14878,66,756,15,1
4,3,24821,74,1398,69,1
1,1,31668,88,1464,58,0
3,1,25132,47,62,9,1
4,3,1920,78,1978,197,0
1,3,19550,35,1826,346,1
5,4,29018,43,1494,179,1
3,4,30481,75,1937,193,1
2,4,22931,8,548,21,0
3,4,15244,33,1666,49,1
4,3,17547,9,843,109,1
3,4,28343,68,1520,0,0
4,2,7909,72,1145,91,1
5,4,15340,94,485,82,0
2,3,7880,53,278,8,0
3,3,30597,42,24,0,0
5,1,18292,71,1225,110,0
2,4,2269,54,398,3,1
1,2,3924,28,544,21,1
2,2,10081,67,859,25,1
3,1,16301,54,1432,229,0
3,4,20911,59,1473,279,1
2,4,15063,90,1570,188,0
2,1,27089,12,149,1,0
2,4,9721,75,839,0,0
5,4,29084,11,1218,109,0
1,4,9737,44,567,17,0
3,1,6459,22,633,120,1
4,4,16005,7,843,160,1
2,1,30291,4,645,109,0
1,4,5,92,1593,159,0
1,1,24599,79,1130,214,1
3,4,30261,50,168,26,1
5,4,13896,12,1516,136,0
1,3,17654,65,616,86,1
5,3,27758,4,1506,135,0
2,1,14244,39,501,65,1
3,3,31086,77,15,1,0
5,1,13855,84,141,4,1
2,1,10558,37,1436,71,1
2,1,14932,37,1600,16,0
3,3,18338,83,1774,230,0
5,2,3757,72,1430,200,0
5,1,11489,31,1934,174,1
1,3,26316,84,1294,51,0
1,1,3802,9,1236,61,1
2,3,28546,6,1156,92,1
3,1,13389,87,380,3,0
5,1,5790,53,389,54,1
2,1,17775,50,1323,92,0
5,3,29139,94,1131,113,1
4,4,29387,95,910,127,0
4,3,30095,86,1427,271,1
2,1,4192,20,452,54,0
5,3,13432,2,392,70,1
3,3,1720,48,1290,129,0
4,1,28862,66,1149,0,1
4,2,13361,10,1631,228,0
4,1,26971,14,1776,159,1
3,3,1368,31,1048,188,0
2,3,31576,82,427,51,0
1,1,12793,99,1969,236,0
5,4,6457,18,951,95,0
4,2,2332,41,1241,0,0
4,2,17084,79,772,100,0
1,3,321,36,397,0,1
3,3,21845,42,1145,80,0
5,3,3871,92,1117,178,0
2,3,31351,78,219,13,1
5,1,29976,8,513,10,1
2,1,11615,70,788,141,0
4,4,15191,64,1594,47,0
2,1,670,51,1767,123,0
4,1,31022,69,1701,289,0
2,3,25310,10,34,0,0
4,3,28431,50,150,9,0
4,2,24473,56,708,99,1
2,3,2571,45,607,78,1
2,4,7373,30,339,40,0
3,1,15951,85,940,84,1
1,3,1329,61,951,76,0
5,3,5532,91,151,21,0
2,3,29984,0,1224,12,1
3,2,16425,65,1610,48,1
4,2,7584,69,979,186,1
4,1,4666,0,51,5,1
5,1,8919,67,582,81,1
3,3,5435,4,1817,254,0
1,4,8627,46,1473,220,0
1,2,30348,64,226,4,0
4,1,9621,98,72,7,1
2,2,20454,54,1601,272,1
5,4,11378,31,1093,32,1
2,4,27116,98,1360,231,0
5,1,13584,61,1874,0,0
3,4,22769,34,1919,115,1
1,4,22655,44,44,1,1
5,1,20727,71,991,128,0
2,4,18800,45,36,0,1
3,2,21952,85,68,12,0
1,3,23039,13,388,27,1
4,2,740,37,1271,241,0
1,2,11927,42,1255,138,0
2,1,22444,97,1145,11,0
1,4,24909,13,231,41,0
5,2,27806,49,1043,52,0
5,2,20540,25,1433,114,1
3,3,25883,85,591,88,0
5,1,28175,62,1625,130,0
2,3,30436,58,80,6,0
4,3,26308,88,341,44,0
2,2,8475,25,1694,16,0
5,2,3167,50,1558,31,0
5,2,3123,20,175,26,0
2,4,16355,35,977,156,1
5,2,28962,70,1594,47,0
5,1,25671,56,1259,239,1
1,1,31647,22,1504,30,0
4,1,19037,72,1967,98,1
4,4,28707,99,1910,95,1
3,4,22616,3,1880,131,0
4,4,18236,7,1188,130,1
1,4,18856,57,785,39,0
5,2,12294,6,228,20,0
5,3,1146,4,1575,220,1
1,2,10277,45,529,89,0
5,2,25362,19,1044,177,0
1,2,3484,41,1607,273,1
1,4,19757,55,574,57,1
5,4,3587,9,1684,269,1
3,3,6004,11,1266,139,0
2,1,13888,95,1836,293,0
4,2,6936,23,309,55,0
2,2,22654,29,396,31,0
3,1,12220,82,34,5,0
3,2,2127,15,1557,0,0
3,4,4720,2,940,0,1
2,4,16919,64,1236,197,0
5,3,14889,40,85,5,1
3,3,222,15,701,7,0
3,1,27368,4,657,124,0
5,3,30065,72,1780,302,0
3,2,26170,24,190,19,0
3,2,15911,30,1306,208,0
3,4,14093,77,124,6,0
4,3,23794,77,218,0,0
2,3,7241,66,226,36,0
1,3,6402,92,1977,79,1
3,2,24544,47,1945,77,1
4,4,30156,52,1775,35,0
5,1,14055,82,1887,264,1
1,1,25873,47,821,131,1
1,3,18624,4,1673,50,1
5,1,10315,13,921,73,1
5,2,25852,2,810,145,0
1,1,4191,41,1008,50,0
1,1,28647,8,431,4,1
5,4,31363,82,1139,216,0
2,4,15907,28,1415,141,1
2,3,801,4,1202,144,0
1,3,17972,41,1557,140,1
2,4,12605,12,1228,221,1
2,1,14466,67,839,134,0
5,4,29417,2,1593,143,1
3,4,26262,58,1402,0,0
2,1,15409,76,1347,188,0
2,2,19516,17,1723,0,1
3,2,24898,2,1720,223,1
3,4,23355,10,1816,181,0
3,4,4133,5,569,34,1
2,3,16384,7,486,0,1
2,3,31349,56,327,55,0
1,2,25207,9,1327,39,1
4,2,12350,53,593,106,1
1,4,30270,17,176,5,1
4,4,4307,49,125,0,1
3,4,7527,95,1325,132,1
5,3,2176,55,539,86,1
4,2,29603,14,9,0,1
2,4,4250,30,1068,138,0
4,3,26682,62,902,0,0
5,2,18996,2,520,31,0
4,3,16529,58,410,32,0
5,1,22550,35,1712,256,0
5,4,18321,7,1551,108,0
4,4,26062,40,1942,97,1
1,1,648,60,1153,0,1
2,4,3101,77,821,16,0
3,1,30208,65,768,107,0
4,2,4220,59,1166,81,1
5,2,2481,70,1892,132,1
3,2,5053,47,295,11,1
5,4,26283,40,1457,145,0
2,1,12062,96,219,39,1
2,2,16088,42,225,18,1
1,3,27729,93,902,36,1
2,1,19296,87,1553,93,1
2,3,24127,34,1436,244,1
1,3,31688,86,1560,0,1
2,2,21400,9,981,186,0
2,2,7509,34,429,47,0
3,4,11611,1,668,120,1
1,1,14104,48,352,35,1
3,2,502,48,1367,82,1
1,2,27463,88,1651,16,1
2,1,25381,75,781,23,1
4,4,4108,28,356,60,0
5,3,22294,6,1971,275,0
4,2,19960,63,949,28,0
3,1,20904,92,134,25,1
4,3,22601,10,1107,22,1
3,2,23401,53,88,5,1
1,4,26861,68,1498,269,0
1,1,10524,70,263,21,1
2,2,22637,32,1652,33,1
5,2,28813,39,1493,223,0
5,1,18823,56,834,133,0
3,4,21935,58,687,48,0
5,2,16456,58,385,69,1
1,1,20529,87,207,28,0
1,2,1431,45,1451,232,1
4,1,12697,43,667,33,0
1,3,3831,3,1030,103,0
2,3,29394,86,960,67,0
4,2,20652,95,1025,10,0
5,3,27480,29,107,5,0
1,3,8132,39,1910,248,0
2,2,25711,46,59,2,0
1,4,2534,9,1606,289,1
4,4,6785,64,1885,150,1
4,2,14917,85,1617,242,1
4,1,22777,47,1509,0,1
1,2,20997,92,558,83,0
3,2,31879,12,1991,19,0
4,3,3180,14,1944,194,1
4,1,16055,84,298,35,1
5,2,20665,64,1082,21,0
5,3,13425,66,974,19,1
3,4,8232,9,1928,38,0
3,2,27133,14,1883,150,0
4,4,28877,44,280,19,1
3,2,26512,57,369,36,0
3,4,8393,40,637,89,0
2,4,18729,20,550,60,0
2,4,10782,77,1560,109,1
3,3,22099,52,1730,207,1
2,4,2726,7,641,96,0
4,3,90,57,1370,191,0
4,4,2179,13,790,31,0
3,2,20062,69,753,97,1
4,2,11022,38,1875,168,1
4,3,23651,22,1981,297,0
4,1,31736,0,1468,88,1
4,2,31673,81,689,130,1
1,2,2687,16,527,79,0
5,2,25263,35,1552,139,1
1,4,23048,45,282,8,1
2,1,10195,87,859,42,0
4,1,26764,12,639,95,1
1,2,3678,53,18,1,0
2,1,11270,1,1950,117,1
3,3,26790,41,287,25,0
2,3,22280,4,810,89,1
2,4,20385,66,1015,172,1
1,2,19723,7,392,74,1
5,3,29534,64,1793,107,1
3,3,13845,55,607,6,1
5,1,24122,16,327,42,1
4,4,10246,94,434,78,0
2,3,29822,87,388,73,0
1,4,11086,99,1121,0,0
1,2,12609,1,169,18,0
4,3,14916,9,1173,11,0
3,4,14891,34,466,32,0
1,3,5909,82,1645,197,1
1,4,1287,64,487,14,1
5,1,21883,99,1090,130,1
5,2,26978,87,1328,132,1
4,1,12631,90,1287,193,1
3,3,30602,51,941,56,0
5,1,4969,79,907,45,1
4,3,5567,96,1280,25,0
1,1,14864,82,440,17,1
2,2,2738,73,796,119,1
3,2,13108,53,130,2,1
4,2,22783,47,1361,136,0
1,4,7465,0,1318,79,1
4,1,9690,57,920,128,0
3,2,28810,16,991,128,0
5,2,20245,69,28,5,0
4,2,3536,43,480,19,1
2,2,27874,39,1442,245,0
2,3,2988,53,98,4,1
3,1,11507,79,393,27,0
5,1,13974,98,1976,0,0
4,3,23312,40,1887,132,1
5,1,29264,50,1561,156,1
2,2,28854,6,973,155,1
5,2,10527,60,1757,52,1
2,2,5466,59,500,60,1
2,1,28861,49,66,2,0
3,3,23660,11,382,68,1
5,1,9146,29,486,48,1
2,3,24335,94,1481,0,1
2,4,25968,68,1109,66,0
5,2,1749,84,1026,153,1
2,2,19283,22,456,4,0
2,1,26518,36,1834,201,1
5,4,29503,14,1877,131,0
3,1,1452,21,1257,213,1
5,3,18526,47,185,27,1
1,3,20916,98,1243,198,1
3,2,7557,92,1911,286,0
4,2,26596,26,1365,109,0
4,2,1186,57,1118,67,0
3,3,6750,49,223,13,0
3,1,27410,71,1091,120,0
2,2,12255,92,1711,119,0
2,3,15082,92,1976,19,1
5,1,27130,50,1264,240,0
1,3,21535,69,197,31,0
1,4,14208,82,467,56,1
3,3,22721,81,574,40,0
1,2,13577,85,533,31,1
1,1,17023,16,823,24,0
5,1,19575,28,1787,268,1
3,4,9262,11,1512,105,0
1,2,3967,30,1370,109,0
4,4,5832,46,1680,218,0
4,4,17239,64,1062,95,0
4,4,7040,6,184,9,1
5,4,19129,47,1206,180,0
4,3,939,70,233,11,1
2,2,15745,56,210,8,1
4,4,18113,14,168,13,0
1,1,10043,80,1980,39,1
1,4,26869,81,1604,192,0
4,2,10798,20,842,159,1
1,2,7414,6,1872,18,0
5,4,3813,85,1123,33,0
2,2,19117,30,821,73,0
3,4,16737,80,814,97,0
2,1,21675,76,1295,116,1
5,4,1819,21,1264,151,0
4,1,8943,46,961,124,1
1,4,28227,83,1782,213,0
4,1,10094,88,40,3,1
2,3,11102,58,535,32,0
1,2,11700,39,438,17,1
5,2,11717,15,244,9,1
5,3,9330,55,1619,194,0
4,2,8491,95,836,133,0
5,1,23078,65,1134,113,1
5,1,13203,76,98,13,0
1,2,12078,98,603,66,1
2,1,8096,73,963,19,1
4,2,8154,0,672,33,1
2,1,20988,5,1408,28,0
4,3,14787,31,213,23,0
4,2,15802,24,240,21,0
3,1,20072,74,1307,39,1
2,4,31405,35,1509,181,1
5,4,22653,59,223,15,0
5,2,13277,12,622,37,1
1,2,31792,20,1421,42,0
2,1,19288,84,508,55,0
3,3,9556,37,1638,163,0
2,1,8074,23,187,35,1
2,1,31077,63,219,41,0
1,3,9383,45,1800,144,1
5,1,29853,44,679,81,0
4,1,11108,61,1758,52,1
5,3,28825,81,1762,317,0
1,4,19617,76,1639,180,0
4,1,23264,37,1390,0,1
3,1,8115,53,1622,0,0
1,2,17148,68,1276,114,1
4,1,24641,26,1617,274,0
4,3,17457,29,1300,143,0
5,1,23070,56,341,30,1
5,2,29673,67,1217,158,1
3,1,13749,76,1844,276,0
2,2,9879,62,150,22,0
1,1,7908,93,1957,215,0
1,4,20032,90,963,77,0
2,2,26182,47,1392,222,1
2,3,25834,86,628,100,1
4,3,27552,41,1409,253,0
5,2,611,30,864,51,1
3,1,11259,81,843,118,0
5,2,27446,9,1650,214,1
2,2,17413,78,126,17,0
4,1,28812,90,1568,62,1
4,2,12326,9,1133,33,1
5,3,14083,14,770,15,0
2,1,8579,43,1991,219,0
3,1,14769,79,1234,222,1
