search_id,item_category,item_condition,distance,item_available_timer,n_views,n_likes,item_available
190,2,3,19495,90,880,26,1
191,3,4,31136,9,1202,168,1
192,3,1,13949,29,1922,326,1
193,1,3,31317,53,223,33,1
194,5,3,16080,58,1363,81,0
195,1,2,27544,28,558,33,1
196,5,1,28892,48,1391,180,1
197,2,2,10920,3,1004,0,1
198,4,3,27586,87,1888,188,0
199,4,4,12128,21,1709,34,0
200,4,1,17910,45,1784,249,1
201,5,2,16903,32,88,0,1
202,3,1,3391,41,178,26,1
203,2,1,11506,52,61,3,0
204,3,4,31503,40,782,140,1
205,1,1,24144,9,1900,247,1
206,2,4,31532,77,94,5,0
207,3,3,13708,8,996,19,1
208,3,4,4576,34,87,9,0
209,3,3,14622,38,188,5,1
210,4,4,11285,35,479,9,1
211,5,1,19748,66,756,128,1
212,4,4,4691,69,308,6,0
213,4,1,30754,64,1017,193,1
214,5,3,23850,57,123,22,0
215,1,1,22290,50,275,49,1
216,3,4,3334,79,1,0,1
217,5,2,29908,83,457,0,1
218,5,2,13119,21,625,75,1
219,2,3,1837,88,760,106,1
220,4,3,18262,84,1513,0,1
221,5,3,747,22,618,98,0
222,1,3,18653,37,1678,50,0
223,4,1,28675,24,695,118,1
224,4,2,8465,3,62,9,0
225,2,1,12347,56,25,0,1
226,1,1,19609,10,103,8,1
227,1,2,14042,38,828,33,1
228,5,1,29128,12,1776,301,0
229,1,1,10048,52,477,0,0
230,2,4,3495,7,1374,151,1
231,3,4,17058,66,1351,67,1
232,1,1,8106,23,1834,91,1
233,4,2,942,53,1731,276,1
234,3,4,23095,38,1523,182,1
235,5,2,22649,44,405,64,0
236,1,2,12444,38,544,70,0
237,1,2,17938,40,1405,266,0
238,1,2,2788,18,1862,260,0
239,3,3,1901,47,90,3,0
240,5,4,30125,94,1605,272,0
241,3,1,26553,81,1201,84,0
242,5,1,2330,27,346,13,1
243,3,3,10416,89,1458,247,1
244,2,4,14712,90,617,24,0
245,2,3,4407,31,1189,214,1
246,3,1,20820,61,1270,12,0
247,5,3,24011,59,881,132,0
248,3,3,17732,69,273,38,0
249,3,3,7108,12,740,37,1
250,4,1,10986,97,567,17,0
251,3,1,5112,62,113,2,0
252,3,1,27098,27,1565,93,0
253,3,1,4559,66,523,26,1
254,1,2,4703,51,1498,164,0
255,5,4,23340,14,916,91,0
256,2,2,21603,53,1388,83,1
257,3,3,21680,92,1389,263,1
258,3,1,17487,35,869,17,0
259,2,4,644,37,326,22,0
260,3,2,9175,17,1167,11,1
261,1,2,30363,90,118,1,1
262,3,1,10773,17,1372,246,1
263,1,3,10094,36,460,87,1
264,3,4,6702,69,1290,77,0
265,3,1,4444,52,984,177,1
266,3,4,8520,83,958,124,1
267,2,3,3303,51,1637,32,1
268,2,3,19000,46,1084,108,0
269,2,2,26895,14,1415,268,1
270,2,4,28629,48,1763,17,1
271,3,1,2238,43,1259,75,0
272,3,4,10862,25,278,38,1
273,5,1,26504,90,460,13,1
274,3,1,29258,6,1797,125,0
275,3,1,13247,92,961,0,0
276,4,4,5675,29,1705,136,1
277,2,4,10024,59,1557,264,1
278,5,2,3133,34,977,29,0
279,1,4,31609,25,872,122,1
280,5,1,22512,57,1148,195,0
281,3,2,13623,41,197,0,0
282,4,3,9512,66,512,15,1
283,5,1,21532,89,1246,37,0
284,3,2,745,13,1928,308,0
285,4,4,14699,31,1292,142,1
286,4,3,3907,31,597,35,1
287,5,1,26538,51,769,99,1
288,1,4,2993,66,1290,154,0
289,4,2,5651,96,1196,95,1
290,2,4,9669,68,2000,380,0
291,4,1,21769,96,1495,209,0
292,1,3,21207,5,1255,138,0
293,5,1,12029,95,702,21,1
294,3,1,11857,43,1897,37,1
295,1,3,26222,26,1960,19,1
296,3,4,31875,6,321,32,0
297,1,4,23751,24,1574,94,1
298,3,3,27906,92,731,14,0
299,2,2,29419,41,1543,169,0
300,1,2,18052,10,504,75,1
301,1,1,28875,91,940,150,0
302,4,3,29343,45,1566,15,0
303,1,4,450,60,971,77,0
304,4,4,28607,10,1893,208,0
305,5,3,23090,36,1676,0,1
306,4,3,5155,52,479,62,0
307,3,2,27402,45,1433,214,0
308,5,3,3654,69,870,113,1
309,3,2,13329,58,1532,153,1
310,2,4,8692,39,27,2,0
311,1,2,27775,76,521,46,0
312,5,3,7684,73,1341,254,0
313,2,4,27371,54,37,5,1
314,2,4,31135,79,1435,200,0
315,4,4,30208,99,1698,186,0
316,3,4,20977,60,1688,320,1
317,2,4,14678,76,1043,10,1
318,1,2,29535,88,44,2,0
319,2,1,11435,7,462,9,0
320,2,4,30390,57,1929,289,0
321,2,1,14689,70,785,86,1
322,3,3,13015,74,106,3,0
323,2,3,388,27,601,6,0
324,3,4,25623,56,913,9,0
325,5,4,3779,48,118,1,1
326,2,4,9725,76,1264,189,1
327,4,3,3993,71,1872,187,0
328,3,3,31499,30,1360,122,1
329,2,2,7253,73,873,148,1
330,2,3,24217,5,1465,131,1
331,1,3,22508,95,107,19,1
332,1,2,19711,21,859,17,0
333,5,1,26218,55,367,58,0
334,2,2,6739,5,643,6,0
335,4,2,30639,95,300,21,1
336,1,2,29461,71,1906,38,1
337,3,2,8490,8,1606,128,1
338,2,2,2009,30,1024,174,1
339,2,2,14453,74,266,18,1
340,2,1,1365,6,1184,94,0
341,4,3,12478,3,1753,210,1
342,4,1,15253,57,1262,100,0
343,1,3,13865,3,768,138,1
344,1,1,13538,76,1712,291,0
345,4,4,15186,83,655,72,1
346,1,2,11741,70,2,0,1
347,3,3,29738,49,299,41,0
348,5,1,28868,90,1805,216,1
349,4,1,1310,0,804,136,0
350,1,1,9541,79,560,44,1
351,2,4,79,29,1334,106,1
352,1,4,9466,13,133,13,0
353,1,2,18698,36,464,18,1
354,3,3,11578,84,198,29,1
355,2,2,24300,89,1241,49,1
356,4,4,25022,7,1056,105,0
357,3,2,4669,23,1190,130,0
358,3,2,20093,13,615,67,1
359,1,1,17708,39,1825,273,0
360,2,1,2501,27,756,45,0
361,4,4,11386,59,194,21,1
362,2,4,30085,20,473,70,1
363,3,1,26383,97,219,37,0
364,1,3,14151,51,705,0,1
365,2,1,17870,58,1017,132,0
366,4,1,29050,82,1577,31,1
367,2,4,29378,89,146,10,1
368,5,2,13907,27,1588,0,0
369,2,3,28297,12,1476,0,0
370,1,3,3667,45,762,38,1
371,2,3,13076,75,311,21,0
372,1,4,12080,41,149,14,0
373,1,4,26281,64,725,36,1
374,3,3,19448,55,126,3,0
375,5,3,12794,82,1606,80,0
376,1,3,20848,96,1032,144,1
377,3,3,23042,12,1623,210,1
378,1,2,27969,55,1129,191,0
379,3,2,8549,49,81,0,1
380,5,3,9622,65,761,76,1
381,1,1,29517,87,200,8,1
382,4,2,25729,67,1356,94,1
383,4,4,7227,27,486,63,0
384,1,2,12136,59,479,0,1
385,4,3,30730,74,1892,75,0
386,2,3,31847,96,1676,50,0
387,5,1,20750,96,1274,165,1
388,1,1,9178,71,1859,278,0
389,4,1,8924,49,1168,81,0
390,1,1,13762,11,189,17,1
391,2,2,7653,62,164,24,0
392,4,1,16665,84,1504,120,0
393,4,3,18529,72,1182,47,1
394,3,2,13183,55,789,78,0
395,1,3,27275,95,1554,93,1
396,1,3,20147,45,42,2,0
397,2,2,15764,87,1231,196,0
398,5,4,28807,93,1781,178,1
399,2,4,11168,69,21,0,0
400,3,4,16330,1,501,85,0
401,3,3,8172,53,459,59,0
402,5,4,28148,61,902,99,0
403,3,2,31391,17,1011,171,0
404,3,4,4870,74,564,84,1
405,5,1,18943,72,308,9,0
406,5,3,22223,99,1046,156,1
407,1,1,10202,55,529,0,0
408,5,4,5091,32,1023,0,1
409,2,4,1900,69,782,0,0
410,3,3,22672,89,707,49,1
411,4,3,15069,17,1106,210,1
412,1,4,9173,28,1371,0,1
413,1,3,1145,86,1223,232,0
414,5,4,30734,85,1852,240,0
415,2,2,4355,82,59,4,1
416,4,4,24332,11,456,0,1
417,3,3,14498,90,1004,180,0
418,2,1,25420,51,1322,198,1
419,3,4,13603,13,514,87,0
420,5,2,15384,36,1264,126,0
421,5,4,10058,20,1938,0,1
422,4,2,2314,6,1971,295,1
423,1,2,22513,28,1292,116,0
424,5,2,19724,8,792,102,1
425,5,2,25772,46,818,106,0
426,1,1,11232,25,1686,33,1
427,2,2,4081,15,1067,32,0
428,2,3,26650,70,1669,300,0
429,3,3,14090,69,1709,205,0
430,2,4,9558,10,1752,122,1
431,1,2,12419,43,87,3,0
432,2,3,9904,55,1310,117,1
433,1,1,16568,45,1155,127,1
434,4,4,29113,19,1525,274,0
435,5,1,6294,39,605,12,1
436,2,1,9021,75,645,90,0
437,2,4,29131,12,59,5,0
438,3,4,1479,62,1283,64,1
439,3,2,6145,85,470,84,0
440,5,1,11402,73,1335,186,1
441,5,3,15260,39,1568,31,0
442,5,3,5807,94,1279,127,1
443,1,3,30784,87,814,105,0
444,2,1,18510,35,1392,125,1
445,2,3,30617,81,878,131,0
446,5,4,19136,72,491,44,1
447,2,2,24867,33,281,16,1
448,2,1,19766,12,1036,72,1
449,5,1,31859,54,207,10,0
450,2,1,19979,55,1439,0,1
451,5,1,18044,61,1431,14,1
452,4,2,24968,27,1864,167,1
453,5,3,1638,52,1412,112,1
454,4,1,29946,82,394,74,0
455,5,1,73,72,1128,33,0
456,5,3,31303,53,11,0,1
457,1,3,23349,90,368,18,1
458,1,4,14375,92,1573,283,1
459,1,4,23850,60,783,109,0
460,4,4,4275,82,325,42,0
461,3,2,3799,60,613,24,1
462,5,4,2548,76,1336,146,1
463,1,1,20765,59,1596,223,1
464,3,3,11916,79,28,2,1
465,2,1,12302,15,1532,229,1
466,1,3,7294,42,966,48,1
467,2,1,20281,67,46,5,0
468,1,2,17693,17,290,5,0
469,3,2,26972,82,950,38,0
470,1,2,10887,31,166,18,0
471,3,2,1899,3,1195,95,1
472,4,4,3537,27,1644,279,1
473,4,1,26078,96,1147,80,0
474,2,3,12842,60,1878,131,0
475,4,4,11861,69,1242,186,0
476,2,2,30263,91,113,0,0
477,1,2,6326,49,1991,258,0
478,2,3,14562,54,428,4,1
479,4,4,26856,85,1722,292,0
480,1,1,16488,49,1162,81,1
481,2,4,23484,22,1697,67,1
482,4,3,9949,61,1095,175,0
483,1,1,1474,69,1384,166,0
484,3,1,29036,30,1100,209,0
485,3,1,5549,87,691,69,0
486,2,4,10528,97,1877,56,0
487,3,4,6260,2,850,119,0
488,1,4,14955,39,469,42,0
489,3,1,12535,87,83,14,0
490,4,2,3971,5,1783,17,0
491,1,3,11552,79,1848,36,1
492,5,1,26676,74,835,150,1
493,5,2,17235,67,983,39,1
494,2,3,17341,97,246,22,0
495,2,2,7011,75,1736,0,1
496,5,2,26918,52,630,113,1
497,4,1,28737,37,1261,113,1
498,2,1,1037,92,1202,0,0
499,2,2,9591,11,112,1,1
500,5,3,18853,54,1608,305,0
501,3,4,8961,93,1189,202,1
502,2,4,21137,75,533,31,1
503,1,1,7752,79,1320,92,1
504,2,3,28587,12,1955,19,0
505,1,2,12964,22,1462,131,1
506,4,4,20216,46,1056,105,0
507,5,4,21130,44,1687,185,0
508,5,2,21669,8,1770,141,1
509,4,3,30681,63,1683,117,0
510,5,1,20396,98,1342,80,0
511,5,1,31592,92,445,71,0
512,4,3,15670,16,1331,252,1
513,4,3,1950,76,801,48,0
514,2,4,12328,97,1273,76,0
515,5,2,30404,74,1775,266,1
516,2,3,25066,40,1269,241,0
517,4,4,24137,24,661,92,1
518,5,3,25925,87,1352,148,0
519,3,2,16060,22,1627,227,1
520,5,1,1456,68,1920,76,0
521,2,1,10034,4,137,13,0
522,3,1,10105,4,155,4,1
523,5,3,11435,10,1353,121,1
524,4,1,6772,73,891,124,0
525,5,2,6986,42,985,49,0
526,3,4,1418,8,458,82,0
527,1,2,5739,78,1916,38,0
528,4,1,3845,6,15,1,1
529,1,4,9109,86,1588,285,0
530,3,3,15463,27,1618,129,0
531,1,4,11506,33,861,34,0
532,4,4,25591,81,901,153,0
533,4,1,20839,74,1704,323,1
534,5,1,20406,87,1804,342,0
535,5,3,27204,43,1114,167,1
536,1,3,25214,56,126,3,1
537,4,3,14167,30,1729,276,0
538,1,3,31336,54,1432,42,0
539,2,3,25975,39,1698,50,1
540,4,1,30704,51,1094,196,1
541,2,1,13770,83,1314,144,0
542,2,3,31696,53,1946,330,1
543,5,2,15666,25,1196,227,0
544,1,1,3746,13,394,7,1
545,5,4,18923,34,1439,14,0
546,3,1,27807,83,1222,195,1
547,5,4,31439,17,163,22,0
548,2,3,17736,12,1851,351,0
549,1,2,4424,54,1576,0,0
550,1,4,13152,55,604,96,0
551,4,1,7196,77,1192,214,1
552,4,2,7331,15,512,66,0
553,2,2,2890,64,901,9,1
554,3,3,15393,1,48,4,0
555,2,3,14829,51,710,49,0
556,3,1,31848,16,285,42,1
557,2,3,9634,90,203,28,1
558,1,2,2971,62,1794,269,0
559,3,3,15227,88,549,32,0
560,1,4,14168,68,495,64,0
561,3,4,11745,80,1646,197,1
562,1,2,7198,36,590,82,1
563,3,1,21847,15,25,1,0
564,5,3,9218,69,1870,18,0
565,2,3,23682,2,602,102,1
566,5,4,2015,45,890,133,0
567,1,3,10622,17,421,12,0
568,3,1,30818,93,1721,103,0
569,5,2,6632,87,1538,107,0
570,4,4,14597,70,528,10,0
571,4,4,8245,38,1305,91,0
572,4,4,5415,63,1956,195,1
573,2,3,23493,70,121,8,0
574,2,2,2278,69,943,179,1
575,3,3,9255,50,1321,198,0
576,2,1,21858,66,1876,131,1
577,3,3,9037,77,271,10,0
578,4,1,13957,22,1621,275,0
579,1,4,5193,43,1677,0,1
580,1,1,28584,49,1663,83,1
581,2,1,22739,92,1658,232,0
582,5,3,8675,90,392,50,0
583,4,1,23251,44,1319,184,1
584,3,1,7675,63,1258,37,1
585,5,3,31647,56,1172,93,1
586,3,4,21868,39,456,82,1
587,1,2,10137,72,724,86,1
588,1,2,19573,22,1318,224,0
589,5,3,833,68,339,47,0
590,3,2,16781,10,751,15,1
591,5,1,17057,10,915,18,0
592,3,1,5345,72,389,7,1
593,4,1,8531,30,271,16,0
594,4,4,334,61,1754,17,0
595,5,1,9458,88,1370,191,0
596,5,4,15671,46,1984,59,0
597,2,2,28065,80,1162,209,1
598,5,1,24416,6,360,0,0
599,3,2,30460,64,325,13,0
600,2,1,19088,96,1394,69,0
601,3,1,16595,92,1458,29,0
602,2,3,7866,64,1365,40,1
603,5,2,11578,25,469,4,1
604,5,3,16671,3,467,37,0
605,4,4,682,30,1538,46,1
606,5,4,2588,87,1322,118,1
607,1,2,12387,28,1088,43,0
608,5,4,15677,52,1464,161,1
609,1,4,11207,79,126,2,0
610,4,1,20361,76,1898,208,1
611,5,3,18852,20,1264,202,1
612,1,4,4935,17,875,8,1
613,5,3,18088,43,45,7,1
614,5,2,10311,17,121,14,0
615,1,2,16315,19,304,51,0
616,1,2,7960,13,313,6,0
617,3,2,28369,28,1374,137,0
618,3,2,21595,35,1550,77,0
619,1,1,15295,13,741,44,1
620,1,1,18677,10,1439,230,1
621,1,3,16791,32,1763,141,1
622,3,1,5463,7,1997,259,0
623,2,2,29073,93,1975,296,0
624,2,2,5832,9,1277,153,1
625,4,2,15534,95,1468,88,1
626,4,4,5849,14,214,25,1
627,1,4,27783,96,1577,173,0
628,1,3,25106,71,1177,11,0
629,4,1,14149,17,1966,98,1
630,3,2,14849,17,926,55,0
631,3,2,18454,26,1813,199,0
632,4,1,17878,13,1536,245,0
633,4,4,557,24,1135,124,1
634,2,2,3688,71,1041,104,1
635,1,4,24387,25,467,9,0
636,2,1,174,82,174,5,0
637,3,2,13519,74,1522,0,1
638,1,4,17681,99,231,20,0
639,1,3,29675,71,205,36,1
640,1,4,28155,61,1209,48,0
641,4,4,19947,31,1451,14,1
642,3,2,17592,41,292,55,0
643,3,4,19829,72,471,61,1
644,3,1,22602,3,1156,104,0
645,4,1,19556,43,550,88,1
646,2,1,20556,27,27,0,1
647,5,1,29677,19,1033,154,0
648,1,3,28111,35,290,29,0
649,4,2,25400,7,1868,56,1
650,4,1,5463,16,43,3,0
651,3,4,10829,63,1279,204,1
652,5,3,27789,75,781,117,1
653,5,1,1819,33,52,3,1
654,5,1,16836,84,964,57,1
655,1,1,4188,23,219,37,0
656,5,4,5248,63,1347,67,0
657,3,3,26927,4,1760,0,1
658,2,2,4150,73,1502,270,1
659,5,1,6985,76,790,63,0
660,5,4,19445,40,1480,162,0
661,1,1,26995,80,1201,204,0
662,5,2,164,88,574,40,1
663,4,1,472,76,1881,18,1
664,4,4,23947,90,1424,270,0
665,5,2,29363,80,1340,187,1
666,4,2,31697,29,867,26,0
667,4,2,21859,23,1572,282,1
668,2,4,13723,0,76,9,0
669,5,3,19278,61,604,102,1
670,2,3,19180,45,396,63,0
671,1,4,13363,84,350,38,0
672,1,4,20071,95,1578,252,0
673,1,4,28973,37,467,65,1
674,5,1,25013,87,575,92,0
675,4,1,28494,63,615,61,0
676,1,2,22854,34,1592,286,1
677,2,3,14942,23,1744,331,1
678,1,2,26051,54,780,117,0
679,1,1,30633,82,1801,270,0
680,4,2,14162,14,1402,196,0
681,5,4,17471,30,1617,129,1
682,4,2,29487,44,1131,56,0
683,5,4,25429,36,512,76,1
684,5,2,16699,53,1393,208,0
685,3,1,11380,68,573,63,0
686,2,3,13438,50,109,1,0
687,1,1,28461,45,61,10,1
688,2,2,14495,61,1948,311,1
689,4,1,19158,39,137,1,0
690,2,3,14026,75,380,15,1
691,4,2,5414,38,334,30,1
692,3,4,19972,18,271,32,0
693,2,2,15560,36,1674,150,0
694,3,4,19289,56,478,66,0
695,2,1,26853,98,1486,118,0
696,4,4,16763,52,1090,98,1
697,2,3,18866,14,833,108,1
698,2,3,1433,11,145,1,1
699,1,2,283,84,1363,13,0
700,2,3,12496,44,176,22,1
701,5,3,22141,74,115,13,0
702,4,2,8918,84,549,60,1
703,3,3,3134,72,1888,358,0
704,2,3,27968,19,634,63,1
705,1,3,22966,52,1946,233,1
706,4,1,22916,35,633,88,0
707,1,2,741,14,238,9,0
708,5,3,18213,90,947,104,1
709,1,1,3512,9,496,54,0
710,2,4,26643,55,1303,169,1
711,4,4,8418,90,1797,233,0
712,5,1,8071,45,138,8,0
713,5,2,5972,87,354,24,0
714,4,3,18453,99,19,1,1
715,4,2,4675,76,128,19,0
716,5,4,9242,42,456,86,1
717,2,4,28365,30,1171,128,1
718,2,2,8968,22,1461,175,1
719,4,4,27859,52,136,1,1
720,1,3,23388,17,796,87,0
721,4,3,3548,17,1581,31,0
722,4,1,29797,46,1875,168,1
723,4,1,25513,44,1037,62,1
724,2,2,19225,66,320,3,0
725,5,2,28787,90,447,62,0
726,5,4,20632,75,1678,100,0
727,3,1,27260,43,1759,193,1
728,2,1,30773,65,495,4,1
729,1,4,2706,22,589,0,0
730,3,3,5785,10,1389,152,1
731,3,1,4126,18,380,0,0
732,5,4,8070,40,1096,10,0
733,4,1,17837,62,1593,31,1
734,5,3,30582,95,1180,224,1
735,4,1,30193,74,124,14,0
736,2,2,16274,87,1914,344,1
737,4,4,10216,41,1754,122,1
738,5,2,3675,33,1669,250,0
739,2,3,7011,35,97,18,0
740,2,1,11909,54,827,157,1
741,2,4,28215,41,1995,179,0
742,2,1,17329,68,886,53,1
743,4,2,8400,20,1868,0,0
744,4,3,10860,72,824,65,1
745,5,2,29885,3,1700,272,0
746,3,2,29698,78,1422,156,0
747,2,1,1305,75,1978,19,1
748,1,4,29753,39,1666,183,1
749,2,1,16502,18,952,19,0
750,2,3,19258,42,686,61,1
751,3,4,30706,11,721,36,1
752,3,1,22629,7,200,6,1
753,4,4,11539,81,950,123,1
754,5,2,1947,26,728,58,1
755,5,4,5667,44,1285,0,1
756,3,1,10208,25,279,30,0
757,1,2,14139,6,109,14,1
758,1,3,20466,39,1486,163,1
759,1,1,2390,99,1436,186,0
760,5,4,2152,14,595,65,0
761,5,1,15763,83,1843,331,1
762,2,3,18773,25,1396,0,1
763,5,1,7814,35,1128,157,1
764,3,4,20923,80,1571,47,0
765,1,3,26637,96,1237,98,0
766,2,2,8661,58,766,99,1
767,4,2,22259,98,997,139,1
768,2,2,24768,52,1102,209,1
769,2,4,16738,4,619,43,0
770,3,4,1105,43,26,1,0
771,1,3,6074,58,230,41,0
772,5,4,11931,38,32,0,1
773,5,3,5141,1,153,22,0
774,5,1,31286,37,1400,266,1
775,5,2,3576,60,389,54,0
776,3,1,12613,31,1885,56,1
777,5,2,21662,27,1058,179,1
778,5,4,22734,10,1737,191,0
779,1,3,11245,31,1563,250,1
780,2,4,10571,38,1970,315,1
781,4,4,1793,93,1767,106,1
782,1,4,11662,37,1568,141,1
783,1,3,1016,94,1949,292,0
784,2,4,23515,47,1906,133,0
785,2,4,1160,64,216,15,1
786,1,4,11925,44,1504,270,0
787,3,2,18608,37,1009,70,0
788,4,3,9920,69,73,5,1
789,4,1,28383,67,199,0,1
790,5,4,14403,68,1765,70,0
791,3,4,23067,99,449,26,1
792,1,2,10260,25,639,0,0
793,1,2,26051,41,1337,80,1
794,5,2,23951,81,1584,0,0
795,4,3,29288,73,1968,216,0
796,4,1,22782,41,552,60,1
