item_category,item_condition,item_available_timer,distance,n_views,n_likes,item_available
1,4,99,17653,1664,66,1
2,1,18,31544,1818,272,1
1,4,27,20181,349,24,0
2,3,61,25328,326,19,1
5,2,10,20774,868,156,1
4,4,29,8856,215,36,0
3,4,11,7092,1952,117,1
1,2,60,1004,845,143,1
3,1,41,25649,1723,310,1
5,3,56,23679,474,33,1
5,2,52,27351,1181,23,1
1,3,40,11734,1864,335,0
2,2,22,30475,1329,79,0
2,2,70,31062,286,20,1
5,1,40,29281,1092,207,0
2,1,88,25163,1660,298,1
3,1,51,20188,443,0,1
4,3,14,16618,1238,49,0
5,3,65,3552,527,73,1
2,1,12,13262,1545,231,1
2,3,17,5782,352,24,0
3,2,61,16392,317,3,1
2,2,82,1574,1257,12,0
2,3,67,5758,1523,91,1
5,2,63,18846,1646,312,1
3,2,94,20670,994,159,1
5,3,51,9756,1947,292,1
5,1,74,23187,1326,26,1
2,4,19,7227,1073,10,1
3,4,18,17721,1093,196,0
3,4,92,2335,1017,50,1
1,4,82,5123,240,7,0
3,2,6,4309,1634,16,0
4,3,27,13522,303,51,0
5,3,40,14884,1863,316,0
3,2,64,16516,335,56,0
1,2,31,22311,1343,80,1
5,4,99,14214,1006,60,1
4,1,81,13032,1745,157,1
5,2,31,27947,1582,110,0
4,1,86,18023,1972,256,1
2,1,11,4102,1970,197,1
3,4,66,17419,642,115,1
3,3,1,28916,317,25,0
1,2,35,16826,624,31,1
3,1,18,26643,449,22,1
5,2,44,25482,423,29,1
4,1,27,8642,1481,29,1
4,1,13,30966,1799,251,1
1,4,9,5413,1164,81,0
1,2,79,5310,1843,55,0
4,3,19,14173,1509,196,1
2,1,11,10029,232,6,1
2,2,71,9537,310,37,1
5,4,79,2390,1011,181,1
3,1,41,4542,1661,99,1
4,1,80,17951,1869,317,1
2,2,84,19857,1563,62,1
2,3,14,1267,1905,95,0
2,3,51,16625,1898,94,1
2,2,50,24470,1442,273,1
2,2,27,16675,112,3,0
2,4,31,6133,184,22,1
5,1,92,11612,78,7,1
5,1,80,28172,1756,245,0
5,1,26,18902,473,28,1
3,4,17,30531,540,91,0
5,1,23,8501,161,17,1
2,4,78,11890,146,24,1
3,1,34,1012,1382,110,0
2,2,62,13942,213,40,0
4,2,17,12643,1250,25,0
1,3,76,30126,1170,210,1
1,3,20,31983,1304,104,1
2,2,8,26483,238,2,1
3,3,67,11401,847,127,0
4,2,97,25697,882,26,0
2,1,85,18476,1423,14,0
5,1,49,2917,1382,221,0
1,3,68,6039,93,11,0
5,2,47,3693,1288,103,1
4,2,17,10324,846,126,0
5,4,27,20228,402,4,0
5,2,89,11091,1738,69,0
3,1,87,24272,168,21,0
5,4,83,30008,73,0,1
5,1,63,1729,1102,154,1
5,3,82,7737,1915,191,1
4,3,71,25768,868,0,1
3,4,18,6113,153,13,0
5,3,34,17242,1753,52,0
4,2,76,4577,1376,247,0
5,4,24,28792,1853,240,0
4,3,32,2062,1223,73,1
2,2,63,15900,1349,80,1
4,3,29,19397,235,39,1
4,2,81,11012,1051,157,0
4,2,7,9090,843,67,1
4,3,39,29628,1980,138,1
4,3,47,22791,537,32,1
2,2,70,1189,7,1,0
1,1,94,19094,1893,283,1
1,3,82,5922,1924,250,1
2,1,49,21785,1345,134,1
3,3,64,7246,1530,122,1
4,3,92,13809,1450,14,0
4,3,2,7293,1292,38,0
5,2,23,4931,1945,350,0
1,4,98,22186,797,15,0
4,2,45,24022,1243,37,0
3,2,13,19766,831,116,0
5,1,51,29487,1181,177,1
1,1,9,11653,438,35,0
4,3,82,23834,785,70,1
4,2,9,29926,1366,27,1
4,3,67,6496,752,30,0
1,4,46,26524,1027,123,0
5,4,72,12064,1576,0,1
2,2,62,23516,1128,214,0
3,2,28,8147,117,12,0
5,1,21,11504,1378,261,0
3,2,35,13010,1247,174,1
3,4,38,19714,689,6,1
5,3,41,16208,1136,136,0
5,1,93,18379,1497,149,1
5,4,23,24105,413,66,1
4,1,59,30810,1829,36,0
2,2,77,5596,626,37,0
5,3,29,954,1172,210,1
4,4,92,15456,710,106,0
5,4,25,4715,1113,144,0
3,1,66,25101,304,42,1
5,3,40,12470,1978,316,0
4,3,84,9659,1383,13,1
2,4,64,17505,1639,295,0
5,4,38,27393,1905,247,0
2,1,6,23456,1310,13,0
4,4,13,19712,733,7,1
4,4,39,2862,1867,74,0
5,2,76,19677,1595,127,0
1,1,71,27589,764,106,0
5,3,88,13303,104,5,1
4,1,12,11392,714,49,1
3,2,4,25277,289,20,1
4,2,63,25474,1726,138,0
5,2,68,2091,1057,31,1
1,3,30,24572,690,110,1
2,4,51,21436,37,5,1
3,1,30,16614,1512,30,1
3,3,0,11311,575,17,1
4,4,0,9069,1247,0,1
4,4,51,21789,1076,118,0
1,3,9,24678,463,83,1
1,1,32,1218,1842,110,1
2,2,4,5025,1336,160,0
5,1,4,1320,1384,96,1
4,4,68,22606,1502,120,0
4,3,14,27981,114,6,0
3,2,20,26627,822,32,1
4,2,83,15730,542,81,0
3,2,61,18873,1874,168,1
4,1,24,2314,1320,198,1
1,1,45,18658,1999,179,0
3,4,40,15182,1973,374,1
3,1,94,24718,61,7,0
3,3,33,15876,1532,107,1
2,3,18,12721,1781,124,1
5,3,45,14996,1447,159,0
2,1,99,9742,719,86,1
4,4,54,24373,1745,34,1
1,2,66,1350,1031,134,0
1,1,27,27084,444,71,1
2,3,9,7728,40,7,0
5,1,10,26767,369,18,0
5,4,40,30540,856,128,0
1,3,56,13327,442,35,0
3,1,53,9690,1604,288,0
5,2,65,10366,56,2,0
5,1,94,3259,160,1,0
1,1,30,1353,1030,175,0
3,1,25,24082,191,26,0
3,3,10,4658,1240,148,1
3,3,5,15636,1275,127,0
3,4,40,232,1125,213,0
3,3,41,18171,1960,39,1
5,1,3,7425,1568,203,1
5,4,27,17028,953,95,1
5,1,93,4640,1624,146,1
2,4,23,21720,755,52,0
3,3,17,5607,1782,249,0
3,4,2,17574,775,46,0
3,1,36,5033,882,52,0
1,4,2,1505,1889,151,0
5,2,12,14925,1023,173,1
5,3,17,9735,35,2,0
2,1,87,27793,1691,118,0
1,1,17,13850,362,14,0
1,1,50,17213,168,13,1
1,1,35,19366,1800,0,0
3,4,27,7732,340,47,1
4,1,77,31750,78,0,1
4,2,93,11000,944,103,0
4,4,65,6585,993,99,1
1,2,80,291,731,21,1
1,3,34,10224,1983,19,0
1,3,86,20631,1078,53,1
3,2,57,8633,1055,168,1
1,4,79,7152,378,41,0
5,2,6,25013,82,4,1
4,2,45,8644,1815,235,0
5,4,93,26714,1016,111,1
5,3,52,21224,1409,28,0
4,4,2,15787,1193,11,1
4,1,23,15159,1287,218,1
3,4,29,14302,1199,203,1
5,2,34,18999,280,0,0
1,3,19,3136,814,40,0
2,1,17,17474,35,2,0
3,1,58,22549,111,15,0
4,1,5,15247,1036,0,0
5,1,0,8192,786,94,0
3,1,70,12939,69,3,0
2,2,16,1998,1983,158,1
4,4,61,22418,1297,51,0
5,4,70,2757,528,100,0
5,1,85,1953,1866,298,1
1,3,54,9079,1420,0,0
2,2,49,20884,1622,275,0
4,3,23,29694,166,1,0
5,1,64,15838,1961,215,1
2,3,91,275,597,53,1
1,4,70,31162,860,60,0
4,3,20,9168,51,6,0
3,2,13,4246,755,37,0
2,2,23,9445,1696,254,1
2,1,80,16414,981,176,0
1,2,76,11191,978,127,1
3,2,12,28862,728,36,1
5,4,36,5680,196,9,1
4,3,18,20530,1840,147,1
2,4,69,23486,1410,42,1
4,4,72,5177,1451,29,0
3,2,71,4687,52,2,0
4,1,68,20246,1354,40,1
2,2,67,3187,422,29,1
5,1,95,4253,1722,51,1
5,1,92,9385,1880,112,1
4,2,50,1540,1350,202,0
3,3,9,14960,601,90,0
5,3,28,10836,633,37,0
3,4,75,29100,1033,20,1
5,3,27,17924,1397,97,1
2,1,65,2465,1729,259,0
3,2,80,4510,613,6,1
1,4,52,26525,1888,56,0
3,3,48,14172,49,3,0
3,2,97,24610,1658,99,0
5,1,18,25056,1564,234,0
4,3,15,30487,493,14,0
2,2,24,2394,0,0,0
4,4,48,23795,1151,184,1
1,1,93,21559,18,0,0
2,3,0,3731,734,44,0
1,3,62,22901,390,74,0
4,4,59,30757,1378,124,1
1,4,41,15841,1475,103,0
3,2,93,28086,336,33,1
2,4,88,18756,105,10,1
5,1,29,18436,23,2,0
5,1,76,3620,1189,154,1
3,3,51,2302,1098,65,1
4,1,82,189,806,64,0
4,3,28,10853,521,88,0
4,1,84,1177,74,11,1
3,2,57,6975,1060,116,1
2,1,98,9300,1280,115,0
1,4,3,489,6,0,1
3,3,56,28992,758,83,0
1,1,71,22367,1104,88,1
5,2,78,6750,1368,13,0
4,3,5,26102,1434,272,1
3,2,19,11169,516,61,0
4,4,31,21491,1173,222,0
1,4,41,30657,663,0,1
4,2,28,17996,711,106,1
3,1,35,11676,545,81,1
1,3,51,13713,1936,251,1
3,2,90,27450,1828,201,0
1,1,6,22244,538,32,0
2,3,95,18936,1509,75,0
3,2,58,27536,1769,194,1
3,4,4,29319,811,145,1
4,2,15,22265,922,156,1
2,1,87,10883,1107,154,0
4,2,60,7695,1747,331,1
5,3,23,5929,1243,24,0
3,3,12,24524,1834,0,0
5,3,71,1154,1486,14,1
5,3,92,27330,1096,153,0
2,1,14,28100,365,47,0
2,2,97,16262,1445,0,0
2,2,23,14939,1215,194,1
3,2,81,23134,1023,81,1
1,3,52,17973,19,1,0
3,2,89,13273,1822,182,1
1,3,46,57,348,27,0
5,4,11,35,229,43,1
3,4,99,25222,307,9,1
1,4,36,17973,497,24,0
2,1,10,16590,149,17,0
3,3,79,8180,500,65,1
5,4,83,6934,1709,273,0
2,1,72,14343,1467,190,0
1,1,0,24871,46,7,1
1,2,53,17387,1535,61,0
1,1,36,30819,953,57,1
3,2,0,6485,11,1,1
2,4,10,6188,279,19,1
3,4,42,4241,1834,311,1
1,3,69,12939,829,91,1
1,4,47,17356,1746,209,0
4,4,6,24086,1721,120,0
2,1,69,26626,1409,42,1
3,2,36,28057,126,2,1
2,2,58,30512,326,6,0
3,2,59,7341,1765,282,1
3,3,94,28745,1665,99,0
3,2,47,18406,1428,85,1
5,2,47,29813,1306,26,1
4,1,63,4073,1589,174,0
1,3,12,11125,1871,205,1
3,2,87,11857,1821,163,0
4,3,51,7578,366,14,1
5,4,8,14650,225,24,0
4,1,12,9399,440,74,1
1,3,47,18310,1561,46,1
1,2,11,14566,1847,92,1
1,3,66,14449,1431,271,0
2,4,72,7342,683,40,1
1,2,89,28740,11,1,1
3,2,57,11610,1866,74,0
3,3,57,23207,1774,283,1
3,2,18,7083,1188,23,0
4,4,41,28808,1069,181,1
4,2,90,12435,1447,72,0
1,1,56,14881,1446,14,1
5,1,20,19232,377,49,1
3,3,44,18868,1249,149,0
3,1,41,1424,351,52,1
1,2,76,28509,1955,312,1
3,1,51,15040,746,7,1
3,1,84,11632,307,12,0
5,3,59,19091,77,13,1
3,1,80,1350,1254,50,1
4,4,79,20117,124,17,0
2,3,33,17354,695,27,1
1,3,72,7080,1623,178,1
1,2,43,2932,1573,188,0
2,4,95,24920,1911,305,1
1,3,99,29519,1762,211,1
2,1,67,31155,701,84,1
3,1,91,8744,534,74,0
5,3,85,16770,369,47,1
2,4,63,2766,655,124,1
4,3,24,4534,300,39,0
1,3,34,25868,1985,119,0
3,2,40,4399,501,55,1
1,4,31,11392,1660,166,0
2,4,8,12814,662,79,0
1,2,78,16777,1900,57,0
2,1,42,16620,416,45,1
4,3,64,18050,94,4,0
1,1,10,29815,615,49,1
1,2,82,28711,1011,161,0
2,4,64,25902,1712,17,0
2,2,12,15271,506,75,0
2,4,78,21227,45,5,1
5,1,84,258,229,27,0
4,4,14,14829,1298,90,0
4,4,97,18663,1960,196,1
1,2,63,7308,446,84,0
5,3,2,7438,1122,157,1
1,2,60,11930,984,39,0
2,2,86,30217,823,74,1
1,1,87,18717,386,73,1
5,1,27,13235,338,40,1
4,1,73,11399,1619,48,0
3,3,4,17861,184,22,0
3,4,25,18703,270,45,1
4,4,27,11403,1561,187,1
1,4,73,16414,520,98,0
5,3,98,6736,432,30,1
4,4,65,20935,266,23,0
2,1,68,11329,771,138,0
3,4,58,1424,1748,209,1
4,2,81,15918,686,6,0
1,4,15,6448,29,0,1
4,3,28,30191,1514,121,1
5,4,81,18672,605,114,1
4,4,2,4702,1763,211,0
3,2,30,28086,415,53,1
3,3,55,5614,925,101,0
3,4,41,31116,1877,300,1
5,3,79,11749,178,26,1
3,4,67,10289,1578,157,0
3,2,33,12490,466,4,0
3,2,2,5775,1368,0,0
4,1,18,19487,286,20,1
2,1,79,10241,26,1,1
3,4,92,8062,1348,13,1
3,2,23,7388,1047,167,0
2,4,80,3744,715,28,0
2,3,89,29778,1285,25,1
3,1,53,365,1368,95,0
3,4,39,4166,53,6,0
1,2,6,17935,234,11,0
4,2,75,17749,216,6,0
1,1,72,17380,200,24,1
4,4,88,9641,1851,18,0
4,4,72,11150,672,120,1
3,3,16,24083,622,118,0
4,3,23,12687,1490,59,1
3,2,70,11832,1157,92,0
4,4,5,26073,273,5,1
2,2,34,5173,1617,113,0
4,4,30,23125,1538,292,0
1,2,50,18705,1311,65,1
2,4,57,4153,760,121,0
5,4,10,17188,916,45,1
2,2,76,13548,1849,314,0
2,4,27,31689,1138,11,1
3,1,80,3603,1693,84,1
3,4,27,13384,918,18,1
3,4,67,12721,1407,112,0
2,4,67,26053,1311,117,0
4,3,55,27629,1688,118,1
1,4,98,4063,1861,353,0
4,2,97,26986,788,118,1
2,4,76,16644,1987,218,0
5,3,27,18499,258,28,0
2,2,16,27956,711,120,0
5,1,76,9137,343,51,0
5,4,52,3372,960,48,0
3,4,31,5268,61,6,0
3,1,77,10499,1238,24,0
1,1,53,16233,1464,73,1
5,4,64,22259,1388,69,1
2,3,23,6562,1409,197,1
2,1,85,31906,693,0,1
2,3,36,10727,477,57,0
1,1,53,11614,1528,244,1
5,4,56,8814,1183,224,0
5,4,35,28844,542,70,0
1,3,59,8355,1738,243,1
4,1,32,6950,1548,92,0
4,3,98,25667,1779,124,1
3,4,68,21825,307,33,0
3,2,76,2634,903,9,0
5,3,28,28620,1657,298,1
5,2,6,24957,1976,79,1
1,4,15,27889,261,36,1
5,1,20,10192,439,30,1
5,3,42,22700,254,45,0
2,2,26,29168,706,70,1
1,1,35,19440,1624,292,1
3,1,91,23963,1876,318,1
5,1,0,1345,1654,314,1
1,1,57,11722,1793,179,0
4,2,43,31205,1540,231,1
4,4,40,22265,632,18,1
1,3,91,1780,1524,0,0
4,4,77,9661,326,6,0
1,3,79,11715,727,109,0
2,2,84,19447,1455,130,0
1,2,36,4174,1086,65,0
4,4,74,884,1540,30,0
1,4,0,27282,623,93,1
2,4,39,12982,127,16,0
5,1,75,19345,1324,211,1
5,3,96,5354,512,87,0
3,2,44,13727,416,37,0
3,3,14,13380,1422,241,1
4,2,85,21928,1464,102,1
1,3,42,1534,736,29,1
3,4,11,11598,700,84,0
4,4,67,20699,848,127,0
4,3,51,7671,1867,37,0
4,2,74,16387,1652,247,1
1,2,12,9290,1390,208,1
3,3,70,25051,54,3,1
5,2,34,11424,1614,274,1
3,4,94,31264,1603,256,1
2,4,87,9158,1890,359,0
4,1,55,20662,735,132,0
5,3,14,11948,307,0,0
5,4,3,28966,759,60,1
4,2,85,16584,604,0,0
3,3,38,21558,26,4,0
1,4,68,8725,982,157,1
5,1,11,909,1260,0,1
3,3,20,9251,1220,183,1
5,2,1,5994,64,0,0
3,2,56,8117,448,22,0
3,1,53,3659,264,50,0
5,2,91,28846,347,52,1
2,2,26,28049,1333,159,1
5,1,4,13037,73,10,0
2,3,23,29702,1108,66,0
4,2,16,4294,633,44,0
1,4,1,14278,793,55,1
5,3,72,640,1395,41,0
3,4,62,24771,781,101,1
4,2,50,28451,1663,116,1
5,4,35,31018,766,53,0
5,3,59,15730,364,58,0
5,3,6,26344,1447,144,0
4,3,98,6525,811,56,1
1,4,54,5223,1452,43,0
5,1,22,26961,726,79,1
1,2,65,12767,386,0,1
4,1,9,28470,919,101,1
3,1,31,10436,1819,90,1
4,1,19,16947,1626,260,1
5,3,75,7046,44,2,1
2,4,65,1632,167,21,1
3,4,21,31253,1297,77,0
5,3,39,13997,444,75,1
1,1,14,11109,377,37,0
3,2,69,19349,495,94,0
4,2,97,28792,734,88,1
4,2,45,30535,1791,322,1
5,1,64,10093,394,31,0
1,3,9,19958,1034,124,0
3,4,0,17111,243,2,1
4,4,7,13329,1612,112,1
5,4,97,23780,309,58,0
4,4,42,14602,1622,32,0
5,4,28,24957,1603,112,0
2,2,91,26197,1184,201,0
3,4,52,15276,1417,0,1
3,4,69,26045,1298,233,0
4,2,77,5787,1652,66,0
1,2,67,25107,1078,107,1
3,2,24,12388,1041,10,1
5,2,3,4570,345,0,1
2,2,15,31018,1,0,0
2,3,82,6399,1856,37,0
1,4,39,3284,444,13,0
3,4,39,21292,652,123,1
3,1,14,28605,825,74,0
3,2,24,4611,1628,146,0
1,4,83,20126,1794,0,1
1,2,5,3153,1413,183,0
5,1,15,2638,900,126,0
5,2,30,3973,1392,55,0
4,3,8,4350,639,57,0
3,2,39,3746,1334,53,0
2,3,54,25378,771,131,0
3,3,75,3706,131,6,0
3,4,85,28809,1718,223,0
3,3,59,523,942,56,1
3,1,61,15474,186,11,0
2,3,71,6847,306,18,0
5,1,46,23328,875,140,1
4,3,30,5508,1997,299,1
5,2,34,24068,1139,136,0
3,4,92,10527,1891,359,1
4,4,39,31292,1469,220,1
5,2,29,2712,91,6,0
4,1,98,15454,1576,110,0
1,1,41,4669,1402,14,0
3,1,67,23649,675,101,0
1,3,25,7743,405,12,1
2,4,1,25540,1704,170,1
4,1,21,615,1462,73,0
1,1,26,19637,953,66,0
5,4,43,21409,1545,0,0
5,2,41,18266,102,6,1
3,4,95,30219,652,45,0
1,3,13,25239,337,53,0
2,2,0,29079,710,99,0
4,2,77,19969,297,29,1
2,2,52,22907,1328,106,0
3,1,45,152,773,38,0
1,4,61,26249,882,105,0
1,2,33,31569,968,96,0
1,2,79,19698,1442,115,1
1,2,61,737,1484,163,0
3,1,90,4416,1330,66,0
4,1,21,25056,1973,315,1
5,4,10,7938,116,8,1
1,3,79,9774,1293,181,1
2,3,66,15669,825,57,0
3,3,57,25285,1271,216,1
5,3,24,4788,951,0,0
1,2,12,25351,845,67,1
2,3,42,12034,1120,89,1
2,4,49,1904,1347,13,0
3,3,97,12057,348,24,0
3,4,69,19537,661,92,1
4,2,46,15947,1140,171,0
2,4,56,3680,1009,70,1
4,4,88,5309,85,2,1
2,2,33,3707,1508,150,1
2,2,11,25603,1643,164,1
5,3,60,4426,784,23,0
2,3,29,31639,1457,189,1
4,3,47,22780,859,34,1
1,3,47,21470,1376,0,1
4,1,93,13869,1067,32,1
5,4,86,9384,787,102,1
2,3,51,5525,1577,283,0
3,4,33,22963,1840,331,0
2,1,91,3481,830,157,1
3,4,28,16096,1294,168,1
5,4,31,18955,1433,257,0
2,2,53,25898,1167,35,1
1,4,11,13830,68,10,0
5,4,43,13230,318,57,1
5,4,28,21911,248,47,0
4,4,79,19561,1433,272,1
3,4,97,15351,531,100,1
4,4,91,2511,1140,125,0
5,3,45,21194,1640,311,0
3,3,16,2367,842,25,1
2,4,74,14126,1436,244,0
3,2,96,15379,660,13,0
1,3,79,4650,781,54,0
4,1,98,20820,963,163,0
2,3,8,27555,1451,159,0
2,3,62,11454,317,22,0
5,4,25,2127,1742,121,1
3,1,68,13434,1741,191,0
2,4,62,17097,706,7,0
4,4,35,16702,626,81,1
5,1,98,838,477,38,0
5,4,39,21998,348,10,0
4,1,96,24658,686,20,0
3,4,1,14249,1778,35,0
2,4,96,28190,35,2,0
1,3,2,5653,1033,144,1
4,3,80,30409,1433,71,1
1,4,19,6855,1987,198,0
4,3,56,7781,1079,151,0
1,2,44,15635,1129,146,0
4,2,42,20793,626,18,0
4,3,67,9456,1279,204,0
3,4,7,28224,135,0,0
4,4,43,15315,830,33,1
5,4,92,11670,811,121,0
2,4,1,9015,1039,83,0
3,3,98,28596,1150,0,1
2,1,78,2751,1889,113,1
3,4,60,10770,1677,201,1
3,2,34,25279,512,20,1
1,1,73,26194,606,96,1
1,1,60,28259,1513,226,1
1,1,15,11648,1772,336,1
4,2,4,4286,250,35,1
4,3,65,13432,226,38,0
3,1,46,17627,1206,36,0
2,2,27,23303,7,1,1
3,3,89,24812,1130,158,0
1,4,68,21313,646,83,0
4,2,93,4868,51,4,1
1,2,74,31615,1002,40,0
4,2,23,8636,46,4,0
3,1,71,5132,276,5,0
1,3,89,31187,1678,302,1
5,1,51,27425,907,145,0
4,3,38,31982,818,130,0
2,3,71,14968,1782,320,0
3,3,70,26385,1693,101,1
3,1,37,10284,121,16,0
4,2,91,9066,1254,125,1
4,4,50,26939,307,42,1
5,3,24,25471,13,2,1
4,2,56,28502,1266,202,1
2,1,5,11026,85,6,1
4,3,2,4857,1918,326,1
5,4,20,1178,511,51,0
1,1,71,9996,1190,154,0
3,1,59,6450,1855,74,1
4,3,20,30119,1783,213,1
1,2,55,12253,1135,45,0
1,4,12,11379,895,26,1
4,3,83,18583,1362,177,0
5,3,32,6335,1733,155,0
5,3,22,2348,625,75,0
1,4,31,15346,863,112,1
4,2,39,8953,1140,193,0
4,3,66,25970,1719,206,0
3,1,27,12008,1828,164,0
3,4,92,2886,187,33,1
2,1,65,20296,1899,341,0
2,4,8,17282,1165,198,0
3,1,56,31332,1837,55,0
