item_category,item_condition,item_available_timer,distance,n_views,n_likes,item_available
5,2,27,15917,1563,46,0
2,4,11,12711,1423,28,1
5,2,29,14800,1184,213,1
3,1,55,12082,450,54,0
4,4,25,4818,223,11,1
4,3,80,8305,1080,151,0
4,1,59,22000,1,0,1
1,4,32,13635,624,87,0
5,2,95,22681,1355,243,1
3,3,75,164,874,104,1
5,2,57,26892,1187,225,1
3,3,94,30144,1902,323,1
1,4,81,28588,1579,142,1
2,3,88,25735,364,7,1
4,1,81,12239,1757,210,0
4,1,0,1184,1966,196,0
1,1,12,425,700,98,0
2,4,47,17929,161,9,0
2,2,60,12335,1962,313,0
2,1,70,30928,752,60,0
3,2,93,16862,25,4,1
5,4,61,10187,1193,0,0
1,1,1,17178,1523,15,0
3,4,40,26553,999,49,1
5,2,47,2650,637,76,0
2,4,33,14972,1966,117,0
4,4,74,22197,841,84,0
1,1,82,1756,625,81,1
5,2,34,21706,1697,203,0
4,2,45,3704,1692,67,1
3,3,51,24886,490,4,0
4,2,70,1699,1965,334,0
5,2,89,13245,1839,331,1
1,2,45,25804,1627,81,1
2,3,95,15841,1541,0,1
5,3,44,4596,771,146,0
3,4,6,25145,270,32,1
4,3,80,25359,331,13,1
5,4,70,26429,401,12,0
1,4,75,4050,1510,286,0
4,2,89,12884,1326,92,1
2,1,91,26239,1499,104,1
1,3,62,27397,1445,173,0
2,1,59,18534,884,123,1
4,1,72,2132,876,140,0
4,1,39,30929,1403,56,1
4,4,26,22676,1410,267,1
4,4,61,2695,1520,136,1
2,3,9,9695,416,20,1
1,2,71,17882,1725,120,1
3,4,68,27521,801,16,0
4,1,43,14526,1348,202,1
4,2,69,5019,1683,134,1
1,3,22,24926,101,3,1
2,3,45,27403,1102,11,1
5,4,34,3106,42,7,1
1,4,68,22642,418,50,1
3,1,93,10675,1207,229,0
1,2,25,17765,754,113,0
1,1,80,15953,572,102,1
2,3,69,8214,640,76,1
3,4,29,424,65,7,0
4,2,48,28358,467,65,1
1,2,75,21196,1020,173,1
2,1,33,2658,540,27,0
2,2,81,2834,773,54,1
5,2,23,18431,68,12,0
4,4,12,14572,1814,145,1
2,2,30,19428,1249,0,1
1,1,84,20709,1388,97,0
4,4,21,11724,1675,284,1
2,4,41,9557,444,79,1
5,3,71,215,1279,25,1
1,1,73,27892,1408,70,1
5,4,43,21104,1966,58,0
5,1,39,29445,396,31,1
4,2,96,29708,1881,94,1
5,4,58,4159,706,56,0
3,3,73,26282,1396,181,1
4,4,30,10607,237,45,1
2,2,83,16337,1273,190,1
1,2,32,29680,541,75,0
1,1,79,11034,1859,334,0
3,3,92,16327,722,86,0
4,3,24,17148,1562,62,1
5,3,64,30164,379,18,0
3,4,94,23436,110,5,1
1,2,57,24444,1785,232,1
4,3,40,25916,222,26,1
2,3,57,9410,829,49,0
5,1,91,31635,537,75,0
2,4,31,24154,706,21,0
2,2,28,8410,345,41,0
5,4,44,2860,859,128,0
1,3,30,10066,1136,22,1
3,2,82,7854,1662,299,1
5,1,25,8555,1818,18,1
5,2,2,3346,1204,36,1
3,3,21,12450,799,47,1
3,3,57,27026,1985,39,1
1,1,12,12898,1241,223,0
2,1,8,20139,375,30,1
2,2,16,8172,1795,125,1
3,1,38,7099,1190,83,0
3,4,87,20426,1315,184,1
3,1,29,21688,1341,254,1
5,4,3,21204,1754,280,1
3,2,24,6787,1971,374,0
5,4,72,11438,852,119,0
5,4,16,11037,1512,257,0
2,3,93,6343,1024,112,0
3,3,19,17308,785,117,0
5,1,19,25346,106,15,1
4,4,5,17773,1783,320,1
2,2,70,3189,466,41,0
4,4,73,10466,216,8,1
4,4,1,4698,646,90,0
3,2,85,21723,695,97,1
1,2,31,21627,1576,94,1
1,2,10,27706,300,30,0
4,1,28,12347,1613,161,0
4,3,90,30006,104,18,0
3,4,42,26632,1079,151,0
2,4,40,14839,986,167,0
3,1,46,5514,1970,315,1
3,3,99,4539,1018,61,0
4,2,62,31842,1166,174,0
2,4,17,30918,263,2,0
2,2,16,31535,1048,52,0
3,3,75,28050,1480,251,0
1,4,90,7465,1598,239,0
1,4,45,27280,577,69,0
4,1,17,3060,1395,209,1
3,2,25,18190,1894,37,1
1,3,23,5093,1624,178,1
1,1,1,7162,419,41,0
3,4,54,15807,1909,171,0
2,3,96,5679,477,23,1
2,3,28,5659,1985,337,0
2,1,76,7755,968,106,0
2,4,92,1127,179,10,1
4,2,28,9878,1009,90,1
3,2,50,31449,780,0,0
5,2,95,6281,106,0,1
4,4,97,31854,1359,122,0
3,3,50,17972,1687,219,1
5,4,88,4622,1428,228,1
5,4,72,10202,194,29,1
1,1,75,13873,302,24,0
5,3,63,21663,1041,31,0
3,1,42,4289,69,10,1
4,1,24,29206,1060,190,1
4,1,74,1426,1379,137,0
2,1,29,21720,1437,229,0
1,1,4,11611,1848,147,1
4,4,41,1352,675,108,0
4,4,3,15435,1175,23,1
1,2,46,3072,1007,130,0
5,3,78,10266,1832,146,1
4,2,32,9749,287,31,1
2,2,50,10465,818,0,1
4,1,82,24272,825,0,1
1,3,28,18465,1344,215,0
1,4,0,26834,1559,31,1
5,1,60,1983,1922,57,1
5,1,88,20732,1223,61,0
3,1,83,5328,1646,197,1
2,1,62,4798,671,46,1
3,1,19,31144,540,75,1
5,3,63,9572,1639,98,1
2,2,15,1039,699,34,1
5,2,75,25359,1335,226,0
1,4,14,28200,151,13,1
2,1,94,4717,870,147,0
2,3,3,31369,1598,63,0
5,3,13,16478,815,16,1
1,4,17,13479,1795,107,1
1,1,47,25994,54,3,1
4,3,21,11033,1744,174,0
3,3,64,12619,1668,16,1
2,2,27,7635,384,38,0
3,1,16,19696,1091,43,0
1,2,28,14754,437,26,1
2,1,45,30533,1543,46,1
3,1,95,29362,1451,101,0
1,1,20,3822,1452,87,1
1,1,25,14609,663,0,1
5,4,84,19698,1817,254,1
1,4,9,11346,1975,375,0
1,4,33,30265,1990,338,1
1,3,77,20856,507,5,1
2,3,20,10618,455,13,0
1,2,56,29512,1767,265,0
2,2,37,8291,1166,198,0
3,1,39,18844,1473,73,1
5,3,0,19070,1405,28,0
3,2,78,19913,1750,192,1
4,4,74,11299,286,17,1
2,1,86,5954,1917,19,0
2,1,70,27673,696,83,0
1,4,98,11294,224,24,1
2,3,40,26565,552,77,0
5,4,79,16058,1293,129,1
2,4,64,13446,1669,317,0
5,4,39,30772,1849,314,1
2,3,10,10318,1506,210,1
4,1,52,11800,265,5,1
1,2,96,14768,51,5,0
5,2,65,6262,1294,25,0
3,2,64,19973,1910,324,0
3,1,77,9573,1732,51,0
4,2,30,11673,36,6,0
2,2,13,21488,841,126,1
3,4,56,7890,486,72,1
1,4,4,5132,1027,20,0
4,3,37,15616,953,152,0
4,4,67,12851,1488,208,0
5,3,9,14709,1346,174,0
4,3,76,10187,97,18,0
2,1,36,21229,1118,78,0
2,1,65,31605,1711,102,1
3,1,79,19067,469,84,0
5,4,39,24010,1862,130,1
4,2,12,21345,1032,51,1
5,2,37,271,23,4,0
1,1,48,9980,382,11,1
1,2,92,28398,494,64,1
1,1,8,3154,908,54,0
4,2,61,30898,852,17,1
5,1,98,15197,914,45,0
1,4,12,11656,312,37,1
4,3,15,5090,1098,142,0
2,3,2,15777,767,115,0
4,4,84,23821,460,18,0
5,2,31,6818,933,9,1
2,3,75,1561,784,109,1
3,1,38,29534,300,39,0
1,4,5,29297,466,83,0
4,2,59,16749,21,2,1
2,1,5,5253,1788,286,0
4,3,56,23310,1189,214,0
3,3,12,15274,351,31,1
3,3,0,28268,726,43,0
2,2,87,6630,297,38,1
5,4,74,15375,1399,13,0
5,3,32,19565,137,6,1
4,3,20,3940,1434,0,0
2,2,84,10929,817,130,0
5,2,86,8523,701,35,1
5,1,25,27447,1620,64,0
1,1,44,12073,1862,316,1
3,1,11,29957,1982,19,0
3,2,49,7719,297,26,1
5,4,10,8950,1108,11,0
3,1,73,4775,846,59,1
1,1,45,17451,815,57,0
4,2,37,10193,1575,78,0
4,4,51,1370,1317,92,1
1,2,3,6008,1980,138,0
1,3,12,3856,1570,62,1
5,2,17,9369,1524,121,1
1,1,6,21448,1331,173,0
5,4,38,950,1730,242,0
3,2,8,28954,732,131,0
2,3,28,19224,1094,65,0
4,1,70,17161,1889,37,1
2,2,4,6429,440,13,1
2,1,27,11636,1953,58,1
1,4,30,22745,285,2,0
5,4,13,326,559,89,1
4,1,99,17112,90,0,1
1,1,71,16222,886,44,1
1,2,54,31003,1024,153,0
4,4,82,23699,48,0,0
4,2,35,11097,436,4,1
3,1,95,9860,1123,67,1
1,1,81,2530,898,161,0
3,2,97,8748,1613,96,0
3,2,57,6960,1481,0,0
1,4,71,7714,297,23,1
2,1,27,4584,482,43,1
4,1,0,5920,1335,213,1
3,3,75,24189,843,16,0
4,2,3,12892,1094,120,0
4,2,29,7877,271,51,0
2,2,42,15902,1137,22,0
4,2,77,19640,1369,205,0
1,1,18,29229,1327,0,0
1,1,30,23098,1670,317,1
2,1,24,18826,417,50,1
5,3,47,23739,662,105,1
4,1,99,24375,673,74,1
5,1,54,10550,1710,290,1
3,2,11,17600,1135,68,1
1,2,54,13230,851,76,0
1,4,34,27068,716,21,1
4,1,74,26554,1622,178,1
5,3,81,20038,303,21,1
5,2,34,10625,1536,215,1
1,3,87,1997,145,24,1
4,1,43,29531,458,82,0
5,2,54,3504,1391,208,0
3,1,39,5661,1173,105,1
5,4,54,10837,481,62,1
4,1,93,31082,414,20,0
5,1,20,12426,1414,84,0
3,1,11,10905,1644,131,0
3,4,43,28990,1029,102,0
3,4,72,20285,1744,122,0
3,1,45,990,1415,226,0
3,1,41,5708,1620,48,0
5,1,10,4238,1707,0,0
3,3,82,3007,1812,126,0
3,3,16,22327,1786,53,1
3,2,50,9724,8,0,0
5,2,80,13352,65,8,0
3,2,43,17031,993,49,1
2,2,75,14980,1310,78,1
5,3,82,29538,364,40,1
1,3,3,29100,1161,139,0
2,1,48,25909,877,149,0
2,3,60,16088,869,17,0
4,2,70,6960,828,41,1
5,1,55,96,991,138,0
4,4,1,23659,822,131,0
2,2,68,10040,1660,265,1
2,3,51,15534,206,12,1
1,1,3,6197,1572,94,0
3,3,76,25330,407,0,1
5,1,65,23537,648,19,1
2,2,30,4888,599,89,0
1,4,40,31792,1191,190,1
5,3,99,30962,1559,62,1
1,1,26,21987,1934,309,1
1,3,96,16554,1175,94,1
1,1,23,16551,582,29,0
3,4,15,889,1818,272,0
4,4,81,19992,1003,100,1
1,2,1,1096,1569,282,0
2,2,79,19626,70,11,1
3,3,90,2026,135,13,0
3,2,65,29552,446,13,0
5,2,67,29011,359,57,1
1,2,83,9911,588,29,0
3,3,23,5653,1753,245,1
2,2,44,22809,752,52,0
3,2,4,25699,1583,0,0
3,2,38,2542,784,117,0
4,2,65,28000,984,0,1
4,1,13,27472,732,43,0
3,2,86,30679,335,46,0
4,2,56,16466,763,22,0
5,1,67,4849,1866,0,0
4,2,9,12912,261,41,1
5,3,22,9116,702,105,0
3,2,10,11461,275,41,1
5,3,12,23553,1884,169,0
3,3,74,14788,1401,0,1
1,4,82,30289,1831,329,0
1,3,32,25540,1089,152,0
3,2,20,362,1413,28,1
3,2,76,31860,26,0,0
3,4,79,11676,1993,199,0
5,2,89,7883,847,50,1
2,1,83,20593,162,3,1
4,1,33,11211,1112,122,1
3,2,96,14178,752,0,1
4,1,74,13494,257,12,0
1,1,80,2925,553,94,1
1,4,22,28824,1432,100,1
4,2,82,4076,38,1,1
4,1,56,18299,1514,151,1
4,1,10,9883,1396,55,0
5,4,22,23789,1350,202,1
1,4,18,19350,1336,40,0
3,3,14,30566,1776,35,1
3,4,51,8878,1830,237,0
3,3,65,25282,1033,0,0
1,4,58,30569,1587,285,0
1,1,48,21312,1898,303,1
1,3,32,6893,1556,108,1
5,3,39,16203,1613,161,1
4,2,6,31630,83,3,1
2,1,7,16334,1691,0,0
2,3,27,27666,38,4,0
5,2,29,9430,1592,206,0
4,2,9,7961,587,111,0
4,4,21,14129,810,32,0
5,3,76,30569,1248,12,0
3,3,1,13080,1296,64,1
5,2,69,3415,953,0,0
5,4,32,23594,1370,205,0
1,2,99,26400,889,8,1
5,2,41,6847,1693,203,0
4,4,0,20397,72,1,1
4,4,94,12070,1389,263,0
2,4,28,7238,232,41,0
2,3,21,10774,377,18,0
4,4,15,15291,122,3,0
4,1,72,7717,148,19,0
5,4,50,3692,1830,18,0
1,4,8,2373,1955,78,1
1,3,81,21169,946,56,1
3,3,85,27315,1738,243,1
1,2,22,29879,682,129,1
2,2,39,24159,17,1,1
3,3,62,18478,815,97,0
2,3,69,16559,31,5,1
3,2,65,12232,359,39,0
1,4,14,27850,550,44,1
3,2,6,1309,557,66,0
5,2,96,10183,1982,39,1
5,3,71,5482,109,14,1
5,3,4,24069,60,0,1
1,2,45,13886,868,52,0
2,2,40,770,185,24,1
5,1,7,20252,1735,260,0
4,3,91,16647,1307,39,0
3,2,80,7319,1153,46,1
4,1,28,19383,1053,179,1
3,2,87,8023,837,83,0
5,1,25,3353,1974,355,0
2,3,34,29094,1266,88,0
2,2,74,22723,1240,161,1
5,3,73,31447,1850,296,0
2,3,20,1086,449,80,1
3,2,75,9675,252,47,1
2,1,36,21000,751,112,0
3,3,13,855,113,18,0
2,4,95,18699,560,78,0
3,3,32,16864,135,24,1
3,1,43,11811,115,1,0
3,3,23,29899,1069,74,1
1,1,67,27022,407,0,1
3,2,36,17934,1751,105,1
5,2,76,1919,840,151,1
1,4,96,2150,1452,58,0
5,3,78,5899,294,32,0
1,1,74,29046,258,46,0
4,4,36,8153,982,68,0
2,1,28,25035,1546,15,0
5,2,9,10443,1193,23,1
1,1,0,29135,1919,95,1
2,2,35,24605,82,4,1
5,2,61,16213,1816,181,1
2,3,95,10786,1062,63,0
1,3,82,4656,1406,168,0
1,2,33,4189,1238,185,1
1,3,25,22800,303,15,0
1,3,73,30675,601,114,0
5,1,42,17505,1615,64,1
5,3,15,23384,1581,237,0
4,4,84,389,1666,183,1
1,2,61,25274,1891,340,0
4,1,89,21421,574,63,1
1,1,3,22772,1943,136,0
4,2,9,6842,1339,40,1
3,4,64,8675,254,10,0
5,2,94,11811,158,4,0
5,2,69,24532,1213,24,1
3,3,39,23117,625,62,1
4,1,20,1309,786,23,0
4,2,71,4352,1293,219,0
2,1,54,10298,1273,241,1
3,1,73,12794,793,95,1
4,3,58,17343,239,0,0
2,2,76,61,372,48,1
1,4,52,19776,1110,0,1
4,1,33,22678,352,59,0
1,4,22,5294,368,36,0
5,1,8,29287,350,3,1
1,2,41,7535,231,25,0
5,1,77,7981,1225,122,1
1,1,97,12054,1039,197,0
2,4,27,27261,1094,10,1
4,4,45,18049,1609,289,1
1,3,60,4412,44,2,1
3,3,85,8311,1830,347,1
1,3,95,16692,553,82,1
5,4,66,7963,1987,119,1
3,4,4,17495,1587,174,0
3,3,50,16545,1240,49,1
2,2,84,28353,1837,275,0
1,4,27,22529,1159,185,0
5,4,75,1107,488,78,0
2,4,44,9331,1623,48,1
1,3,4,19034,1843,258,1
1,1,41,3849,1616,16,1
2,1,83,10611,1142,148,0
2,3,1,26895,1253,75,0
1,4,83,15110,784,94,0
4,4,93,20826,192,1,0
5,4,58,13104,459,22,1
2,4,62,19992,233,39,1
2,2,85,16806,575,5,0
2,1,41,15899,562,106,0
4,1,36,7966,511,81,0
2,2,29,11060,1125,191,0
5,1,96,3651,112,6,0
3,1,70,28459,1227,36,0
4,1,40,21440,1308,104,0
2,3,1,27700,1637,147,1
1,1,25,13158,1136,113,0
2,1,52,21881,19,2,0
5,1,22,30546,1747,52,1
5,2,26,18418,177,30,1
4,2,34,31662,1627,65,0
4,2,12,22170,264,0,0
5,4,9,10217,452,31,0
3,1,13,1180,393,51,0
3,2,75,8910,570,68,0
1,3,58,28920,1910,114,0
1,4,43,27506,1435,243,0
1,3,14,24499,336,43,1
3,2,47,1416,691,103,0
5,3,46,18515,779,7,1
5,2,34,5090,1660,49,1
5,1,18,10968,1168,11,0
1,1,53,8356,1531,91,0
1,4,16,25865,816,16,0
4,4,99,11559,986,78,0
2,1,25,29915,744,29,0
2,2,81,20682,369,7,1
4,3,45,28957,1390,55,0
3,1,62,2273,1739,173,0
5,3,99,10499,843,143,0
1,1,35,1249,1597,207,1
4,1,82,11855,49,3,1
2,4,62,24815,866,155,1
1,2,81,2630,122,14,1
5,4,54,4471,611,103,0
4,3,32,18320,1284,128,0
4,2,95,1670,115,11,0
4,2,67,20873,1055,0,1
4,2,75,15845,889,62,1
2,4,27,6651,121,19,1
1,2,96,19446,489,44,0
5,3,69,25934,638,108,1
2,2,92,18042,386,27,0
3,3,78,20841,596,95,1
4,1,17,18209,1663,83,1
3,1,57,12538,1677,167,1
2,3,40,15409,1693,237,1
3,3,1,16989,1380,41,0
4,4,92,15884,1272,50,1
5,2,84,13503,1471,73,1
5,3,29,5257,481,81,0
5,3,58,2408,1637,261,0
2,2,23,14853,1808,144,1
5,3,9,16193,1249,187,0
5,3,24,11271,1253,37,0
5,3,97,12992,89,2,0
5,2,24,12368,1915,19,1
4,4,62,24684,538,48,0
1,3,27,30567,1246,124,1
4,2,27,22726,182,7,1
5,2,66,9123,207,31,0
4,3,82,13298,1030,82,0
2,1,66,8023,19,0,0
1,3,81,30327,443,8,0
2,3,64,14687,664,73,0
4,3,93,11930,958,134,1
5,2,64,18868,715,135,1
2,1,41,16521,1321,198,0
3,4,57,1868,1289,38,1
2,1,41,12385,1561,187,0
1,3,54,21829,1639,49,1
4,4,26,11188,679,6,1
1,3,46,14992,1820,182,1
5,2,54,1696,469,79,0
5,1,39,1195,266,2,1
4,3,93,9687,1895,227,1
2,1,19,16810,1370,13,1
3,1,80,31162,250,30,0
2,1,50,5417,1542,107,1
4,4,37,29274,387,23,1
2,2,80,15580,1105,11,1
4,4,63,31881,302,0,0
4,1,4,21939,701,49,0
2,4,58,30862,225,11,0
2,1,0,23029,1675,67,0
2,2,55,14259,565,73,0
4,2,8,17843,819,16,1
5,1,96,14026,859,68,1
5,4,23,23018,217,19,0
3,2,37,6828,1544,15,0
4,2,44,19707,1982,257,0
4,1,82,5374,814,113,0
5,3,3,14303,902,108,0
1,3,79,5769,1938,77,0
1,2,50,28984,1913,76,1
1,4,67,21262,469,89,0
2,1,97,8478,127,2,1
5,1,8,24184,1624,146,1
4,3,6,28972,1046,83,1
5,2,42,6410,1192,119,0
2,3,4,2834,817,114,1
4,2,73,29525,83,5,0
5,4,56,30871,217,26,1
4,1,9,9056,390,66,1
1,3,53,15099,1221,195,1
2,1,9,23564,1708,307,1
5,4,16,454,1812,199,1
4,3,69,27933,1735,69,1
1,2,95,16538,1735,242,1
1,2,95,31869,271,21,0
1,2,19,3426,1561,218,0
4,1,60,22406,1655,281,1
5,4,38,3582,338,6,0
1,1,47,26619,1835,201,0
3,1,72,26239,346,58,1
1,2,76,6167,300,3,1
3,2,20,2366,948,113,0
2,1,72,31747,1981,376,1
5,2,62,7635,1404,70,0
2,3,26,7730,460,13,0
5,1,24,15786,1171,117,0
3,4,44,22518,83,5,0
5,1,8,6665,1527,122,0
5,4,57,29968,1144,102,1
1,4,85,19577,707,91,1
1,4,69,7775,1108,166,0
3,2,59,26841,197,5,0
1,3,84,19330,1410,141,1
4,4,70,24503,1348,94,1
1,4,61,1029,1607,273,0
1,2,10,23892,1720,206,1
1,2,6,15025,1803,198,1
1,3,87,3462,1655,115,1
4,3,92,11061,1819,163,1
5,3,65,23711,299,53,0
3,4,92,31357,110,15,0
2,3,32,18126,796,7,1
1,4,52,10270,212,27,1
2,2,28,24447,213,4,0
5,3,45,2193,1320,145,0
2,4,47,13252,1534,276,0
1,3,77,23189,863,120,1
5,2,82,14035,453,22,0
1,1,86,4795,29,4,1
3,3,22,6309,1928,192,1
3,1,71,19895,662,99,1
1,2,41,5691,1509,165,0
5,3,75,9703,1289,141,1
3,1,61,10240,917,174,1
2,2,70,4686,994,109,1
3,2,20,9778,1035,20,1
1,2,34,20496,1359,176,1
4,3,73,6960,737,132,0
5,2,71,11313,1216,60,1
4,3,8,31652,115,11,1
3,4,38,23984,1926,115,0
3,2,43,17424,1042,83,0
5,1,74,21501,1752,0,1
3,2,54,2557,1220,12,0
4,4,34,11937,1163,0,1
1,1,96,30478,719,86,1
1,2,42,13593,1905,361,1
4,3,51,16668,182,1,1
2,3,90,253,1315,26,1
4,1,2,19057,586,17,1
3,2,90,16521,65,1,0
3,4,85,18097,1935,58,1
3,1,15,3784,339,64,1
1,1,12,24421,1121,134,1
2,1,11,28192,1105,110,1
3,4,43,7737,322,28,0
1,1,95,17045,1049,20,0
5,4,58,27702,982,117,0
3,3,17,619,1184,94,0
3,2,73,1547,1648,214,1
3,3,83,17059,1929,366,0
3,3,66,31985,508,5,1
5,1,81,6294,64,0,1
2,4,14,8993,208,22,1
1,2,17,6839,1563,187,0
5,4,94,25714,498,24,0
5,4,40,25428,704,56,0
1,4,30,494,159,1,0
1,1,49,17516,1386,166,0
1,4,72,17810,1988,337,1
2,4,34,30913,1449,246,0
1,2,34,14559,1947,77,1
5,4,54,8819,1803,0,0
4,2,26,18433,1965,216,1
5,2,8,27109,696,41,1
2,4,90,30996,376,45,1
3,3,13,26106,515,46,0
3,1,21,17082,157,0,0
5,3,19,26761,582,34,0
1,4,96,7728,623,37,1
5,3,45,17871,1107,99,0
3,3,63,965,829,49,0
5,1,37,9403,64,11,1
2,1,36,7541,1575,157,0
5,2,14,10204,1812,253,1
5,1,82,30395,255,15,0
2,1,62,5593,818,155,0
5,1,95,14058,817,65,0
5,4,17,7439,1845,36,0
4,4,19,2794,1863,316,0
5,2,38,2922,765,76,1
2,4,45,20254,287,43,0
5,2,0,24906,1623,194,0
4,4,10,21320,1214,145,0
1,1,6,15331,1583,63,1
1,2,18,13081,744,52,0
2,3,37,12583,75,3,0
2,3,32,30320,1682,201,0
3,4,39,14424,269,10,0
3,3,80,29746,1593,47,1
3,1,59,24493,159,1,1
3,1,93,2304,487,92,1
5,2,53,31558,562,73,0
3,4,70,31368,1493,29,0
3,3,52,10409,1431,114,1
3,3,7,510,441,17,1
1,1,19,30820,22,3,1
1,2,79,2046,510,86,1
3,1,44,4380,833,41,1
2,4,13,30324,1323,79,1
1,1,43,5092,915,9,1
1,4,26,20155,1959,235,0
4,3,39,3578,1384,83,0
5,3,86,11115,915,27,1
5,2,50,29550,153,21,0
3,1,77,4534,1379,248,1
3,2,61,16377,1299,116,1
3,4,31,8762,1107,199,0
5,1,88,13246,1831,219,0
1,2,52,7925,356,21,1
4,4,7,15628,1887,132,1
3,2,13,5304,418,12,1
1,3,37,2705,1446,187,0
2,3,61,19615,1144,160,1
5,1,48,8952,1003,100,1
4,2,87,17007,1435,86,1
4,2,98,13913,1804,216,1
3,2,91,12709,1755,105,0
4,2,96,30882,1762,105,1
4,4,48,11316,551,82,1
5,4,59,28813,1043,62,0
2,1,46,10011,939,28,1
5,1,11,20096,1395,167,0
1,3,57,28375,314,47,1
3,1,56,24099,1881,357,0
1,4,21,26071,646,64,0
3,2,95,5841,969,174,0
4,1,94,6761,1913,57,0
5,4,50,23217,741,44,0
5,1,55,6328,377,15,1
1,2,51,7466,1663,149,1
5,4,25,30484,1685,117,1
2,3,81,17199,1702,323,0
4,2,36,28799,731,14,1
1,3,84,12487,226,22,1
4,3,87,2528,728,7,0
5,2,41,27314,709,127,0
5,4,45,21372,1446,28,0
5,3,21,9430,1933,193,1
2,1,50,19900,35,5,1
2,2,98,27430,1616,258,0
3,3,47,8787,1014,131,0
3,4,43,3379,1422,42,0
3,2,79,9815,195,37,1
4,3,80,7896,834,91,0
5,2,57,4612,292,32,0
1,3,60,28618,745,67,1
