item_category,item_condition,item_available_timer,distance,n_views,n_likes,item_id
furniture,3,35,7736,1381,193,249
other,2,7,108,1477,59,250
kitchen itensils,3,5,5137,692,62,251
kitchen itensils,4,5,13805,644,96,252
kids,1,49,18537,1497,44,253
kids,4,87,19824,261,7,254
kitchen itensils,4,79,16448,586,0,255
clothes,1,0,14528,548,10,256
kitchen itensils,4,31,18990,1121,168,257
kids,4,56,21073,410,65,258
furniture,1,50,24147,827,74,259
kitchen itensils,1,75,7865,446,57,260
clothes,3,21,12740,1042,187,261
clothes,1,56,26715,1076,139,262
kids,3,58,29847,1021,81,263
furniture,2,1,22497,325,3,264
kids,2,45,18368,1753,87,265
other,1,13,29403,197,23,266
other,3,68,1135,226,13,267
furniture,1,47,14289,1442,100,268
kitchen itensils,3,31,13070,914,91,269
kitchen itensils,2,46,23050,981,9,270
kitchen itensils,3,77,21007,1294,103,271
other,4,80,14525,1958,195,272
furniture,3,81,26628,1473,191,273
furniture,2,77,27951,243,17,274
clothes,3,88,11632,1545,0,275
other,2,21,26589,522,20,276
clothes,2,29,22729,1031,72,277
kids,3,11,24468,239,35,278
furniture,4,27,6853,82,3,279
other,2,19,19089,57,0,280
furniture,4,95,22486,852,144,281
kids,3,12,12454,1857,167,282
furniture,3,67,21411,121,22,283
clothes,3,71,14863,1248,74,284
kids,2,19,29374,1828,347,285
kitchen itensils,2,31,28697,863,43,286
kitchen itensils,2,34,12279,39,5,287
kids,3,90,12204,1968,59,288
kitchen itensils,3,49,22957,713,99,289
kitchen itensils,3,19,11459,727,138,290
furniture,1,68,17980,1368,13,291
kitchen itensils,4,22,22934,403,24,292
furniture,2,77,2752,1574,188,293
furniture,2,8,25996,702,28,294
other,1,85,30959,1624,211,295
furniture,3,95,7752,434,65,296
kids,1,29,31941,611,48,297
clothes,4,44,29152,517,15,298
furniture,2,30,28346,44,2,299
furniture,1,85,19336,982,0,300
kids,1,34,3126,409,44,301
other,4,72,31851,939,56,302
kitchen itensils,4,28,8579,1602,96,303
kids,2,31,8787,1481,192,304
furniture,3,85,31264,491,93,305
furniture,2,40,5376,869,17,306
clothes,4,36,19569,1779,213,307
other,4,83,10414,1309,39,308
furniture,4,21,27395,704,56,309
kids,2,99,8482,1371,260,310
other,3,63,1997,1671,150,311
kids,1,21,25899,1873,299,312
clothes,1,33,29366,1892,75,313
kitchen itensils,2,93,15103,1244,161,314
furniture,3,99,26659,390,42,315
clothes,4,47,20095,1393,125,316
other,1,76,2820,1801,0,317
clothes,4,92,26901,85,3,318
furniture,2,40,23716,654,32,319
kitchen itensils,3,73,24736,1842,294,320
kids,2,45,16303,373,29,321
kids,4,90,10187,1278,166,322
furniture,2,64,10642,713,0,323
kitchen itensils,3,97,15702,1505,195,324
kitchen itensils,2,36,29469,1151,11,325
kitchen itensils,1,41,26192,1969,118,326
furniture,3,74,14832,330,59,327
furniture,3,22,29527,1778,17,328
clothes,2,8,15106,303,15,329
other,1,71,20892,648,84,330
kitchen itensils,1,35,10040,1936,251,331
furniture,1,30,1946,1552,62,332
other,1,98,29302,1417,198,333
furniture,1,40,21467,1393,181,334
kitchen itensils,3,12,474,105,18,335
other,2,73,30467,1135,79,336
kitchen itensils,1,98,24626,1818,54,337
clothes,2,5,9492,1165,0,338
clothes,3,17,85,1025,194,339
kitchen itensils,4,22,9990,628,62,340
other,4,23,24326,1609,241,341
furniture,2,58,12425,1958,293,342
other,1,93,19948,514,97,343
kitchen itensils,4,1,27381,1061,127,344
other,4,97,10194,251,37,345
kids,4,51,26571,104,16,346
other,2,47,23693,913,91,347
clothes,4,8,1068,422,71,348
other,3,32,30763,1786,89,349
furniture,4,62,9339,169,23,350
clothes,3,93,29186,412,32,351
other,4,28,13421,677,128,352
kids,3,36,12466,1339,147,353
kitchen itensils,4,46,30792,1994,319,354
clothes,2,70,7352,1165,104,355
kitchen itensils,1,25,24363,1617,274,356
kitchen itensils,3,39,7273,1349,242,357
furniture,4,28,20793,1057,95,358
furniture,3,60,23765,281,47,359
kitchen itensils,4,23,25193,1472,250,360
kitchen itensils,4,76,28151,49,0,361
furniture,1,21,29088,1949,350,362
furniture,1,27,23321,676,67,363
other,2,61,3440,978,136,364
kitchen itensils,4,82,2151,1686,236,365
other,4,99,5199,1747,157,366
kitchen itensils,1,39,3442,273,2,367
furniture,1,48,19848,1623,16,368
kids,4,13,14087,1846,203,369
furniture,4,14,17989,495,69,370
clothes,4,94,677,908,54,371
clothes,3,54,22031,1006,40,372
kitchen itensils,4,19,25413,1065,42,373
clothes,2,76,3064,660,26,374
kitchen itensils,3,46,20506,1104,55,375
clothes,3,16,22022,1632,261,376
clothes,1,72,12300,1156,208,377
furniture,1,8,2454,24,1,378
clothes,2,26,26982,789,134,379
clothes,2,11,20709,703,21,380
kitchen itensils,4,36,11633,1863,149,381
kids,2,29,24315,129,5,382
kids,1,25,1284,1826,146,383
kids,1,82,9010,1946,214,384
furniture,4,6,14691,425,8,385
clothes,2,57,16192,1871,261,386
furniture,3,51,2092,794,0,387
kitchen itensils,1,9,17812,1189,130,388
furniture,4,90,31636,489,78,389
kids,3,54,6587,921,64,390
kids,2,40,21220,301,24,391
furniture,1,57,9448,839,8,392
furniture,2,79,23793,1814,181,393
kitchen itensils,4,40,24696,1340,53,394
kitchen itensils,4,34,7883,175,15,395
kitchen itensils,4,14,9722,1665,266,396
kitchen itensils,1,74,1760,1234,197,397
kitchen itensils,4,22,19552,466,27,398
other,2,62,23908,1975,276,399
clothes,1,44,29820,681,6,400
other,4,4,16230,1805,0,401
other,1,36,5437,1001,100,402
clothes,1,99,17935,1809,126,403
kitchen itensils,1,54,8972,1570,0,404
kitchen itensils,2,27,8702,559,61,405
kitchen itensils,4,81,3787,1865,55,406
kids,3,22,30430,1266,227,407
kids,3,93,24184,1881,18,408
kitchen itensils,4,25,4460,904,27,409
other,1,14,16213,158,18,410
clothes,4,81,29390,40,6,411
kitchen itensils,4,69,30195,1675,100,412
kitchen itensils,1,24,25942,529,21,413
clothes,3,17,29580,551,71,414
furniture,1,60,1432,435,73,415
other,1,52,19040,864,95,416
kitchen itensils,4,78,2987,655,104,417
kitchen itensils,3,57,10118,1636,16,418
kitchen itensils,1,96,1100,934,102,419
furniture,1,36,19785,303,33,420
other,4,64,8686,1556,15,421
furniture,2,27,16636,620,68,422
kitchen itensils,3,79,9604,719,107,423
kids,4,95,27505,647,51,424
clothes,4,43,30115,1820,200,425
kids,3,48,25042,983,137,426
clothes,3,14,29254,109,7,427
clothes,1,78,7984,1588,190,428
kids,2,81,22811,1156,127,429
kitchen itensils,2,87,4000,870,26,430
other,2,21,9375,377,37,431
furniture,2,98,18612,562,56,432
kitchen itensils,1,53,8764,1556,62,433
kids,4,59,50,1914,344,434
kitchen itensils,3,63,24287,1658,248,435
other,4,53,2458,489,39,436
clothes,2,50,16489,153,4,437
kids,2,49,7950,1266,139,438
kitchen itensils,1,73,2601,540,102,439
kids,2,27,19929,1183,11,440
furniture,4,78,30840,1004,10,441
other,4,61,12554,308,30,442
kitchen itensils,4,3,579,453,49,443
furniture,3,95,14507,799,55,444
other,2,56,28440,1561,124,445
furniture,3,67,413,346,17,446
kitchen itensils,2,32,29827,1793,340,447
furniture,4,34,5926,7,0,448
other,2,83,17594,934,112,449
other,4,8,8675,387,27,450
furniture,4,71,13011,542,32,451
clothes,3,99,1694,1912,0,452
furniture,1,39,11881,370,59,453
kitchen itensils,3,67,11306,640,70,454
other,1,8,3625,1113,55,455
kitchen itensils,1,39,18588,149,4,456
kitchen itensils,1,54,11418,1304,13,457
kitchen itensils,1,89,5332,1559,249,458
kitchen itensils,3,84,13527,1867,37,459
kitchen itensils,1,96,27821,296,32,460
furniture,4,53,14140,20,3,461
furniture,2,33,12300,944,37,462
kitchen itensils,2,18,12263,1324,185,463
kids,4,24,300,1020,163,464
kitchen itensils,1,41,1398,1606,176,465
furniture,3,90,25335,604,96,466
kitchen itensils,1,2,13658,540,64,467
kids,4,21,6986,349,41,468
furniture,1,53,7561,200,24,469
kids,2,87,12458,1180,35,470
other,3,14,29181,1218,36,471
kids,1,9,7841,301,33,472
other,3,62,12854,454,63,473
kitchen itensils,1,81,31257,1092,98,474
kitchen itensils,4,9,28400,1147,114,475
kids,4,55,14252,572,51,476
kitchen itensils,1,90,29072,1946,291,477
furniture,4,74,16788,1930,115,478
kids,3,91,28377,1669,200,479
kitchen itensils,1,85,15772,1300,234,480
furniture,4,66,13291,1001,120,481
furniture,1,90,28035,900,0,482
other,4,31,14628,1981,39,483
clothes,1,53,16738,387,27,484
clothes,1,13,6238,929,65,485
clothes,4,50,5294,1144,194,486
furniture,4,14,21353,695,125,487
clothes,1,91,8470,783,117,488
furniture,1,70,13076,340,3,489
clothes,4,65,7979,1389,111,490
other,3,77,163,1121,112,491
furniture,3,39,14597,501,25,492
furniture,3,56,19992,775,100,493
kitchen itensils,4,58,8411,915,173,494
kitchen itensils,2,28,1741,1964,294,495
kitchen itensils,2,74,17051,226,40,496
other,3,93,19796,761,136,497
kitchen itensils,1,72,3072,1341,241,498
kids,3,57,17277,405,12,499
other,2,38,8141,778,15,500
furniture,1,52,12283,1142,114,501
kitchen itensils,3,84,22540,1225,220,502
clothes,4,28,9705,1739,330,503
furniture,2,56,3473,842,0,504
other,1,82,15623,1753,333,505
kids,1,1,15050,1585,285,506
clothes,2,23,12080,328,19,507
furniture,1,69,7356,393,51,508
other,1,9,17165,979,156,509
clothes,1,63,20560,132,18,510
kitchen itensils,1,2,1348,515,72,511
furniture,3,90,17522,1205,24,512
furniture,2,56,9768,1848,295,513
clothes,2,12,8241,1273,203,514
kids,4,33,12627,488,87,515
furniture,2,25,6067,89,16,516
clothes,1,29,9716,979,107,517
other,1,52,28155,487,4,518
kids,4,66,12869,1145,57,519
kids,1,11,12093,405,72,520
other,2,68,27974,420,21,521
other,4,66,2540,258,0,522
other,3,29,29939,568,0,523
other,1,22,31570,129,20,524
kids,3,19,26444,718,78,525
furniture,2,8,30934,1675,0,526
clothes,4,97,2222,1595,15,527
furniture,2,61,22506,1282,192,528
kitchen itensils,1,92,10525,1209,48,529
kitchen itensils,3,92,1520,713,0,530
kids,3,81,26926,1667,150,531
kids,1,5,13314,840,0,532
kitchen itensils,1,16,5449,876,0,533
clothes,2,14,28448,1545,123,534
other,4,44,203,931,130,535
clothes,2,57,15170,892,89,536
clothes,2,17,11596,1888,75,537
kids,2,83,21674,1648,65,538
furniture,1,63,3483,1687,67,539
kitchen itensils,4,75,2981,1767,123,540
other,3,67,30515,1224,36,541
kitchen itensils,3,42,22606,309,40,542
furniture,3,82,2523,1603,160,543
clothes,2,76,15034,275,0,544
kitchen itensils,2,61,16714,1602,48,545
clothes,4,2,23023,1276,63,546
kids,3,22,19091,862,77,547
furniture,1,99,24538,887,141,548
kitchen itensils,4,23,1287,162,16,549
kids,3,64,13490,1540,15,550
kids,4,30,11737,1535,214,551
furniture,1,70,29009,1492,104,552
other,2,15,8471,813,56,553
clothes,4,88,16519,1291,193,554
kids,3,40,18661,833,83,555
kids,3,60,18375,86,10,556
furniture,1,17,10394,1865,74,557
other,1,25,19425,427,68,558
kitchen itensils,4,26,8606,1516,136,559
other,3,41,13398,1091,120,560
furniture,4,9,17347,1900,57,561
other,2,93,20971,1162,69,562
kids,4,9,24410,1956,0,563
furniture,4,33,4740,48,5,564
kids,4,17,6715,231,32,565
kids,1,76,6835,1595,239,566
clothes,2,65,16434,506,55,567
clothes,2,4,5854,1809,144,568
furniture,1,58,18076,1178,70,569
kitchen itensils,4,15,5122,534,0,570
clothes,2,91,4550,1338,214,571
furniture,2,42,13938,1115,0,572
kitchen itensils,1,56,13699,437,74,573
furniture,3,52,27422,1864,111,574
other,2,78,11985,336,20,575
furniture,2,18,31862,1867,93,576
clothes,2,64,28180,981,147,577
furniture,2,73,25729,762,38,578
kids,2,60,6424,1169,210,579
kitchen itensils,4,86,9795,1566,187,580
clothes,1,50,31843,400,4,581
kids,4,70,13006,693,83,582
furniture,4,39,9955,611,0,583
other,1,96,11292,1971,197,584
furniture,3,42,16580,21,1,585
clothes,2,0,180,898,89,586
kitchen itensils,1,22,2279,1411,239,587
kitchen itensils,4,55,18768,179,7,588
kitchen itensils,4,81,7211,1956,293,589
other,4,30,23301,822,16,590
furniture,1,72,18356,699,6,591
other,3,14,15034,1593,207,592
clothes,3,55,17848,985,167,593
clothes,4,55,11949,486,38,594
other,2,6,18466,853,153,595
other,3,77,29168,26,4,596
clothes,3,1,13387,1685,67,597
other,2,35,19644,1145,11,598
kids,2,32,13570,1524,45,599
furniture,1,31,31383,162,16,600
kitchen itensils,1,59,2488,1945,330,601
other,1,73,28535,1737,260,602
kitchen itensils,1,29,22728,1968,334,603
kitchen itensils,4,31,10411,1637,81,604
other,4,52,17199,866,0,605
other,3,16,18747,153,29,606
kids,2,2,13024,233,0,607
clothes,4,55,6417,1420,142,608
kids,2,54,21132,1172,199,609
kids,4,90,23063,156,29,610
kids,2,35,4771,677,33,611
furniture,3,20,26791,332,16,612
clothes,3,5,28310,174,19,613
clothes,1,10,29251,636,57,614
other,2,78,20547,878,114,615
kitchen itensils,4,4,5798,1878,356,616
clothes,2,3,10587,68,4,617
kitchen itensils,3,62,21831,1729,51,618
other,2,86,7989,387,73,619
clothes,1,95,17141,93,6,620
kids,2,26,840,210,21,621
furniture,3,86,15926,1404,210,622
kitchen itensils,4,17,9852,432,56,623
furniture,1,67,5356,707,106,624
other,1,17,15514,1011,101,625
kids,3,34,18441,1294,90,626
furniture,3,27,12163,1769,88,627
furniture,4,52,6548,1203,12,628
furniture,3,36,20170,453,27,629
clothes,2,60,16534,940,47,630
clothes,4,26,11369,487,53,631
furniture,4,12,7534,1855,55,632
other,2,86,21326,1460,146,633
kids,2,84,9234,1753,0,634
kitchen itensils,3,78,3757,452,36,635
other,1,11,13578,107,8,636
other,2,86,26099,1186,118,637
clothes,1,1,31258,742,22,638
kitchen itensils,2,12,27311,1884,150,639
kids,3,52,11924,1551,15,640
kids,2,8,21550,1152,149,641
furniture,4,63,21746,1830,274,642
kids,2,78,4440,1970,216,643
other,4,96,11312,161,22,644
kids,4,90,22581,382,30,645
other,2,4,30213,535,21,646
clothes,1,42,6552,360,50,647
other,1,78,27549,730,73,648
kitchen itensils,1,3,5735,1327,92,649
clothes,2,56,13041,763,0,650
clothes,3,6,20588,324,58,651
kids,3,91,26923,1416,99,652
clothes,1,99,29672,105,2,653
furniture,4,96,23373,972,87,654
kitchen itensils,3,80,16935,1275,51,655
kitchen itensils,3,29,23197,994,59,656
kitchen itensils,3,34,25971,1138,193,657
furniture,3,27,12099,853,51,658
clothes,1,17,28761,1270,228,659
kitchen itensils,1,77,14399,1005,90,660
kids,1,36,18454,989,178,661
kids,4,76,13872,1054,158,662
furniture,2,63,14346,1784,107,663
furniture,4,19,2812,1317,210,664
kids,4,46,7866,926,129,665
other,3,92,10315,1047,94,666
kids,3,70,8796,896,53,667
furniture,1,51,29522,1442,173,668
furniture,1,11,5099,669,33,669
kids,3,75,18862,1516,60,670
furniture,1,94,18155,1587,63,671
kids,1,15,10716,630,18,672
furniture,4,72,21448,685,82,673
kitchen itensils,4,12,31412,1107,55,674
other,2,96,18975,1468,161,675
clothes,4,46,24911,463,23,676
clothes,3,89,2465,1171,23,677
other,1,13,31628,1274,152,678
other,1,91,5324,672,53,679
other,2,24,27438,952,47,680
other,1,84,29840,1360,68,681
other,4,2,28727,1937,116,682
kids,2,67,3137,1554,248,683
kitchen itensils,3,31,24860,823,90,684
other,2,97,22765,840,159,685
kids,3,89,29882,520,93,686
furniture,4,44,3334,151,25,687
kitchen itensils,3,22,1829,113,0,688
clothes,1,2,26611,1941,116,689
kitchen itensils,1,99,13740,1136,22,690
kitchen itensils,2,9,16466,585,29,691
other,2,37,30635,38,6,692
clothes,1,29,13803,1917,249,693
furniture,1,93,16838,1421,28,694
furniture,3,36,10059,1272,50,695
clothes,2,52,25122,1215,182,696
kids,3,49,3779,692,48,697
kitchen itensils,1,1,15031,97,1,698
kids,4,88,2219,202,12,699
clothes,1,44,21072,1295,25,700
kitchen itensils,1,72,5161,1503,270,701
furniture,3,8,5926,65,3,702
kitchen itensils,3,15,3432,664,13,703
other,2,37,12013,1808,90,704
clothes,4,48,4934,181,14,705
other,3,92,28615,1111,111,706
kids,3,0,5601,1288,193,707
kitchen itensils,3,99,28167,154,7,708
kids,2,23,31984,1206,0,709
clothes,4,10,4216,929,65,710
kitchen itensils,4,82,11700,337,6,711
other,4,3,7841,511,10,712
furniture,1,99,10511,489,0,713
kids,4,3,5042,418,33,714
kitchen itensils,2,98,22110,1244,211,715
furniture,1,61,5790,1276,51,716
other,2,42,21679,1588,31,717
furniture,1,37,19917,1483,252,718
kids,3,20,27208,1059,63,719
other,1,85,28287,1191,142,720
kitchen itensils,2,41,11577,640,115,721
clothes,1,19,12606,753,37,722
other,3,61,15504,196,25,723
clothes,2,72,13675,1905,190,724
kitchen itensils,3,15,29587,1707,153,725
other,1,44,3854,1605,208,726
furniture,1,51,30756,428,12,727
kids,4,93,28255,1310,235,728
kids,3,66,13755,557,100,729
clothes,1,37,22499,298,17,730
clothes,3,57,9474,911,72,731
furniture,4,21,24410,1414,183,732
clothes,3,32,19539,1707,0,733
kitchen itensils,4,83,31837,1229,73,734
furniture,2,13,14140,443,48,735
kids,4,45,25833,1031,0,736
kids,3,39,25904,473,9,737
clothes,1,29,16618,1504,120,738
clothes,2,63,148,1073,160,739
clothes,3,90,5881,1821,182,740
clothes,1,80,14201,1158,196,741
kids,3,47,7443,1068,117,742
clothes,1,64,5138,281,36,743
other,4,65,15278,1264,113,744
clothes,2,7,12131,1389,55,745
kitchen itensils,4,58,4448,145,10,746
furniture,3,80,28368,1998,339,747
clothes,4,46,13490,997,39,748
other,4,15,5337,259,41,749
furniture,2,2,23315,1120,44,750
furniture,1,32,14947,501,75,751
clothes,3,6,17502,1172,164,752
kitchen itensils,2,9,12253,1806,307,753
other,1,70,4049,138,2,754
other,1,53,19281,1298,168,755
furniture,3,89,4107,1417,255,756
clothes,1,78,8419,170,0,757
kids,2,41,25697,469,75,758
kids,1,92,4201,212,14,759
kids,3,49,12812,1397,97,760
other,3,5,31068,1551,77,761
furniture,4,66,31009,1491,178,762
other,1,60,20321,830,33,763
clothes,1,20,2826,1416,226,764
furniture,3,63,26446,731,29,765
kids,4,44,25997,584,23,766
kids,2,68,25278,1082,64,767
furniture,4,59,20965,553,82,768
kitchen itensils,3,74,14696,733,7,769
kids,3,48,1176,819,49,770
other,2,1,27426,1568,297,771
furniture,3,25,18518,1136,68,772
kids,4,5,9696,276,38,773
furniture,4,26,10288,303,48,774
furniture,4,39,13563,796,15,775
clothes,2,81,20418,1416,141,776
other,4,77,26960,1085,162,777
other,4,82,1595,1447,173,778
other,2,22,3671,765,122,779
furniture,1,16,16809,488,14,780
kitchen itensils,2,8,11021,445,66,781
furniture,4,19,29044,122,10,782
clothes,2,21,17862,282,11,783
kids,3,84,843,1959,58,784
